SER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
547001;Head of State;米卢廷 内迪奇 ;30;FA;Resigned Generalissimo;High;L46026;x
547002;Head of Government;德拉吉萨 奇韦特科维奇 ;30;FA;Corporate Suit;High;M20032;x
547003;Foreign Minister;杜赞 西莫维奇 ;30;FA;Ideological Crusader;High;M20033;x
547004;Minister of Armament;斯洛博丹 约万诺维奇 ;30;FA;Military Entrepreneur;Medium;M20034;x
547005;Minister of Security;米洛什 特里福诺维奇 ;30;FA;Efficient Sociopath;Medium;M20035;x
547006;Head of Military Intelligence;博日达 普里奇 ;30;FA;Technical Specialist;Medium;M20043;x
547007;Chief of Staff;马尔科 博若维奇 ;30;FA;School of Manoeuvre;Medium;L46002;x
547008;Chief of Army;米卢廷 内迪奇 ;30;FA;Armoured Spearhead Doctrine;Medium;L46026;x
547009;Chief of Navy;马里扬 波利克 ;30;FA;Decisive Naval Battle Doctrine;Medium;L46046;x
547010;Chief of Air Force;佩塔尔 武克切维奇 ;30;FA;Army Aviation Doctrine;Medium;L46062;x
547011;Head of State;约瑟普 布罗兹 ;36;LWR;Benevolent Gentleman;High;M20021;x
547012;Head of State;科斯塔 塔纳佐维奇 ;36;ML;Popular Figurehead;High;M547012;x
547013;Head of Government;约瑟普 布罗兹 ;36;LWR;Happy Amateur;High;M20021;x
547014;Head of Government;伊万 苏巴希奇 ;36;ML;Silent Workhorse;High;M20014;x
547015;Foreign Minister;伊西多尔 曼德雷维奇 ;42;FA;The Cloak N Dagger Schemer;Medium;M547015;x
547016;Foreign Minister;斯塔诺耶 西米克 ;36;LWR;Apologetic Clerk;Medium;M20023;x
547017;Foreign Minister;爱德华 卡德尔 ;36;ML;Biased Intellectual;Very High;M20047;x
547018;Foreign Minister;德拉戈米尔 威吉克 ;41;ML;Iron Fisted Brute;Very High;M547018;x
547019;Minister of Armament;米霍维尔 托曼德尔 ;42;FA;Air Superiority Proponent;Medium;M547019;x
547020;Minister of Armament;米伦蒂耶 波波维奇 ;36;LWR;Corrupt Kleptocrat;High;M20024;x
547021;Minister of Armament;达沃林 延科 ;42;LWR;Administrative Genius;High;M547021;x
547022;Minister of Armament;拉季斯拉夫 波利克 ;36;ML;Laissez Faires Capitalist;Medium;M20050;x
547023;Minister of Armament;瓦萨 萨伊洛维奇 ;43;ML;Resource Industrialist;Medium;M547023;x
547024;Minister of Security;哈拉尔德 图尔纳 ;41;FA;Prince of Terror;Medium;M547024;x
547025;Minister of Security;米柳京 巴卡尔 ;42;FA;Compassionate Gentleman;Medium;M547025;x
547026;Minister of Security;乔达 乌多维奇基 ;36;LWR;Silent Lawyer;Medium;M547026;x
547027;Minister of Security;德拉戈柳布 斯特凡尼克 ;36;ML;Crime Fighter;Medium;M20061;x
547028;Minister of Security;米利京 米兰科维奇 ;39;ML;Man of the People;Medium;M547028;x
547029;Head of Military Intelligence;莱昂纳德 康蒂 ;41;FA;Political Specialist;Medium;M547029;x
547030;Head of Military Intelligence;拉扎 科斯蒂克 ;36;LWR;Industrial Specialist;Medium;M547030;x
547031;Head of Military Intelligence;米哈伊尔 米洛萨耶维奇 ;36;ML;Logistics Specialist;Medium;M20068;x
547032;Head of Military Intelligence;瓦萨 日夫科沃奇 ;41;ML;Dismal Enigma;Medium;M547032;x
547033;Chief of Staff;阿尔塞 约万诺维奇 ;36;LWR;School of Fire Support;Medium;M20075;x
547034;Chief of Staff;拉迪沃耶 扬科维奇 ;36;ML;School of Fire Support;Low;L46012;x
547035;Chief of Army;博里沃耶 约克西莫维奇 ;36;LWR;Guns and Butter Doctrine;High;L46013;x
547036;Chief of Army;米哈伊洛 卢基奇 ;36;ML;Elastic Defence Doctrine;High;L46020;x
547037;Chief of Navy;约瑟普 布罗兹 ;36;LWR;Base Control Doctrine;High;M20029;x
547038;Chief of Navy;博古柳布 伊利克 ;36;ML;Open Seas Doctrine;High;M20029;x
547039;Chief of Air Force;约瑟普 布罗兹 ;36;LWR;Vertical Envelopment Doctrine;Medium;M20028;x
547040;Chief of Air Force;德拉戈米尔 卢卡切维奇 ;36;ML;Air Superiority Doctrine;Medium;L46055;x
547041;Minister of Security;米兰 阿西莫维奇;41;NS;Efficient Sociopath;High;M_YUG_MilanAcimovic;x
547042;Foreign Minister;米兰 阿西莫维奇;41;NS;The Cloak N Dagger Schemer;Medium;M_YUG_MilanAcimovic;x
547043;Head of Government;米兰 阿西莫维奇;42;NS;Happy Amateur;High;M_YUG_MilanAcimovic;x
547044;Foreign Minister;米哈伊洛 奥尔坎;42;NS;Ideological Crusader;High;M_SER_MihailoOlcan;x
547045;Minister of Armament;米哈伊洛 奥尔坎;41;NS;Laissez Faires Capitalist;Medium;M_SER_MihailoOlcan;x
547046;Chief of Staff;帕夫列 杜里斯克;43;FA;School of Mass Combat;Medium;M_SER_PavleDurisic;x
547047;Chief of Army;帕夫列 杜里斯克;45;FA;Decisive Battle Doctrine;Medium;M_SER_PavleDurisic;x
