SIA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
62002;Head of Government;ÆÓ ÅÁºéÈôÍ¢ ;36;PA;Happy Amateur;High;M62002;x
62003;Foreign Minister;¹ş Èı°ÍµÙË¹Á¢ ;36;PA;Apologetic Clerk;Medium;M62003;x
62004;Minister of Armament;ÆÓ ÅÁºéÈôÍ¢ ;36;PA;Corrupt Kleptocrat;Medium;M62002;x
62005;Minister of Security;±ÈÀï ÅÁÙ¯ÈÙ ;36;PA;Back Stabber;Low;M62005;x
62006;Head of Military Intelligence;±ÈÀï ÅÁÙ¯ÈÙ ;36;PA;Industrial Specialist;Medium;M62005;x
62007;Chief of Staff;öÇÅûãë ËÌ¿° ;36;PA;School of Mass Combat;Medium;M62007;x
62008;Chief of Army;öÇÅûãë ËÌ¿° ;36;PA;Guns and Butter Doctrine;High;M62007;x
62009;Chief of Navy;±ÈÀï ÅÁÙ¯ÈÙ ;36;PA;Base Control Doctrine;Medium;M62005;x
62010;Chief of Air Force;ÅÁ Íß²îÑïÄÏÉ³Á¢ ;36;PA;Army Aviation Doctrine;High;M62010;x
62031;Head of State;À¼ÊµÍõ×Ó ²ÂÄÏµÂ ;42;PA;Autocratic Charmer;High;M62031;x
62033;Head of State;À­Âê¾ÅÊÀ ÆÕÃÜÅî¡¤°¢¶ÅµÂ ;46;PA;Benevolent Gentleman;High;M62011;x
62035;Head of Government;öÇÅûãë ËÌ¿° ;38;FA;Old General;High;M62007;x
62036;Head of Government;¿í °¢ÅÉÍú ;44;PA;Silent Workhorse;High;M62036;x
62037;Head of Government;ËûÍş ãëÒ®¼ª ;45;SC;Smiling Oilman;High;M62015;x
62038;Head of Government;ÉçÄá °ÍÄª ;46;SC;Corporate Suit;High;M62012;x
62039;Head of Government;¿í °¢ÅÉÍú ;46;ML;Silent Workhorse;High;M62036;x
62040;Head of Government;±ÈÀï ÅÁÙ¯ÈÙ ;46;PA;Old Admiral;High;M62005;x
62041;Head of Government;ËûÍú Ì½Â¡ÄÇÍßÉ³Íß ;46;PA;Political Protege;High;M62029;x
62042;Head of Government;ÆÓ ÅÁºéÈôÍ¢ ;39;SC;Happy Amateur;High;M62002;x
62043;Foreign Minister;ÅÁÒ® ¼¯ËşÄÉËÎ¿¨ß· ;38;FA;Apologetic Clerk;Medium;M62026;x
62044;Foreign Minister;ÍşÆß ÍşÆßÍÛËû¸É ;42;FA;Ideological Crusader;Very High;M62044;x
62045;Foreign Minister;öÇÅûãë ËÌ¿° ;43;FA;General Staffer;High;M62007;x
62046;Foreign Minister;±ÈÀï ÅÁÙ¯ÈÙ ;43;FA;Iron Fisted Brute;Low;M62005;x
62047;Foreign Minister;ÒÖËû¿¨Àï °ÍÙ¯ÈÙ ;44;PA;Biased Intellectual;Medium;M62047;x
62048;Foreign Minister;ËûÍş ãëÒ®¼ª ;45;SC;General Staffer;Medium;M62015;x
62049;Foreign Minister;ÉçÄá °ÍÄª ;45;SC;Ideological Crusader;Medium;M62012;x
62050;Foreign Minister;ÀïÂÌ ²ÂÒ®ÄÏ ;45;ML;Great Compromiser;Low;M62014;x
62051;Foreign Minister;ÌìÁÁ »êËş¹Å ;46;PA;Apologetic Clerk;Medium;M62051;x
62052;Foreign Minister;ËûÍú Ì½Â¡ÄÇÍßÉ³Íß ;46;PA;The Cloak N Dagger Schemer;Medium;M62029;x
62054;Minister of Armament;ÅûÒ® ±È´ï¿âÉ³ ;37;PA;Administrative Genius;Medium;M62054;x
62055;Minister of Armament;ÅÁÒ® ÍşÆß´ºÀ­Ì½ ;37;PA;Battle Fleet Proponent;Medium;M62055;x
62056;Minister of Armament;±ÈÀï ÅÁÙ¯ÈÙ ;38;FA;Tank Proponent;Low;M62005;x
62057;Minister of Armament;É­ ¹şÀïÉ³ÄÉÂíÀ­ ;39;SC;Air Superiority Proponent;Medium;M62057;x
62058;Minister of Armament;ÅÁ Íß²îÑïÄÏÉ³Á¢ ;41;FA;Air to Ground Proponent;High;M62010;x
62059;Minister of Armament;ÅûÒ® ²¼ÀïÄÉÍßÀ­Ë¹ ;41;SC;Resource Industrialist;Medium;M62059;x
62060;Minister of Armament;Õ§ÁúÍõ×Ó µîÏÂ ;43;FA;Military Entrepreneur;Medium;M62060;x
62061;Minister of Armament;ÅÁÒ® ²îÁÖ½Ü ;43;FA;Strategic Air Proponent;Medium;M62061;x
62062;Minister of Armament;ÅÁÒ® ±È²î´ºÀ­Óı¹ş ;44;ML;Submarine Proponent;Medium;M62019;x
