TRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
523001;Head of State;阿尔谢尼 兹韦列夫 ;30;LWR;Barking Buffoon;High;M523001;x
523002;Head of Government;弗拉斯 丘巴尔 ;30;LWR;Smiling Oilman;High;M523002;x
523003;Foreign Minister;格里戈里 格林科 ;30;LWR;Great Compromiser;High;M523003;x
523004;Minister of Armament;尼古拉 布留哈诺夫 ;30;LWR;Infantry Proponent;Medium;M523004;x
523005;Minister of Security;弗谢莱沃德 梅尔库洛夫 ;30;LWR;Back Stabber;Medium;M523005;x
523006;Head of Military Intelligence;格里戈里 索科利尼科夫 ;30;LWR;Dismal Enigma;Medium;M523006;x
523007;Chief of Staff;克尔德什 尼基京 ;30;LWR;School of Defence;Medium;M523007;x
523008;Chief of Army;奥西普 福金 ;30;LWR;Decisive Battle Doctrine;Medium;M523008;x
523009;Chief of Navy;鲁里克 埃特尔金 ;30;LWR;Decisive Naval Battle Doctrine;Medium;L502013;x
523010;Chief of Air Force;根纳季 阿巴库莫夫 ;30;LWR;Army Aviation Doctrine;Medium;M523010;x
523011;Head of State;米哈伊尔 拉祖尔金 ;30;ML;Popular Figurehead;High;M523011;x
523012;Head of State;伊戈尔三世 恰夫恰瓦泽陛下 ;30;PA;Pig-headed Isolationist;High;M523012;x
523013;Head of Government;米哈伊尔 谢布里亚科夫 ;30;ML;Silent Workhorse;High;M523013;x
523014;Head of Government;谢尔盖 布利奇 ;30;PA;Ambitious Union Boss;High;M523014;x
523015;Foreign Minister;尼古拉 沃兹涅先斯基 ;30;LWR;Biased Intellectual;High;M523015;x
523016;Foreign Minister;弗谢沃洛德 托马舍夫斯基 ;30;ML;Apologetic Clerk;High;M523016;x
523017;Foreign Minister;谢尔盖 伯恩施泰因 ;30;ML;Iron Fisted Brute;High;M523017;x
523018;Foreign Minister;维克托 福塞克 ;30;PA;Great Compromiser;High;M523018;x
523019;Foreign Minister;弗拉迪米尔 奥尔洛夫 ;30;PA;Iron Fisted Brute;High;M523019;x
523020;Minister of Armament;马克西姆 萨布罗夫 ;30;LWR;Theoretical Scientist;Medium;M523020;x
523021;Minister of Armament;尼古拉 杰尔扎温 ;30;ML;Air Superiority Proponent;Medium;M523021;x
523022;Minister of Armament;尼基塔 克雷洛夫 ;30;ML;Military Entrepreneur;Medium;M523022;x
523023;Minister of Armament;迪米特里 戈连科夫 ;30;PA;Tank Proponent;Medium;M523023;x
523024;Minister of Armament;帕维尔 沃罗尼 ;30;PA;Battle Fleet Proponent;Medium;M523024;x
523025;Minister of Armament;迪米特里 格拉贝-尼基京 ;30;PA;Infantry Proponent;Medium;M523025;x
523026;Minister of Security;根纳季 斯米尔诺夫 ;30;LWR;Compassionate Gentleman;Medium;M526026;x
523027;Minister of Security;维克托 阿巴库莫夫 ;30;LWR;Prince of Terror;Medium;M523027;x
523028;Minister of Security;弗拉迪米尔 希姆克维奇 ;30;ML;Efficient Sociopath;Medium;M523028;x
523029;Minister of Security;尼基塔 云特 ;30;ML;Crime Fighter;Medium;M523029;x
523030;Minister of Security;阿列克谢 弗里德曼 ;30;PA;Prince of Terror;Medium;M523030;x
523031;Minister of Security;沙夫罗夫 尼基京 ;30;PA;Crime Fighter;Medium;M523031;x
523032;Head of Military Intelligence;亚历山大 伊万诺夫 ;30;LWR;Industrial Specialist;Medium;M523032;x
523033;Head of Military Intelligence;尤尔采夫 斯米尔诺夫 ;30;ML;Technical Specialist;Medium;M523033;x
523034;Head of Military Intelligence;鲍里斯 加廖尔金 ;30;ML;Dismal Enigma;Medium;M523034;x
523035;Head of Military Intelligence;帕特里亚尔奇 吉洪 ;30;PA;Political Specialist;Medium;M523035;x
523036;Head of Military Intelligence;格莱布 克日扎诺夫斯基 ;30;PA;Dismal Enigma;Medium;M523036;x
523037;Chief of Staff;瓦西里 切贝基莫夫 ;30;ML;School of Fire Support;Medium;M523037;x
523038;Chief of Staff;拉扎克 哈齐耶夫 ;30;PA;School of Mass Combat;Medium;M523038;x
523039;Chief of Army;阿列斯克山德 萨布罗夫 ;30;LWR;Elastic Defence Doctrine;Medium;M523039;x
523040;Chief of Army;沃利亚 博尔舍夫斯基 ;30;ML;Armoured Spearhead Doctrine;Medium;M523040;x
523041;Chief of Army;伊戈尔 科夫龙 ;30;PA;Static Defence Doctrine;Medium;M523041;x
523042;Chief of Army;谢尔盖 科罗瓦尔切夫 ;30;PA;Guns and Butter Doctrine;Medium;M523042;x
523043;Chief of Navy;伊格纳茨 德米尔金 ;30;ML;Open Seas Doctrine;Medium;L504000;x
523044;Chief of Navy;迪米特里 萨卡尔斯基 ;30;PA;Indirect Approach Doctrine;Medium;M520034;x
523045;Chief of Air Force;尼基福尔 加蓬 ;30;ML;Carpet Bombing Doctrine;Medium;M523045;x
523046;Chief of Air Force;卡尔 戴恩哈特 ;30;PA;Air Superiority Doctrine;Medium;M523046;x
523047;Chief of Staff;格里戈里 米哈伊洛维奇 谢苗诺夫;38;SC;School of Manoeuvre;High;M_TRA_Grigory_M_Semyonov;x
523048;Chief of Army;格里戈里 米哈伊洛维奇 谢苗诺夫;42;SC;Static Defence Doctrine;High;M_TRA_Grigory_M_Semyonov;x
523049;Foreign Minister;格里戈里 米哈伊洛维奇 谢苗诺夫;45;SC;General Staffer;High;M_TRA_Grigory_M_Semyonov;x
