TUN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
532001;Head of State;艾哈迈德二世 阿尔-突尼斯 ;36;SL;Ruthless Powermonger;High;M532001;x
532002;Head of Government;赫迪 拉霍伊 ;36;SL;Happy Amateur;High;M532002;x
532003;Foreign Minister;阿曼德 吉永 ;36;SL;Great Compromiser;High;M532003;x
532004;Minister of Armament;萨拉赫丁 贝库奇 ;36;SL;Tank Proponent;Medium;M532004;x
532005;Minister of Security;麦哈米德 舍尼克 ;36;SL;Man of the People;Medium;M532005;x
532006;Head of Military Intelligence;穆斯塔法 卡克 ;36;SL;Industrial Specialist;Medium;M532006;x
532007;Chief of Staff;亨利 德阿斯铁尔 德拉维热里 ;36;SL;School of Manoeuvre;Medium;M532007;x
532008;Chief of Army;博胡米尔 瓦扎奇 ;36;SL;Guns and Butter Doctrine;Medium;M532008;x
532009;Chief of Navy;尤勒斯 埃弗努 ;36;SL;Open Seas Doctrine;Medium;M532009;x
532010;Chief of Air Force;埃米尔 吉纳 ;36;SL;Army Aviation Doctrine;Medium;M532010;x
532011;Head of State;谢克 塔希尔 本 阿马尔 ;36;SD;Autocratic Charmer;High;M532011;x
532012;Head of State;穆罕默德七世 阿尔-蒙西夫 ;42;SL;Die-hard Reformer;High;M532012;x
532013;Head of State;穆罕默德八世 阿尔-阿明 ;43;SL;Powerhungry Demagogue;High;M532013;x
532014;Head of State;麦哈米德 舍尼克 ;36;SC;Popular Figurehead;High;M532005;x
532015;Head of Government;哈比卜 布尔吉巴 ;36;SD;Ambitious Union Boss;High;M532015;x
532016;Head of Government;麦哈米德 舍尼克 ;43;SL;Corporate Suit;High;M532005;x
532017;Head of Government;萨拉赫丁 贝库奇 ;43;SL;Smiling Oilman;High;M532004;x
532018;Head of Government;穆斯塔法 卡克 ;47;SL;Smiling Oilman;High;M532006;x
532019;Head of Government;哈穆达 沙德拉尼 ;36;SC;Political Protege;High;M532019;x
532020;Foreign Minister;巴希 拉德加姆 ;36;SD;Great Compromiser;High;M532020;x
532021;Foreign Minister;埃里克 拉博纳 ;38;SL;Apologetic Clerk;High;M531014;x
532022;Foreign Minister;让 皮埃尔 埃斯特瓦 ;40;SL;General Staffer;High;L24159;x
532023;Foreign Minister;查尔斯 伊曼纽尔 马斯特 ;43;SL;The Cloak N Dagger Schemer;High;M532023;x
532024;Foreign Minister;让 蒙斯 ;47;SL;Biased Intellectual;High;M532024;x
532025;Foreign Minister;谢克 穆罕默德 贾卢利 ;36;SC;Biased Intellectual;High;M532025;x
532026;Minister of Armament;塔伊布 迈希里 ;36;SD;Battle Fleet Proponent;Medium;M532026;x
532027;Minister of Armament;罗杰 阿卢埃 ;42;SL;Theoretical Scientist;Medium;M532027;x
532028;Minister of Armament;穆罕默德 马斯穆迪 ;44;SL;Military Entrepreneur;Medium;M532028;x
532029;Minister of Armament;阿里 贝尔豪翁 ;36;SC;Air Superiority Proponent;Medium;M532029;x
532030;Minister of Security;蒙吉 斯利姆 ;36;SD;Crime Fighter;Medium;M532030;x
532031;Minister of Security;费尔哈特 凯尔托乌姆 ;43;SL;Compassionate Gentleman;Medium;M532031;x
532032;Minister of Security;赫迪 努伊拉 ;36;SC;Back Stabber;Medium;M532032;x
532033;Head of Military Intelligence;哈比卜 布尔吉巴 ;36;SD;Technical Specialist;Medium;M532015;x
532034;Head of Military Intelligence;安德烈 利希特维茨 ;41;SL;Political Specialist;Medium;M532034;x
532035;Head of Military Intelligence;哈穆达 沙德拉尼 ;36;SC;Dismal Enigma;Medium;M532019;x
532036;Chief of Staff;让 劳伦特-尚罗赛 ;36;SD;School of Fire Support;Medium;M532036;x
532037;Chief of Staff;雅克 马苏 ;43;SL;School of Psychology;Medium;M532037;x
532038;Chief of Staff;雅克 塞韦斯特 ;36;SC;School of Mass Combat;Medium;M532038;x
532039;Chief of Army;埃米尔 库拉顿 ;43;SL;Decisive Battle Doctrine;Medium;M532039;x
532040;Chief of Army;亨利 德阿斯铁尔 德拉维热里 ;36;SC;Static Defence Doctrine;Medium;M532007;x
532041;Chief of Army;埃米尔 吉纳 ;36;SC;Elastic Defence Doctrine;Medium;M532010;x
532042;Chief of Navy;贾卢利 法里斯 ;36;SD;Base Control Doctrine;Medium;M532042;x
532043;Chief of Navy;雅克 塞韦斯特 ;43;SL;Indirect Approach Doctrine;Medium;M532038;x
532044;Chief of Navy;萨多克 莫卡德姆 ;36;SC;Decisive Naval Battle Doctrine;Medium;M532044;x
532045;Chief of Air Force;阿布达拉 费尔哈特 ;36;SD;Vertical Envelopment Doctrine;Medium;M532045;x
532046;Chief of Air Force;埃米尔 阿莱格雷 ;43;SL;Carpet Bombing Doctrine;Medium;M532046;x
532047;Chief of Air Force;艾哈迈德 特利利 ;36;SC;Naval Aviation Doctrine;Medium;M532047;x
