TUR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
12002;Head of Government;穆斯塔法 伊斯梅特 伊纳尼 ;30;PA;Political Protege;High;M12002;x
12003;Foreign Minister;特福维克 罗特 阿洛斯;30;PA;Biased Intellectual;Medium;M12003;x
12004;Minister of Armament;泽卡伊 阿帕伊登 ;30;SC;Resource Industrialist;Medium;M12004;x
12005;Minister of Security;许克吕 卡亚 ;30;SC;Man of the People;Medium;M12005;x
12006;Head of Military Intelligence;许克吕 阿里 厄盖尔 ;30;FA;Industrial Specialist;High;M12006;x
12007;Chief of Staff;费夫齐 查克马克 ;30;PA;School of Psychology;High;M12007;x
12008;Chief of Army;穆罕默德 努里 亚穆特 ;30;PA;Static Defence Doctrine;Medium;M12008;x
12009;Chief of Navy;穆罕默德 阿里 翁根 ;30;PA;Base Control Doctrine;Medium;M12009;x
12010;Chief of Air Force;阿里 庞加特;30;PA;Vertical Envelopment Doctrine;Medium;M12010;x
12031;Head of State;穆斯塔法 伊斯梅特 伊纳尼 ;38;SC;Pig-headed Isolationist;High;M12031;x
12032;Head of Government;马哈茂德 杰拉勒 巴亚尔 ;38;SC;Silent Workhorse;High;M12032;x
12033;Head of Government;雷菲克 萨伊达姆 ;39;ML;Smiling Oilman;High;M12024;x
12034;Head of Government;许克吕 萨拉吉奥卢 ;42;ML;Flamboyant Tough Guy;High;M12034;x
12035;Foreign Minister;许克吕 萨拉吉奥卢 ;38;SC;Biased Intellectual;High;M12034;x
12036;Foreign Minister;赛义德 梅内曼吉奥卢 ;42;ML;Great Compromiser;Medium;M12036;x
12038;Foreign Minister;哈桑 萨卡;44;SC;Ideological Crusader;Medium;M12038;x
12039;Foreign Minister;内吉梅丁 萨迪克 萨达克 ;47;SC;General Staffer;Medium;M12039;x
12040;Foreign Minister;勒费 贝勒 ;36;PA;General Staffer;Medium;M12040;x
12041;Foreign Minister;穆斯塔法 伊斯梅特 伊纳尼 ;37;SC;Great Compromiser;Medium;M12002;x
12042;Foreign Minister;阿里 费蒂 奥克亚尔 ;37;FA;Ideological Crusader;High;M12013;x
12043;Foreign Minister;阿卜杜勒哈利克 伦达 ;43;ML;Apologetic Clerk;Medium;M12043;x
12045;Minister of Armament;努鲁拉 埃萨特 叙梅尔 ;43;ML;Corrupt Kleptocrat;Medium;M12045;x
12046;Minister of Armament;阿德南 门德列斯 ;46;ML;Theoretical Scientist;Medium;M12046;x
12047;Minister of Armament;穆斯塔法 伊斯梅特 伊纳尼 ;36;SC;Administrative Genius;Medium;M12031;x
12048;Minister of Armament;福阿德 卡利斯塔尔 ;36;SC;Infantry Proponent;Medium;M12048;x
