UAU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65501;Head of State;罗伯特 G 孟席斯 ;36;ML;Stern Imperialist;High;M56037;x
65502;Head of Government;迈克尔 约瑟夫 萨维奇 ;36;ML;Silent Workhorse;High;M55002;x
65503;Foreign Minister;威廉 M 休斯 ;36;ML;Biased Intellectual;Very High;M56044;x
65504;Foreign Minister;瓦尔特 纳什 ;36;ML;Apologetic Clerk;High;M55004;x
65505;Foreign Minister;弗雷德里克 斯图尔特 ;36;ML;Ideological Crusader;High;M56046;x
65506;Foreign Minister;帕尔默 A 麦克布赖德 ;36;ML;Iron Fisted Brute;High;M56042;x
65507;Foreign Minister;亨利 S 格莱特 ;36;ML;Great Compromiser;Medium;M56043;x
65508;Foreign Minister;弗农 斯特迪 ;36;ML;General Staffer;Medium;M56049;x
65509;Foreign Minister;戈登 科茨 ;36;ML;The Cloak N Dagger Schemer;High;M55046;x
65510;Minister of Armament;G A 施特雷特 ;36;ML;Administrative Genius;High;M56046;x
65511;Minister of Armament;瓦尔特 纳什 ;36;ML;Resource Industrialist;High;M55004;x
65512;Minister of Armament;肯 麦肯齐 ;36;ML;Theoretical Scientist;High;M55058;x
65513;Minister of Armament;斯坦利 墨尔本 布鲁斯 ;36;ML;Laissez Faires Capitalist;High;M56062;x
65514;Minister of Armament;诺曼 J 梅金 ;36;ML;Military Entrepreneur;Medium;M56061;x
65515;Minister of Armament;亨利 肖沃斯 ;36;ML;Battle Fleet Proponent;Medium;M56064;x
65516;Minister of Armament;盖伊 C C 罗伊尔 ;36;ML;Submarine Proponent;Medium;M56068;x
65517;Minister of Armament;悉尼 罗韦尔 ;36;ML;Tank Proponent;Medium;M56066;x
65518;Minister of Armament;爱德华 帕蒂克 ;36;ML;Infantry Proponent;High;M55059;x
65519;Minister of Armament;理查德 威廉斯 ;36;ML;Air Superiority Proponent;Medium;M56010;x
65520;Minister of Armament;杰克 亨利 ;36;ML;Corrupt Kleptocrat;Medium;M56024;x
65521;Minister of Armament;W H 斯特拉顿 ;36;ML;Air to Ground Proponent;High;M55056;x
65522;Minister of Armament;W D 博斯托克 ;36;ML;Air to Sea Proponent;High;M56059;x
65523;Minister of Armament;A 德 特罗特 内维尔 ;36;ML;Strategic Air Proponent;High;M55055;x
65524;Minister of Security;托马斯 帕特松 ;36;ML;Silent Lawyer;Medium;M56005;x
65525;Minister of Security;哈蒂尔 S 福尔 ;36;ML;Compassionate Gentleman;Medium;M56058;x
65526;Minister of Security;亚历山大 麦克拉克伦 ;36;ML;Crime Fighter;High;M56006;x
65527;Minister of Security;悉尼 霍兰 ;36;ML;Prince of Terror;Very High;M55039;x
65528;Minister of Security;赫伯特 V 伊瓦特 ;36;ML;Back Stabber;High;M56050;x
65529;Minister of Security;厄尔 佩奇 ;36;ML;Man of the People;Medium;M56048;x
65530;Minister of Security;肯尼思 伊瑟 ;36;ML;Efficient Sociopath;High;M56078;x
65531;Minister of Security;W A 维奇-米尔内 ;36;ML;Crooked Kleptocrat;High;M55015;x
65532;Head of Military Intelligence;约翰 J 戴德曼 ;36;ML;Technical Specialist;High;M56098;x
65533;Head of Military Intelligence;西里尔 宾厄姆-怀特 ;36;ML;Logistics Specialist;High;M56093;x
65534;Head of Military Intelligence;本 奇夫利 ;36;ML;Political Specialist;Very High;M56039;x
65535;Head of Military Intelligence;肯尼思 福克斯 ;36;ML;Dismal Enigma;Medium;M55006;x
65536;Head of Military Intelligence;诺曼 J 梅金 ;36;ML;Industrial Specialist;Medium;M56061;x
65537;Head of Military Intelligence;拉格纳 M. 科尔文 ;36;ML;Naval Intelligence Specialist;Medium;M56009;x
65538;Chief of Staff;约瑟夫 A 莱昂斯 ;36;ML;School of Manoeuvre;Very High;M56002;x
65539;Chief of Staff;詹姆斯 V 费尔贝恩 ;36;ML;School of Fire Support;Medium;M56103;x
65540;Chief of Staff;西里尔 宾厄姆-怀特 ;36;ML;School of Mass Combat;High;M56093;x
65541;Chief of Staff;爱德华 帕蒂克 ;36;ML;School of Defence;High;M55059;x
65542;Chief of Staff;约翰 J 柯廷 ;36;ML;School of Psychology;Very High;M56038;x
65543;Chief of Army;弗农 斯特迪 ;36;ML;Elastic Defence Doctrine;Medium;M56049;x
65544;Chief of Army;霍勒斯 威廉 施特鲁特 ;36;ML;Static Defence Doctrine;Medium;M56065;x
65545;Chief of Army;爱德华 帕蒂克 ;36;ML;Decisive Battle Doctrine;High;M55059;x
65546;Chief of Army;J E 杜伊甘 ;36;ML;Armoured Spearhead Doctrine;High;M55060;x
65547;Chief of Army;悉尼 罗韦尔 ;36;ML;Guns and Butter Doctrine;Medium;M56066;x
65548;Chief of Navy;H E 霍兰 ;36;ML;Open Seas Doctrine;High;M55085;x
65549;Chief of Navy;弗雷德里克 菲尔德 ;36;ML;Decisive Naval Battle Doctrine;High;M55057;x
65550;Chief of Navy;W H 斯特拉顿 ;36;ML;Power Projection Doctrine;High;M55056;x
65551;Chief of Navy;W E 帕里 ;36;ML;Indirect Approach Doctrine;High;M55052;x
65552;Chief of Navy;赫克托 瓦勒 ;36;ML;Base Control Doctrine;Medium;M56117;x
65553;Chief of Air Force;查尔斯 伯内特 ;36;ML;Air Superiority Doctrine;Medium;M56127;x
65554;Chief of Air Force;L M 伊西特 ;36;ML;Naval Aviation Doctrine;High;M55050;x
65555;Chief of Air Force;斯坦利 J 戈布尔 ;36;ML;Army Aviation Doctrine;Medium;M56067;x
65556;Chief of Air Force;A M G 琼斯 ;36;ML;Carpet Bombing Doctrine;High;M56063;x
65557;Chief of Air Force;A M 查尔斯沃思 ;36;ML;Vertical Envelopment Doctrine;Medium;M56124;x
