UES;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
79500;Head of State;绍尔 德 格罗特 ;36;ST;Stern Imperialist;High;M8021;x
79501;Head of Government;哈里 波利特 ;36;ST;Silent Workhorse;High;M1022;x
79502;Foreign Minister;拉亚尼 帕尔梅 杜特 ;36;ST;Biased Intellectual;Medium;M1023;x
79503;Foreign Minister;伊恩 米卡尔多 ;36;ST;Ideological Crusader;Medium;M1059;x
79504;Foreign Minister;D N 普里特 ;36;ST;Apologetic Clerk;Medium;M1057;x
79505;Foreign Minister;戴夫 斯普林霍尔 ;36;ST;Iron Fisted Brute;Medium;M1058;x
79506;Foreign Minister;绍尔 德 格罗特 ;36;ST;Great Compromiser;Low;M8021;x
79507;Foreign Minister;阿尔伯特 奥尔森 ;36;ST;General Staffer;High;M16023;x
79508;Foreign Minister;菲尔 皮拉廷 ;36;ST;The Cloak N Dagger Schemer;Medium;M1056;x
79509;Minister of Armament;亚瑟 霍纳 ;36;ST;Administrative Genius;Medium;M1076;x
79510;Minister of Armament;莱斯利 索利 ;36;ST;Resource Industrialist;Medium;M1075;x
79511;Minister of Armament;斯塔福德 克里普斯 ;36;ST;Theoretical Scientist;Medium;M1024;x
79512;Minister of Armament;派特尔 伯格斯马 ;36;ST;Laissez Faires Capitalist;Medium;M8102;x
79513;Minister of Armament;雅克 德 卡特 ;36;ST;Military Entrepreneur;High;M8081;x
79514;Minister of Armament;埃德加 拉尔芒 ;36;ST;Battle Fleet Proponent;Very High;M15022;x
79515;Minister of Armament;杰克 加斯特 ;36;ST;Submarine Proponent;Medium;M1077;x
79516;Minister of Armament;阿贝 莫法特 ;36;ST;Tank Proponent;Medium;M1078;x
79517;Minister of Armament;威廉 鲁斯特 ;36;ST;Infantry Proponent;Medium;M1079;x
79518;Minister of Armament;孔尼亚 齐利亚克斯 ;36;ST;Air Superiority Proponent;Medium;M1080;x
79519;Minister of Armament;阿尔弗雷德 詹森 ;36;ST;Corrupt Kleptocrat;High;M16024;x
79520;Minister of Armament;尼尔斯 博尔 ;36;ST;Air to Ground Proponent;Very High;M16071;x
79521;Minister of Armament;扬 波斯特马 ;36;ST;Air to Sea Proponent;Low;M8024;x
79522;Minister of Armament;雅各布斯 恩格斯 ;36;ST;Strategic Air Proponent;High;M8105;x
79523;Minister of Security;约翰 普拉茨-米尔斯 ;36;ST;Silent Lawyer;Medium;M1097;x
79524;Minister of Security;基姆 菲尔比 ;36;ST;Compassionate Gentleman;Very High;M1025;x
79525;Minister of Security;丹尼尔 古鲁兹 ;36;ST;Crime Fighter;Low;M8025;x
79526;Minister of Security;瓦奥莱特 兰斯伯里 ;36;ST;Prince of Terror;Medium;M1095;x
79527;Minister of Security;莱斯特 哈钦森 ;36;ST;Back Stabber;Medium;M1096;x
79528;Minister of Security;悉尼 西尔弗曼 ;36;ST;Man of the People;Medium;M1098;x
79529;Minister of Security;伯厄 霍曼 ;36;ST;Efficient Sociopath;High;M16025;x
79530;Minister of Security;埃德加 拉尔芒 ;36;ST;Crooked Kleptocrat;Very High;M15022;x
79531;Head of Military Intelligence;基姆 菲尔比 ;36;ST;Technical Specialist;Very High;M1105;x
79532;Head of Military Intelligence;亚伯拉罕 梅尼斯特 ;36;ST;Logistics Specialist;High;M8026;x
79533;Head of Military Intelligence;安东尼 布伦特 ;36;ST;Political Specialist;Very High;M1026;x
79534;Head of Military Intelligence;安奈林 贝文 ;36;ST;Dismal Enigma;High;M1021;x
79535;Head of Military Intelligence;威廉 加拉赫 ;36;ST;Industrial Specialist;High;M1111;x
79536;Head of Military Intelligence;克里斯托弗 希尔 ;36;ST;Naval Intelligence Specialist;High;M1112;x
79537;Chief of Staff;汤姆 温特林厄姆 ;36;ST;School of Manoeuvre;High;M1027;x
79538;Chief of Staff;斯文 瓦格纳 ;36;ST;School of Fire Support;Low;M16027;x
79539;Chief of Staff;托马斯 斯特罗伊克 ;36;ST;School of Mass Combat;High;M8027;x
79540;Chief of Staff;格特 斯泰林加 ;36;ST;School of Defence;High;M8152;x
79541;Chief of Staff;雅各布斯 恩格斯 ;36;ST;School of Psychology;High;M8105;x
79542;Chief of Army;伯厄 廷 ;36;ST;Elastic Defence Doctrine;High;M16028;x
79543;Chief of Army;比尔 亚历山大 ;36;ST;Static Defence Doctrine;High;M1028;x
79544;Chief of Army;亚历山大 德 莱乌 ;36;ST;Decisive Battle Doctrine;Very High;M8162;x
79545;Chief of Army;尼科 范 施特拉滕 ;36;ST;Armoured Spearhead Doctrine;Low;M8028;x
79546;Chief of Army;安东 克耶曼斯 ;36;ST;Guns and Butter Doctrine;Very High;M8164;x
79547;Chief of Navy;福克 博斯曼 ;36;ST;Open Seas Doctrine;High;M8123;x
79548;Chief of Navy;哈里 波利特 ;36;ST;Decisive Naval Battle Doctrine;High;M1022;x
79549;Chief of Navy;克努兹 耶斯佩森 ;36;ST;Power Projection Doctrine;High;M16086;x
79550;Chief of Navy;弗雷德 科普曼 ;36;ST;Indirect Approach Doctrine;High;M1029;x
79551;Chief of Navy;克里斯蒂安 比克曼 ;36;ST;Base Control Doctrine;Low;M8170;x
79552;Chief of Air Force;阿克塞尔 拉森 ;36;ST;Air Superiority Doctrine;Very High;M16021;x
79553;Chief of Air Force;乔治 韦雷茨肯 ;36;ST;Naval Aviation Doctrine;Very High;M15121;x
79554;Chief of Air Force;尤利乌斯 塞赫尔斯 ;36;ST;Army Aviation Doctrine;Low;M8030;x
79555;Chief of Air Force;约翰 斯特雷奇 ;36;ST;Carpet Bombing Doctrine;High;M1030;x
79556;Chief of Air Force;扬 迪特斯 ;36;ST;Vertical Envelopment Doctrine;High;M8041;x
