USN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
63401;Head of State;富兰克林 D 罗斯福 ;36;ML;Stern Imperialist;High;M6001;x
63402;Head of Government;阿尔本 W 巴克利 ;36;ML;Silent Workhorse;High;M6047;x
63403;Foreign Minister;格拉尔德 奈 ;36;ML;Biased Intellectual;High;M6068;x
63404;Foreign Minister;牛顿 韦斯利 罗韦尔 ;36;ML;Ideological Crusader;High;M45044;x
63405;Foreign Minister;阿尔弗雷德 E 史密斯 ;36;ML;Apologetic Clerk;High;M6067;x
63406;Foreign Minister;亚瑟 范登堡 ;36;ML;Iron Fisted Brute;High;M6066;x
63407;Foreign Minister;麦肯齐 金 ;36;ML;Great Compromiser;Undying;M45002;x
63408;Foreign Minister;约翰 巴塞特 穆尔 ;36;ML;General Staffer;High;M6065;x
63409;Foreign Minister;R B 本内特 ;36;ML;The Cloak N Dagger Schemer;Undying;M45036;x
63410;Minister of Armament;伊恩 A 麦肯齐 ;36;ML;Administrative Genius;High;M45004;x
63411;Minister of Armament;亚瑟 米恩 ;36;ML;Resource Industrialist;High;M45056;x
63412;Minister of Armament;詹姆斯 罗尔斯顿 ;36;ML;Theoretical Scientist;High;M45053;x
63413;Minister of Armament;哈里 I 霍普金斯 ;36;ML;Laissez Faires Capitalist;High;M6078;x
63414;Minister of Armament;乔治 H 德恩 ;36;ML;Military Entrepreneur;High;M6004;x
63415;Minister of Armament;路易斯 约翰逊 ;36;ML;Battle Fleet Proponent;High;M6092;x
63416;Minister of Armament;道格拉斯 S 阿博特 ;36;ML;Submarine Proponent;Very High;M45054;x
63417;Minister of Armament;罗伯特 P 帕特森 ;36;ML;Tank Proponent;High;M6083;x
63418;Minister of Armament;查尔斯 J 豪利特 ;36;ML;Infantry Proponent;Medium;M45060;x
63419;Minister of Armament;勒罗伊 格鲁曼 ;36;ML;Air Superiority Proponent;Very High;M6080;x
63420;Minister of Armament;瓦伦 G 胡珀 ;36;ML;Corrupt Kleptocrat;Low;M6033;x
63421;Minister of Armament;塔斯克 库克 ;36;ML;Air to Ground Proponent;Medium;M45059;x
63422;Minister of Armament;普雷斯顿 T 塔克 ;36;ML;Strategic Air Proponent;Very High;M6081;x
63423;Minister of Armament;威廉 D 派莱伊 ;36;ML;Air to Sea Proponent;Very High;M6094;x
63424;Minister of Security;罗伯特 H 杰克逊 ;36;ML;Silent Lawyer;Very High;M6108;x
63425;Minister of Security;乔治 W 斯蒂芬斯 ;36;ML;Compassionate Gentleman;Medium;M45069;x
63426;Minister of Security;弗兰克 墨菲 ;36;ML;Crime Fighter;Very High;M6107;x
63427;Minister of Security;威廉 G 亚当斯 ;36;ML;Back Stabber;Medium;M45079;x
63428;Minister of Security;弗朗西斯 B 比德尔 ;36;ML;Prince of Terror;Very High;M6106;x
63429;Minister of Security;约翰 迪芬巴克 ;36;ML;Man of the People;High;M45073;x
63430;Minister of Security;吉诺 韦尔基亚拉 ;36;ML;Efficient Sociopath;Medium;M45082;x
63431;Minister of Security;J. 埃德加 霍韦尔 ;36;ML;Crooked Kleptocrat;Very High;M6005;x
63432;Head of Military Intelligence;肯尼思 斯图尔特 ;36;ML;Technical Specialist;Very High;M45086;x
63433;Head of Military Intelligence;威廉 F 弗里德曼 ;36;ML;Logistics Specialist;Very High;M6006;x
63434;Head of Military Intelligence;阿道夫 贝勒 ;36;ML;Political Specialist;Very High;M6123;x
63435;Head of Military Intelligence;文森特 阿斯托 ;36;ML;Dismal Enigma;Very High;M6124;x
63436;Head of Military Intelligence;亨利 J 凯泽 ;36;ML;Industrial Specialist;High;M6082;x
63437;Head of Military Intelligence;威廉 G 亚当斯 ;36;ML;Naval Intelligence Specialist;Medium;M45079;x
63438;Chief of Staff;查尔斯 福克斯 ;36;ML;School of Manoeuvre;Very High;M45103;x
63439;Chief of Staff;乔治 C 马歇尔 ;36;ML;School of Fire Support;High;M6064;x
63440;Chief of Staff;肯尼思 斯图尔特 ;36;ML;School of Mass Combat;Very High;M45086;x
63441;Chief of Staff;马林 克雷格 ;36;ML;School of Defence;High;M6007;x
63442;Chief of Staff;亨利 克里勒 ;36;ML;School of Psychology;High;M45006;x
63443;Chief of Army;查尔斯 福克斯 ;36;ML;Elastic Defence Doctrine;Very High;M45103;x
63444;Chief of Army;托马斯 安德森 ;36;ML;Static Defence Doctrine;High;M45099;x
63445;Chief of Army;乔治 C 马歇尔 ;36;ML;Decisive Battle Doctrine;High;M6064;x
63446;Chief of Army;奥马尔 N 布拉德利 ;36;ML;Armoured Spearhead Doctrine;High;M6145;x
63447;Chief of Army;埃内斯特 阿什顿 ;36;ML;Guns and Butter Doctrine;Very High;M45007;x
63448;Chief of Navy;查尔斯 爱迪生 ;36;ML;Open Seas Doctrine;High;M6154;x
63449;Chief of Navy;威廉 D 莱希 ;36;ML;Decisive Naval Battle Doctrine;Very High;M6162;x
63450;Chief of Navy;埃内斯特 J 金 ;36;ML;Power Projection Doctrine;High;M6163;x
63451;Chief of Navy;让 库亚尔 ;36;ML;Indirect Approach Doctrine;Medium;M45078;x
