UTL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
63101;Head of State;胡安 多明戈 庇隆 ;36;ST;Stern Imperialist;High;M35021;x
63102;Head of Government;热图利奥 瓦尔加斯 ;36;ST;Silent Workhorse;High;M34001;x
63103;Foreign Minister;奥斯瓦尔多 阿拉尼亚 ;36;ST;Biased Intellectual;Medium;M34076;x
63104;Foreign Minister;亨利 贝格尔 ;36;ST;Ideological Crusader;Very Low;M34053;x
63105;Foreign Minister;费尔南多 布朗 莫拉莱斯 ;36;ST;Apologetic Clerk;Medium;M44067;x
63106;Foreign Minister;胡安 伊萨克 库克 ;36;ST;Iron Fisted Brute;Medium;M35082;x
63107;Foreign Minister;佩德罗 莱昂 维洛佐 ;36;ST;Great Compromiser;Medium;M34077;x
63108;Foreign Minister;恩里克 巴尔迪维索 阿帕里西奥 ;36;ST;General Staffer;Medium;M43067;x
63109;Foreign Minister;奥斯卡 魏因申克 ;36;ST;The Cloak N Dagger Schemer;High;M34079;x
63110;Minister of Armament;热图利奥 瓦尔加斯 ;36;ST;Administrative Genius;High;M34001;x
63111;Minister of Armament;恩里克 巴尔迪维索 阿帕里西奥 ;36;ST;Resource Industrialist;Medium;M43067;x
63112;Minister of Armament;阿尔贝托 瓦莱 ;36;ST;Theoretical Scientist;Medium;M35110;x
63113;Minister of Armament;若泽 德 马塞多 苏亚雷斯 ;36;ST;Laissez Faires Capitalist;Medium;M34003;x
63114;Minister of Armament;小卡费 ;36;ST;Military Entrepreneur;Low;M34004;x
63115;Minister of Armament;欧塞比奥 阿亚拉 ;36;ST;Battle Fleet Proponent;Medium;M43040;x
63116;Minister of Armament;古斯塔沃 巴罗索 ;36;ST;Submarine Proponent;Medium;M34044;x
63117;Minister of Armament;雅努阿里奥 科埃略 内托 ;36;ST;Tank Proponent;High;M34093;x
63118;Minister of Armament;罗伯托 伊诺霍萨 ;36;ST;Infantry Proponent;High;M43024;x
63119;Minister of Armament;亨利 贝格尔 ;41;ST;Air Superiority Proponent;Very Low;M34053;x
63120;Minister of Armament;阿古斯丁 华雷斯 福利亚 ;36;ST;Corrupt Kleptocrat;Medium;M34096;x
63121;Minister of Armament;爱德华多 戈麦斯 ;36;ST;Air to Ground Proponent;Medium;M34021;x
63122;Minister of Armament;奥滕西奥 基哈诺 ;36;ST;Strategic Air Proponent;Very Low;M35015;x
63123;Minister of Armament;弗朗西斯科 洛佩斯 梅尔廷 ;36;ST;Air to Sea Proponent;Medium;M35109;x
63124;Minister of Security;奥斯卡 魏因申克 ;36;ST;Silent Lawyer;High;M34079;x
63125;Minister of Security;佩德罗 莱昂 维洛佐 ;36;ST;Compassionate Gentleman;Medium;M34077;x
63126;Minister of Security;小马孔德斯 ;36;ST;Crime Fighter;High;M34005;x
63127;Minister of Security;克里斯托瓦尔 萨恩斯 塞尔达 ;36;ST;Prince of Terror;Medium;M44052;x
63128;Minister of Security;路易斯 瓜查利亚 索拉雷斯 ;36;ST;Back Stabber;High;M43066;x
63129;Minister of Security;曼努埃尔 A 韦南西奥 ;36;ST;Man of the People;Low;M34035;x
63130;Minister of Security;恩里克 巴尔迪维索 阿帕里西奥 ;36;ST;Efficient Sociopath;Medium;M43067;x
63131;Minister of Security;马里奥 皮门特尔 布兰当 ;36;ST;Crooked Kleptocrat;High;M34080;x
63132;Head of Military Intelligence;阿尔贝托 迪茨 德 梅迪纳 ;36;ST;Technical Specialist;Medium;M43086;x
63133;Head of Military Intelligence;劳林霍 沃尔塔 雷东多 ;36;ST;Logistics Specialist;High;M34134;x
63134;Head of Military Intelligence;阿胡斯托 德 苏扎 席尔瓦 ;36;ST;Political Specialist;High;M34056;x
63135;Head of Military Intelligence;乔治 迪 帕斯夸莱 ;36;ST;Dismal Enigma;High;M35154;x
63136;Head of Military Intelligence;古斯塔沃 门多萨 柯廷 ;36;ST;Industrial Specialist;Medium;M35038;x
