UTO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;;Personality;;;x
99090;Head of State;谢菲克 许斯尼 ;36;NS;Stern Imperialist;High;M12021;x
99091;Head of Government;穆罕默德 居纳尔塔纳 ;36;NS;Silent Workhorse;High;M12051;x
99092;Foreign Minister;陶菲克 吕斯图 阿拉斯 ;36;NS;Biased Intellectual;Medium;M12003;x
99093;Foreign Minister;哈桑 萨卡 ;36;NS;Ideological Crusader;Medium;M12038;x
99094;Foreign Minister;阿卜杜勒哈利克 伦达 ;36;NS;Apologetic Clerk;Medium;M12043;x
99095;Foreign Minister;穆罕默德 福阿德 柯普吕律 ;36;NS;Iron Fisted Brute;Medium;M12090;x
99096;Foreign Minister;赛义德 梅内曼吉奥卢 ;36;NS;Great Compromiser;Medium;M12036;x
99097;Foreign Minister;内吉梅丁 萨迪克 萨达克 ;36;NS;General Staffer;Medium;M12039;x
99098;Foreign Minister;纳齐姆 希克马特 拉恩 ;36;NS;The Cloak N Dagger Schemer;Medium;M12023;x
99099;Minister of Armament;法蒂姆 吕斯图 佐卢 ;36;NS;Administrative Genius;Medium;M12094;x
99100;Minister of Armament;伊斯梅尔 埃里姆 ;36;NS;Resource Industrialist;Medium;M12029;x
99101;Minister of Armament;萨梅特 阿阿奥卢 ;36;NS;Theoretical Scientist;Medium;M12093;x
99102;Minister of Armament;米尼尔 比尔森 ;36;NS;Laissez Faires Capitalist;Medium;M12052;x
99103;Minister of Armament;穆斯塔法 伦达 ;36;NS;Military Entrepreneur;Medium;M12054;x
99104;Minister of Armament;法伊克 艾哈迈德 巴鲁特丘 ;36;NS;Battle Fleet Proponent;Medium;M12091;x
99105;Minister of Armament;亚历克西乌 察莫托斯 ;36;NS;Submarine Proponent;High;M18091;x
99106;Minister of Armament;穆罕默德 居纳尔塔纳 ;36;NS;Tank Proponent;Medium;M12051;x
99107;Minister of Armament;福阿德 卡利斯塔尔 ;36;NS;Infantry Proponent;Medium;M12048;x
99108;Minister of Armament;乔图 拉姆 ;36;NS;Air Superiority Proponent;High;M59026;x
99109;Minister of Armament;努鲁拉 埃萨特 叙梅尔 ;36;NS;Corrupt Kleptocrat;Medium;M12045;x
99110;Minister of Armament;埃莱夫塞里奥斯 韦尼泽洛斯 ;36;NS;Air to Ground Proponent;Medium;M18010;x
99111;Minister of Armament;萨迪 厄兹贝克 ;36;NS;Air to Sea Proponent;Medium;M12014;x
99112;Minister of Armament;盖西亚 让多斯 ;36;NS;Strategic Air Proponent;Medium;M18096;x
99113;Minister of Security;雷菲克 科拉尔坦 ;36;NS;Silent Lawyer;Medium;M12095;x
99114;Minister of Security;穆罕默德 雷杰普 佩克 ;36;NS;Compassionate Gentleman;Medium;M12067;x
99115;Minister of Security;萨费特 阿勒坎 ;36;NS;Crime Fighter;Medium;M12058;x
99116;Minister of Security;梅姆杜赫 塔马奇 ;36;NS;Prince of Terror;Medium;M12059;x
99117;Minister of Security;阿德南 门德列斯 ;36;NS;Back Stabber;Medium;M12046;x
99118;Minister of Security;许克吕 卡亚 ;36;NS;Man of the People;Medium;M12005;x
99119;Minister of Security;阿里 里扎 蒂雷尔 ;36;NS;Efficient Sociopath;Medium;M12065;x
99120;Minister of Security;许斯尼 卡基尔 ;36;NS;Crooked Kleptocrat;Medium;M12056;x
99121;Head of Military Intelligence;乔治斯 兹罗索普洛斯 ;36;NS;Technical Specialist;High;M18135;x
99122;Head of Military Intelligence;阿里 吕扎 阿尔通卡尔 ;36;NS;Logistics Specialist;Medium;M12069;x
99123;Head of Military Intelligence;乔治斯 帕潘德里欧 ;36;NS;Political Specialist;High;M18015;x
99124;Head of Military Intelligence;阿纳塔西奥斯 卡内洛普洛斯 ;36;NS;Dismal Enigma;Very High;M18098;x
99125;Head of Military Intelligence;蒙塔兹 厄克曼 ;36;NS;Industrial Specialist;Medium;M12070;x
99126;Head of Military Intelligence;福阿德 柯普吕律 ;36;NS;Naval Intelligence Specialist;Medium;M12026;x
99127;Chief of Staff;阿卜杜勒拉赫曼 居尔曼 ;36;NS;School of Manoeuvre;Medium;M12075;x
99128;Chief of Staff;阿卜杜勒 纳吉 特纳兹 ;36;NS;School of Fire Support;Medium;M12061;x
99129;Chief of Staff;阿里 奥尔伦加特 ;36;NS;School of Mass Combat;Medium;M12010;x
99130;Chief of Staff;穆斯塔法 伊斯梅特 ;36;NS;School of Defence;Medium;M12002;x
99131;Chief of Staff;阿纳斯塔西奥斯 萨克拉里乌 ;36;NS;School of Psychology;Medium;M18009;x
99132;Chief of Army;佩尔捷夫 纳伊利 博拉塔夫 ;36;NS;Elastic Defence Doctrine;Very Low;M12022;x
99133;Chief of Army;特奥多尔 潘加洛斯 ;36;NS;Static Defence Doctrine;Low;M18008;x
99134;Chief of Army;杰米尔 图德缪尔 ;36;NS;Decisive Battle Doctrine;Medium;M12078;x
99135;Chief of Army;穆斯塔法 埃戴胡恩 ;36;NS;Armoured Spearhead Doctrine;Medium;M12077;x
99136;Chief of Army;阿尔帕斯兰 蒂尔凯什 ;36;NS;Guns and Butter Doctrine;Medium;M12018;x
99137;Chief of Navy;亚历山德罗斯 奥伊科诺穆 ;36;NS;Open Seas Doctrine;Very Low;M18179;x
99138;Chief of Navy;韦赫比 戈 ;36;NS;Decisive Naval Battle Doctrine;Medium;M12080;x
99139;Chief of Navy;阿里 福阿德 杰贝索伊 ;36;NS;Indirect Approach Doctrine;Medium;M12079;x
99140;Chief of Navy;彼得罗斯 武尔加里斯 ;36;NS;Indirect Approach Doctrine;Low;M18061;x
99141;Chief of Navy;艾哈迈德 艾达姆 博拉克 ;36;NS;Base Control Doctrine;Medium;M12081;x
99142;Chief of Air Force;梅姆杜赫 塔马奇 ;36;NS;Air Superiority Doctrine;Medium;M12059;x
99143;Chief of Air Force;阿纳斯塔西奥斯 巴尔迪维里亚斯 ;36;NS;Naval Aviation Doctrine;Medium;M18097;x
99144;Chief of Air Force;埃尔坎 加塔利 ;36;NS;Army Aviation Doctrine;Medium;M12083;x
99145;Chief of Air Force;帕纳戈蒂斯 帕帕尼古拉乌 ;36;NS;Carpet Bombing Doctrine;Medium;M18182;x
99146;Chief of Air Force;欧萨纳索斯 佩里科斯 ;36;NS;Vertical Envelopment Doctrine;Medium;M18184;x
