VEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
38001;Head of State;埃利埃泽 孔特雷拉斯 ;36;PA;Barking Buffoon;High;M38001;x
38002;Head of Government;埃利埃泽 孔特雷拉斯 ;36;PA;Happy Amateur;High;M38001;x
38003;Foreign Minister;埃斯特班 伊尔 博尔格斯 ;36;PA;Great Compromiser;Medium;M38003;x
38004;Minister of Armament;佩德罗 博佩尔蒂 乌里希 ;36;SC;Military Entrepreneur;Low;M38004;x
38005;Minister of Security;圣地亚哥 凯 阿亚拉 ;36;PA;Silent Lawyer;Medium;M38005;x
38006;Head of Military Intelligence;弗洛里亚瓦尔多 德 瓦斯克斯 林哈里斯 ;36;PA;Political Specialist;Medium;M38006;x
38007;Chief of Staff;伊萨亚斯 梅迪纳 阿加里塔 ;36;SC;School of Defence;Low;M38007;x
38008;Chief of Army;伊萨亚斯 梅迪纳 阿加里塔 ;36;SC;Static Defence Doctrine;Low;M38007;x
38009;Chief of Navy;温贝托 圣布里亚 维拉 ;36;PA;Base Control Doctrine;Medium;M38009;x
38010;Chief of Air Force;大卫 洛佩斯 恩里克斯 ;36;PA;Army Aviation Doctrine;Medium;M38010;x
38031;Head of State;伊萨亚斯 梅迪纳 阿加里塔 ;41;SC;Resigned Generalissimo;High;M38007;x
38032;Head of State;罗慕洛 贝当古 ;45;SD;Autocratic Charmer;High;L270001;x
38033;Head of Government;伊萨亚斯 梅迪纳 阿加里塔 ;41;SC;Old General;High;M38007;x
38034;Head of Government;罗慕洛 贝当古 ;45;SD;Flamboyant Tough Guy;High;L270001;x
38035;Foreign Minister;卡拉乔拉 帕拉 佩雷斯 ;41;SC;Apologetic Clerk;Medium;M38035;x
38036;Foreign Minister;古斯塔沃 赫雷拉 格劳 ;45;ML;Iron Fisted Brute;Medium;M38036;x
38037;Foreign Minister;卡洛斯 莫拉莱斯 阿科尔齐亚 ;45;SD;Iron Fisted Brute;Medium;M38037;x
38038;Foreign Minister;贡萨洛 巴里奥斯 ;47;ML;General Staffer;Medium;M38038;x
38039;Minister of Armament;唐 佩德罗 格拉塞斯 ;38;PA;Laissez Faires Capitalist;Medium;M38039;x
38040;Minister of Armament;卡洛斯 拉莫斯 迪亚兹 ;41;SC;Submarine Proponent;Low;M38040;x
38041;Minister of Armament;米格尔 迪亚兹 弗赖莱 ;42;SC;Strategic Air Proponent;Low;M38041;x
38042;Minister of Armament;卡洛斯 莫利纳 塔拉瓦约 ;42;ML;Battle Fleet Proponent;Low;M38042;x
38043;Minister of Armament;埃洛伊 拉雷斯 马丁内斯 ;43;ML;Laissez Faires Capitalist;Medium;M38043;x
38044;Minister of Armament;朱利奥 加西亚 哈尔帕 ;45;ML;Military Entrepreneur;Medium;M38044;x
38045;Minister of Armament;乔斯 维森特 兰热尔 ;46;SD;Resource Industrialist;Medium;M38045;x
38046;Minister of Security;乔斯 阿盖尔 维尔 ;36;SC;Efficient Sociopath;Medium;M38046;x
38047;Minister of Security;安东尼奥 乔斯 比列加斯 ;38;SC;Silent Lawyer;Medium;M38047;x
38048;Minister of Security;切萨尔 苏梅塔 ;39;PA;Compassionate Gentleman;Medium;M38048;x
38049;Minister of Security;亚历杭德罗 阿马斯 ;41;SC;Prince of Terror;Medium;M38049;x
38050;Minister of Security;安东尼奥 J 迪亚兹 马丁内斯 ;43;ML;Crime Fighter;Medium;M38050;x
38051;Minister of Security;罗慕洛 加莱戈斯 弗莱雷 ;45;SD;Man of the People;Medium;M38051;x
38052;Minister of Security;若泽 桑吉诺 卡德纳斯 ;46;LWR;Compassionate Gentleman;Medium;M38052;x
38053;Minister of Security;康塞普西翁 基哈达 冈萨雷斯 ;46;SD;Silent Lawyer;Medium;M38053;x
38054;Minister of Security;阿道夫 冈萨雷斯 阿奎拉尔 ;47;LWR;Efficient Sociopath;Medium;M38054;x
38055;Minister of Security;伊西多罗 鲁伊斯 图埃罗 ;47;ML;Prince of Terror;Medium;M38011;x
38056;Head of Military Intelligence;迪奥热内斯 埃斯卡兰特 ;36;PA;Industrial Specialist;Medium;M38056;x
38057;Head of Military Intelligence;安东尼奥 卡萨斯 冈萨雷斯 ;39;SC;Naval Intelligence Specialist;Medium;M38057;x
38058;Head of Military Intelligence;佩德罗 阿尔坎塔拉 拉亚 ;41;SC;Industrial Specialist;Medium;M38058;x
38059;Head of Military Intelligence;佩德罗 P 阿斯普鲁亚 ;42;ML;Technical Specialist;Medium;M38059;x
38060;Head of Military Intelligence;路易斯 蒙萨尔沃 马雷诺 ;45;SD;Logistics Specialist;Medium;M38060;x
38061;Head of Military Intelligence;罗伯特 莱茨 桑切斯 ;46;ML;Technical Specialist;Medium;M38061;x
38062;Head of Military Intelligence;霍维托 比利亚尔瓦 ;47;LWR;Political Specialist;Medium;M38021;x
38063;Chief of Staff;安东尼奥 卡萨斯 冈萨雷斯 ;38;SC;School of Psychology;Medium;M38057;x
38064;Chief of Staff;卡洛斯 加西亚 门多萨 ;41;SC;School of Mass Combat;Medium;M38064;x
38065;Chief of Staff;古斯塔沃 冈萨雷斯 洛佩斯 ;43;ML;School of Manoeuvre;Medium;M38065;x
38066;Chief of Staff;劳尔 莱昂尼 奥特罗 ;45;SD;School of Psychology;Medium;M38027;x
38067;Chief of Army;维克托 桑切斯 克罗斯 ;40;PA;Armoured Spearhead Doctrine;Medium;M38028;x
38068;Chief of Army;托马斯 孔特雷拉斯 比利亚洛沃斯 ;41;SC;Decisive Battle Doctrine;Low;M38019;x
38069;Chief of Army;卡洛斯 德尔加多 查尔沃德 ;45;ML;Guns and Butter Doctrine;Medium;L270004;x
38070;Chief of Army;内尔森 韦尔德 格拉特洛尔 ;47;SD;Armoured Spearhead Doctrine;Medium;M38070;x
38071;Chief of Navy;佩德罗 博佩尔蒂 乌里希 ;39;SC;Power Projection Doctrine;Medium;M38004;x
38072;Chief of Navy;卡洛斯 莫利纳 塔拉瓦约 ;41;SC;Decisive Naval Battle Doctrine;Medium;M38042;x
38073;Chief of Navy;路易斯 阿尔瓦雷兹 圣地亚哥 ;42;ML;Open Seas Doctrine;Medium;M38073;x
38074;Chief of Navy;卡洛斯 拉莫斯 迪亚兹 ;45;ML;Indirect Approach Doctrine;Medium;M38040;x
38075;Chief of Navy;安东尼奥 卡萨斯 冈萨雷斯 ;47;SD;Base Control Doctrine;Medium;M38057;x
38076;Chief of Air Force;罗伯托 德 卢卡 瓦雷萨诺 ;39;PA;Air Superiority Doctrine;Medium;M38020;x
38077;Chief of Air Force;吉耶尔莫 格里菲思 埃斯卡多 ;41;SC;Army Aviation Doctrine;Medium;M38077;x
38078;Chief of Air Force;米格尔 迪亚兹 弗赖莱 ;45;ML;Carpet Bombing Doctrine;Medium;M38041;x
