VIE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
543001;Head of State;保大皇帝 阮福永瑞;36;PA;Weary Stiffneck;High;M542001;x
543101;Head of Government;保大皇帝 阮福永瑞 ;36;PA;Political Protege;High;M542001;x
543114;Head of Government;阮玉書;63;PA;Political Protege;High;;x
543118;Head of Government;阮高祺;65;PA;Political Protege;High;;x
543119;Head of Government;阮文祿;67;PA;Political Protege;High;;x
543120;Head of Government;陳善謙;69;PA;Political Protege;High;;x
543121;Head of Government;阮伯瑾;75;PA;Political Protege;High;;x
543122;Head of Government;武文牡;75;PA;Political Protege;High;;x
543129;Foreign Minister;陳文霖;69;SL;Ideological Crusader;High;;x
543128;Foreign Minister;陳燦清;68;SL;Ideological Crusader;High;;x
543004;Minister of Armament;阮文心 ;36;SL;Resource Industrialist;Medium;M542004;x
543005;Minister of Security;胡德中 ;36;SL;Man of the People;Medium;M542005;x
543006;Head of Military Intelligence;陈嘉话 ;36;SL;Naval Intelligence Specialist;Medium;M542032;x
543007;Chief of Staff;黎群 ;36;SL;School of Fire Support;Medium;M542042;x
543008;Chief of Army;杨文明 ;36;SL;Armoured Spearhead Doctrine;Medium;M542046;x
543009;Chief of Navy;阮文盛 ;36;SL;Indirect Approach Doctrine;Medium;M542025;x
543010;Chief of Air Force;阮文春 ;36;SL;Carpet Bombing Doctrine;High;M542023;x
543002;Head of Government;吳廷琰;36;SL;Political Protege;High;M542018;x
543105;Head of State;吳廷琰;54;PA;Autocratic Charmer;High;M542018;x
543108;Head of State;楊文明;63;PA;Autocratic Charmer;High;;x
543109;Head of State;阮慶;64;PA;Autocratic Charmer;High;;x
543115;Head of Government;阮慶;64;PA;Ambitious Union Boss;High;;x
543110;Head of State;潘克丑;64;PA;Autocratic Charmer;High;;x
543111;Head of State;阮文紹;65;PA;Autocratic Charmer;High;;x
543112;Head of State;陳文香;75;PA;Autocratic Charmer;High;;x
543117;Head of Government;陳文香;64;PA;Undistinguished Suit;High;;x
543027;Head of Government;吳廷琰;36;FA;Flamboyant Tough Guy;High;M542018;x
543106;Head of Government;阮福寶蔍;52;SC;Political Protege;High;;x
543107;Head of Government;潘輝括;65;FA;Political Protege;High;;x
543127;Foreign Minister;潘輝括;64;FA;Political Protege;High;;x
543124;Foreign Minister;范當林;63;SL;Ideological Crusader;High;;x
543123;Foreign Minister;武文牡;55;SL;Ideological Crusader;High;;x
543131;Foreign Minister;Tran Van Do;54;SL;Ideological Crusader;High;;x
543132;Foreign Minister;通榮堂;52;PA;Undistinguished Suit;High;;x
543134;Foreign Minister;阮國定;54;PA;Undistinguished Suit;High;;x
543042;Minister of Armament;杨森安 ;36;ML;Battle Fleet Proponent;Medium;M541031;x
543045;Minister of Armament;黎文获 ;36;FA;Theoretical Scientist;Medium;M542027;x
543054;Minister of Security;吳廷瑈;36;FA;Silent Lawyer;Medium;M542033;x
543060;Head of Military Intelligence;西翁 ;36;ML;Dismal Enigma;Medium;M541041;x
543069;Chief of Staff;春林 ;36;ML;School of Mass Combat;Medium;M541045;x
543072;Chief of Staff;阮友固 ;36;FA;School of Manoeuvre;Medium;M542043;x
543081;Chief of Army;杨文明 ;36;FA;Decisive Battle Doctrine;Medium;M542046;x
543087;Chief of Navy;西翁 ;36;ML;Base Control Doctrine;Medium;M541041;x
543090;Chief of Navy;胡晋权 ;36;FA;Decisive Naval Battle Doctrine;Medium;M542051;x
543095;Chief of Air Force;柴桑云 ;36;SD;Naval Aviation Doctrine;Medium;M541029;x
543099;Chief of Air Force;杨文明 ;36;FA;Naval Aviation Doctrine;Medium;M542046;x
543102;Head of Government;阮文心 ;52;PA;Political Protege;High;M542004;x
543116;Head of Government;阮春瑩;64;PA;Political Protege;High;;x
543113;Head of Government;寶蔍;52;PA;Political Protege;High;;x
543103;Head of Government;阮攀龙 ;50;PA;Happy Amateur;High;M543103;x
543130;Foreign Minister;V??ng V?n B?c;73;SL;Ideological Crusader;High;;x
543104;Head of Government;陈文友 ;50;PA;Political Protege;High;M543104;x
543133;Foreign Minister;陈文友 ;50;PA;Undistinguished Suit;High;M543104;x
543125;Foreign Minister;阮攀龙 ;49;PA;Undistinguished Suit;High;M543103;x
