U76;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
97610;Brecon Infantry Battle School;T_U76_Brecon;2;1939;2999;small_unit_tactics;training;infantry_foucs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97611;Broughton Aircraft Factory;T_U76_BroughtonAircraftFactory;3;1939;2999;aeronautics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97612;Cambrian Airways;T_U76_CambrianAirways;4;1935;2999;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97613;Cardiff University;T_U76_CardiffUniversity;3;1930;2999;mathematics;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97614;Donald Watts Davies;T_U76_DonaldDavies;3;1943;2999;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97615;Dowlais Ironworks;T_U76_DowlaisIronworks;3;1930;2999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97616;Ebbw Vale Steelworks;T_U76_EbbwValeSteelworks;2;1930;2999;industrial_engineering;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97617;Edward George Bowen;T_U76_EdwardBowen;3;1930;2999;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97618;Llandwrog Airbase;T_U76_LlandwrogAirbase;3;1930;2999;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97619;Newport Ordnance Factory;T_U76_NewportOrdnance;3;1930;2999;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97620;Steel Fabricators Ltd;T_U76_SteelFab;3;1946;2999;mechanics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97621;Wrexham Ordnance Factory;T_U76_WrexhamOrdnance;3;1930;2999;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


