UB9;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
81900;Greenland Mines;Tmin;2;1910;2999;management;industrial_engineering;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
81901;Self Defense Forces;T92108;2;1910;2999;mechanics;artillery;chemistry;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
81902;Science Expeditions;Tpolar;3;1910;2999;electronics;mathematics;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
81903;Ministry of Defense;Twarc;2;1910;2999;infantry_focus;training;small_unit_tactics;decentralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
81904;Ship Repair Facility;T92111;1;1910;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
81905;Thule Air Base;Tfsc;3;1950;2999;piloting;fighter_tactics;aircraft_testing;bomber_tactics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
81906;Ministry of Education;Tsus;1;1910;2999;chemistry;mathematics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
81907;Military Attache;Tnwc;2;1910;2999;centralized_execution;small_taskforce_tactics;seamanship;naval_training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
81908;Greenland Air;Tasi;2;1960;2999;aeronautics;chemistry;electronics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
81909;UN Atoms for Peace;T_IAEA;2;2999;2999;nuclear_physics;nuclear_engineering;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
