ARG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
400;AFNE;T400;3;1930;2999;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
401;Astilleros Alianza S.A.;T401;3;1930;2999;naval_engineering;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
402;Siam di Tella;T_ARG_SIAMdiTella;4;1930;2999;industrial_engineering;mechanics;electronics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
403;CAC;T403;4;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
404;Esteban de Luca;T404;5;1930;2999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
405;Fabricaciones Militares;T405;5;1941;2999;general_equipment;mechanics;chemistry;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
406;FMA;T406;3;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
407;YPF;T407;5;1930;2999;industrial_engineering;chemistry;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
408;Antonio Parodi;T408;4;1930;1945;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
409;Escuela Superior de Guerra;T_ARG_EscueladeGuerra;3;1930;2999;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
410;Armada de la República Argentina;T410;5;1942;1960;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
411;Francisco Velez;T411;4;1930;1941;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
412;Escuela de Aviación Militar;T412;4;1939;2999;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
413;Juan Peron;T413;4;1941;1960;large_unit_tactics;centralized_execution;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
414;Pedro Casal;T414;4;1930;1946;large_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415;Luis F. Leloir;T415;7;1945;2999;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
416;SOMISA;T416;6;1947;2999;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
417;Fábrica Militar de Pólvoras y Explosivos Villa María;T417;5;1937;2999;artillery;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
418;Comision Nacional de Energia Atomica;T418;4;1945;2999;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
419;Alfredo Baisi;T419;6;1943;1948;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
420;Kurt Tank;T420;6;1947;1955;rocketry;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
421;Universidad de Buenos Aires;T_ARG_UniversitaddeBuenosAires;3;1930;2999;mathematics;chemistry;mechanics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
422;Escuela Naval Militar;T_Arg_NavalMilitar;3;1936;2999;large_taskforce_tactics;small_taskforce_tactics;naval_training;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
423;José Babini;T_ARG_Jose_Babini;4;1936;2999;mechanics;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x

