BLR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9700;Baranovichi Aviation Repair Plant;T9701;4;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9701;Belarussian Air Force;T9710;2;1930;2999;bomber_tactics;piloting;centralized_execution;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9702;Belarussian State University;T9700;3;1930;2999;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9703;Francishak Kushal';T_BLR_Francishak Kushal;3;1930;2999;infantry_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9704;Gomel Radio Plant;T9702;4;1930;2999;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9705;Michal Vituška;T9709;3;1930;2999;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9706;Minsk Automobile Plant;T9703;5;1930;2999;mechanics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9707;MMZ;T_BLR_MMZ;4;1954;2999;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


