BOL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5000;Bolivian Oil;T5000;2;1930;2999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5001;Corporación Minera de Bolivia;T5001;3;1930;2999;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5002;Empresa Nacional de Ferrocarriles;T5002;3;1930;2999;industrial_engineering;general_equipment;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5003;Hochschild;T5003;4;1930;2999;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5004;Patinos;T5004;4;1930;2999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5005;David Toro Ruilova;T5005;3;1930;1938;small_unit_tactics;centralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5006;Enrique Peñaranda;T5006;2;1930;1944;large_unit_tactics;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5007;Eusebio Ayala;T5007;2;1930;1942;large_taskforce_tactics;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5008;David Toro Ruilova;T5005;3;1930;1938;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5009;Ministry of Defence;T5010;3;1930;2999;small_unit_tactics;infantry_focus;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5010;Universidad Técnica de Oruro;T_BOL_UniversidadTécnicadeOruro;2;1930;2999;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5011;Fuerza Aerea Boliviana;T_BOL_FuerzaAereaBoliviana;2;1930;2999;aeronautics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5012;Armada Boliviana;T_BOL_Armada_Boliviana;2;1930;2999;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


