BRA;Name;Pic Name;Skill;Start Year;End Year;speciality1;speciality2;speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4400;Cassio Muniz;T4400;4;1930;2999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4401;CCNA;T4401;5;1930;2999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4402;CCNC;T4402;5;1930;2999;aeronautics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4403;Companhia Siderúrgica Nacional;T4403;5;1930;2999;industrial_engineering;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4404;Departamento Nacional da Produção Mineral;T4404;4;1930;2999;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4405;Ilha das Cobras;T4405;5;1930;2999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4406;IPT;T4406;6;1930;2999;aeronautics;management;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4407;Organizacão Henrique Lage;T4407;6;1930;2999;industrial_engineering;management;chemistry;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4408;Eurico Gaspar Dutra;T4408;4;1940;1952;large_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4409;João Mascarenhas de Morais;T4409;4;1937;1954;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4410;Aristides Guilhem;T4410;4;1930;1938;large_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4411;Brazilian Navy;T4411;3;1930;2999;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4412;Salgado Filhõ;T4412;4;1930;1947;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4413;Epaminondas dos Santos;T4413;4;1930;1945;fighter_tactics;decentralized_execution;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4414;NMC;T4414;5;1945;2999;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4415;Cordeiro de Farias ;T4415;6;1940;1964;artillery;general_equipment;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4416;Nero Moura;T4416;6;1943;1964;fighter_tactics;bomber_tactics;aircraft_testing;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4417;Universidade Federal do Rio de Janeiro;T_BRA_UniversidadeFederaldoRiodeJaneiro;4;1930;2999;chemistry;mathematics;nuclear_physics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4418;CTA;T4418;5;1950;2999;rocketry;aeronautics ;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4419;Escola de Guerra Naval;T4419;5;1930;2999;small_taskforce_tactics;carrier_tactics;naval_training;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4420;Escola Superior de Guerra;T4420;6;1949;2999;small_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4421;Instituto de Pesquisas Radioactivas;T4421;4;1952;1979;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4422;Petrobras;T4422;7;1953;2999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4423;Engesa;T4423;8;1963;1993;mechanics;electronics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4424;Avibras Industria Aeroespacial;T4424;6;1961;2999;mechanics;artillery;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4425;Neiva;T4425;5;1945;2999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4426;Programa Nuclear da Marinha;T4426;7;1979;2999;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4427;Embraer;T4427;8;1969;2999;rocketry;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4428;Agência Espacial Brasileira;T4428;5;1994;2999;rocketry;electronics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4429;IMBEL;T4429;5;1975;2999;chemistry;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4430;Agrale;T4430;5;1965;2999;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4431;Helibras;T4431;6;1978;2999;aeronautics;industrial_engineering;electronics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4432;EMGEPRON;T4432;6;1982;2999;naval_engineering;technical_efficiency;electronics;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4433;Mectron;T4433;7;1991;2999;electronics;rocketry;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4434;ECEMAR;T4434;5;1947;2999;centralized_execution;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4435;Taurus;T4435;6;1939;2999;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4436;Aeroeletrônica;T4436;6;1983;2999;electronics;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4437;Ares Aeroespacial e Defesa;T4437;5;1969;2999;rocketry;electronics;mathematics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
