CGX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8700;Bai Chongxi;T8704;4;1930;1966;combined_arms_focus;decentralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8701;Canton - Sam Shui Railway;T_CGX_Railways;2;1930;2999;industrial_engineering;management;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8702;Chen Jitang;T8703;3;1930;1954;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8703;Guangzhou Shipyard;T8702;2;1930;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8704;Kwangtung Arsenal;T1003;2;1930;2999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8706;Li Zongren;T8700;4;1930;1969;large_unit_tactics;combined_arms_focus;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8707;Ma Junwu;T_CGX_Ma_Junwu;2;1930;1940;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8708;Ministry of Defence;T8707;2;1930;2999;naval_training;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8709;Zhongshan University;T8706;3;1930;2999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


