CHC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8300;Deng Xiaoping;T8300;5;1930;1997;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8301;Lin Pao;T8301;3;1930;1971;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8302;Mao Zedong;T8302;2;1930;1976;small_unit_tactics;infantry_focus;individual_courage;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8303;Aviation Industries of China;T8303;4;1945;2999;aeronautics;technical_efficiency;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8304;China North Industries Group;T8304;4;1939;2999;industrial_engineering;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8305;China State Shipbuilding Corporation;T8305;3;1945;2999;naval_engineering;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8306;General Armament Department;T8306;4;1930;2999;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8307;Fang Tse-Yi;T8307;4;1945;1969;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8308;School of Oriental Munich;T8805;3;1930;2999;infantry_focus;centralized_execution;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8309;Shaanxi Kiln;T13507;3;1930;2999;general_equipment;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8310;Fudan University;T8310;3;1950;2999;mathematics;nuclear_physics;nuclear_engineering;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8311;Li Kenong;T8311;2;1930;1959;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8312;People's Liberation Army;T8312;5;1949;2999;large_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8313;Chengdu Aircraft Industry Corp.;T8313;5;1950;2999;rocketry;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8314;People's Liberation Army Navy;T8314;6;1950;2999;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8315;Shao Xianghua;T_CHC_Shao_Xianghua;5;1945;2999;chemistry;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8316;Chinese Academy of Sciences;T_CHC_AcademyofSciences;4;1945;2999;mathematics;electronics;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8317;Zhejiang University;T_CHC_ZhejiangUniversity;5;1949;2999;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8318;Anshan Iron and Steel Group;T_CHC_AnshanIron;4;1948;2999;industrial_engineering;management;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8319;Tsien Hsue-shen;T_CHC_Tsien_Hsue-shen;5;1956;2999;rocketry;nuclear_physics;nuclear_engineering;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8320;PLA General Staff Department;T_CHC_PLAGeneralStaffDep;6;1950;2999;training;individual_courage;centralized_execution;infantry_focus;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8321;Liu Yalou;T_CHC_Liu;5;1950;1965;piloting;fighter_tactics;centralized_execution;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8322;Dalian Naval Academy;T_CHC_Dalian;2;1950;2999;naval_training;small_taskforce_tactics;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8323;Qian Xuesen;T_CHC_Qian;6;1955;2999;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8324;Deng Jiaxian;T_CHC_Jiaxian;4;1950;1986;mathematics;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8325;Cheng Kaijia;T_CHC_Cheng_Kaijia;6;1950;2010;mathematics;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8326;North China Electric Power University;T_CHC_NCEPU;3;1962;2999;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8327;The Harbin Institute of Military Engineering;T_CHC_Harbin_Inst;4;1962;2999;mechanics;chemistry;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8328;First Inner Mongolia Machinery Factory;T_CHC_Inner_Mong_Mach;3;1962;2999;mechanics;general_equipment;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8329;Gongye Hezhoushe;T_CHC_Gongye_Hezhoushe;4;1962;2999;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8330;PLA Air Force;T_CHC_PLAAF;4;1950;2999;fighter_tactics;bomber_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8331;Central Military Commission;T_CHC_CMC;4;1962;2999;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8332;Shanxi University;T_CHC_Shanxi_Univ;3;1962;2999;mechanics;chemistry;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8333;Peking University;T_CHC_Peking_Univ;3;1962;2999;mechanics;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8334;Ministry of Machine Building;T_CHC_Minimach;4;1962;2999;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8335;Hoff Lu;T1040;5;2999;1997;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8336;CMC Headquarters Airforce;T_CHC_CMCHQAF;4;1962;2999;aeronautics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8337;Wopen Turbojet;T_CHC_Wopen;3;1962;2999;aeronautics;rocketry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8338;First Automobile Works;T_CHC_First_Auto;3;1962;2999;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8339;Soviet Naval Mission;T_CHC_Soviet_Naval;4;1962;1965;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
