UKR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
914000;61 Kommunara Shipyard;T_CKR_61_Kommunara_Shipyard;4;1930;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914001;Andrei Yeryomenko;T_CKR_Andrei_Yeryomenko;5;1930;2999;infantry_focus;large_unit_tactics;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914002;Antonov Design Bureau;T_CKR_Antonov_Design_Bureau;6;1930;2999;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914003;Chernomorsky_Shipyard;T_CKR_Chernomorsky_Shipyard;5;1930;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914004;Kiev Arsenal;T_CKR_Kiev_Arsenal;4;1930;2999;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914005;Kiev University;T_CKR_Kiev_University;4;1930;2999;chemistry;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914006;Morozov Design Bureau;T_CKR_Morozov_Design_Bureau;5;1930;2999;artillery;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914007;Motor Sich;T_CKR_Motor_Sich;5;1930;2999;electronics;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914008;Semyon Timoshenko;T_CKR_Semyon_Timoshenko;5;1930;2999;combined_arms_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914009;Sergei Gorshkov;T_CKR_Sergei_Gorshkov;5;1930;2999;centralized_execution;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914010;Sergei Rudenko;T_CKR_Sergei_Rudenko;4;1930;2999;aircraft_testing;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914011;Sevastopol Naval Institute;T_CKR_Sevastopol_Naval_Institute;4;1930;2999;decentralized_execution;naval_training;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914012;Tupolev Design Bureau;T_CKR_Tupolev_Design_Bureau;5;1930;2999;rocketry;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
914013;Vladimir Sudets;T_CKR_Vladimir_Sudets;4;1930;2999;aircraft_testing;decentralized_execution;bomber_tactics;piloting;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
