CYU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
93800;Aleksandar Cincar-Markovic;T3811;3;1930;2999;large_unit_tactics;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93801;Dusan Simovic;T3809;3;1930;2999;bomber_tactics;centralized_execution;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93802;Elektronska industrija Niš;T_YUG_ElektronskaIndustrijaNis;5;1948;2999;electronics;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93803;Ikarus;T3800;4;1930;2999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93804;Industrija Aeroplanskih Motora;T3801;3;1930;2999;industrial_engineering;mechanics;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93805;Jadransko Brodogradiliste;T3802;3;1930;2999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93806;Josip Broz Tito;T3810;6;1942;2999;small_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93807;Memorandum Teleoptik;T3803;5;1930;2999;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93808;Mikron;T3804;4;1930;2999;industrial_engineering;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93809;Ministry of the Navy;T3808;3;1930;2999;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93810;Yugoimport SDPR;T_YUG_YUGIMPORT;5;1949;2999;mechanics;electronics;artillery;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93811;Yugoslavian State Railroads;T3805;5;1930;2999;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93812;Zastava Arsenal;T3812;5;1930;2999;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93813;Zivojin Rogozarski;T3806;3;1930;2999;aeronautics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93814;ZMAJ;T3807;4;1930;2999;naval_engineering;aeronautics;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


