DDR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7100;Barkas;T_DDR_Barkas;4;1949;2999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7101;Deutsche Reichsbahn;T_DDR_DeutscheBahn;5;1940;2999;technical_efficiency;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7102;Eisenacher Motorenwerke;T7100;4;1940;2999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7103;Gustav Hertz;T_DDR_Gustav_Hertz;7;1930;2999;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7104;Hans Kahle;T7108;4;1930;1947;large_unit_tactics;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7105;Heinz Hoffmann;T_DDR_Heinz_Hoffmann;5;1940;2999;training;centralized_execution;large_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7106;Helmut Gröttrup;T7111;6;1930;2999;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7107;Humboldt University of Berlin;T_DDR_HumboldUniversity;4;1949;2999;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7108;Junkers;T_DDR_Junkers;7;1930;1955;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7109;Klaus Emil Julius Fuchs;T_DDR_KlausFuchs;6;1940;2999;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7110;Manfred Ardenne;T_DDR_ManfredArdenne;6;1940;2999;mathematics;electronics;nuclear_physics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7111;Neptun Werft Rostock;T7104;5;1930;2999;naval_engineering;electronics;naval_artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7112;Peene - Werft Wolgast;T_DDR_WerftWolgast;4;1948;2999;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7113;VEB Electrical Locomotive Works (LEW);T_DDR_LEW;4;1940;2999;electronics;industrial_engineering;technical_efficiency;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7114;VEB Elektro-Apparate-Werke Berlin-Treptow;T_DDR_VEBElektro-Apparate;3;1940;2999;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7115;VEB Fahrzeug und Gerätewerk Simson Suhl;T7106;6;1940;2999;general_equipment;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7116;VEB Flugzeugwerke Dresden;T_DDR_VEBFlugzeugwerkeDresden;7;1954;2999;aeronautics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7117;VEB Leuna Werke;T7103;7;1940;2999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7118;VEB Neptun Werft Rostock;T_DDR_VEBSchiffswerftNeptun;5;1940;2999;naval_engineering;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7119;VEB Sachsenring Automobilwerke Zwickau;T_DDR_VEBSachsenringAutomobilwerke;4;1957;2999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7120;VEB Volkswerft - Stralsund;T_DDR_VEBVolkswerftStralsund;5;1940;2999;naval_engineering;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7121;VEB Warnow Werft Warnemünde;T_DDR_VEBWarnow-WerftWarnemünde;5;1930;2999;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7122;VEB Zeiss Jena;T_DDR_ZeissJena;7;1940;2999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7123;Waldemar Verner;T_DDR_Waldemar_Verner;4;1940;2999;naval_training;centralized_execution;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7124;Willi Stoph;T_DDR_Willi_Stoph;4;1940;2999;small_unit_tactics;decentralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
