DEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
200;Absalon;T200;3;1930;2999;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
201;Atlas A/S;T201;3;1930;2999;aeronautics;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
202;Burmeister & Wain;T202;6;1930;2999;aeronautics;naval_engineering;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
203;Niels Bohr;T203;8;1930;1962;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
204;F.L. Smidt;T204;6;1930;2999;electronics;industrial_engineering;management;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205;HF Vaerkstader;T205;3;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
206;Dansk Industri Syndikat;T206;4;1930;2999;mechanics;artillery;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
207;Sadolin & Holmblad A/S;T207;3;1930;2999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
208;Vølund;T208;4;1930;1987;mechanics;naval_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
209;Royal Danish Army;T209;4;1930;2999;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
210;Royal Danish Air Force;T210;3;1945;2999;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
211;Karl W. Essemann;T211;3;1930;2999;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
212;E. V. Grandjean;T212;3;1930;1946;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
213;Aage Vedel;T213;4;1941;1958;seamanship;large_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
214;Hjalmar Rechnitzer;T214;3;1930;1942;submarine_tactics;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215;Novo Nordisk;T_DEN_Novo_Nordisk;6;1930;2999;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
216;Svend Pontoppidan;T216;4;1958;1966;seamanship;small_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
217;Københavns Universitet;T_DEN_KobenhavnsUniversitet;5;1930;2999;chemistry;mathematics;electronics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
218;Triangel;T_DEN_Triangel;6;1930;1958;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
219;Schultz & Larsen;T_DEN_Schultz_Larsen;5;1930;2999;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220;Vognfabrikken Scandia;T_DEN_VognafabrikkenScandia;6;1930;2999;mechanics;technical_efficiency;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
221;Maersk;T_DEN_Maersk;6;1930;2999;naval_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
222;DALO;T_DEN_DALO;4;1930;2999;mechanics;general_equipment;centralized_execution;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
223;MAN Diesel;T_DEN_MAN_Diesel;6;1982;2999;mechanics;electronics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
224;G4S;T_DEN_G4S;8;2000;2999;training;management;electronics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225;Grundfos;T_DEN_Grundfoss;7;1945;2999;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
