EST;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1200;Eesti Petro;T1200;4;1930;2999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1201;PON;T1201;3;1930;2999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1202;Alfons Rebane;T_EST_Rebane;5;1944;2999;small_unit_tactics;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1203;Johann Laidoner;T1203;4;1930;2999;combined_arms_focus;small_unit_tactics;training;infantry_focus;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1204;Ernst Opik;T1204;5;1930;2999;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205;Tallinn Military Arsenal;T2001;4;1930;2999;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1206;Paldiski Docks;T3802;3;1930;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1207;Estonian Navy Staff Academy;T1207;3;1930;2999;seamanship;naval_training;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1208;RET;T_EST_RET;3;1930;2999;mathematics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1209;Eesti Ohuvagi;T_EST_Ohuvagi;2;1930;2999;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


