FFR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
901500;Alan Turing;T300;5;1930;1953;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901501;Alphonse Juin;T1429;5;1947;1962;centralized_execution;infantry_focus;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901502;Anglo-Iranian Oil Company;T301;5;1930;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901503;Associated Equipment Co.;T_ENG_AEC;3;1930;1962;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901504;Avro;T302;4;1930;1970;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901505;BOC Group;T_ENG_BOC;3;1930;1970;chemistry;electronics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901506;BRC&w;T_ENG_BRC;3;1930;1963;artillery;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901507;Cammell Laird & Co.;T303;3;1930;1970;electronics;general_equipment;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901508;Charles de Gaulle;T1416;6;1939;1970;centralized_execution;individual_courage;large_unit_tactics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901509;De Havilland;T304;3;1930;1970;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901510;Decca Radar;T_ENG_DeccaRadar;3;1949;1970;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901511;Enfield Arsenal;T305;3;1930;1970;artillery;general_equipment;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901512;English Electric Company;T306;4;1930;1970;aeronautics;electronics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901513;Etienne Schlumberger;T1417;4;1942;1970;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901514;Fairfield Shipbuilding;T_ENG_FairfieldShipbuilding;3;1930;1970;general_equipment;naval_artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901515;François d'Astier de la Vigerie;T1419;3;1930;1952;aircraft_testing;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901516;GKN Engineering plc;T_ENG_GKNEngineeringplc;3;1930;1970;general_equipment;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
901517;General Electric Company;T_ENG_GeneralElectricCompany;3;1930;1970;electronics;general_equipment;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
