FRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1400;AC de St-Nazaire-Penhoët;T1400;5;1930;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1401;Amiot;T1401;5;1930;2999;aeronautics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1402;Arsenal de Brest;T1402;5;1930;2999;naval_engineering;naval_artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1403;Dewoitine;T1403;4;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1404;FAMH;T1404;4;1930;2999;mechanics;training;electronics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1405;F. Joliot & I. Joliot-Curie;T1405;6;1930;1956;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1406;Jean-Jacques Barré;T1406;3;1930;1978;rocketry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1407;Kuhlmann;T1407;3;1930;2999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1408;Manufacture d'Armes St.Etienne;T1408;5;1930;2999;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1409;Morane-Saulnier;T1409;4;1930;2999;aeronautics;artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1410;Renault;T1410;5;1930;2999;mechanics;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1411;Rhône-Poulenc;T1411;4;1930;2999;chemistry;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1412;Saint-Gobain;T1412;2;1930;2999;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1413;Schneider;T1413;4;1930;2999;artillery;mechanics;technical_efficiency;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1414;SNPA;T1414;4;1941;2999;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1415;SOMUA;T1415;5;1930;2999;mechanics;industrial_engineering;electronics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1416;Charles de Gaulle;T1416;6;1939;1971;large_unit_tactics;centralized_execution;individual_courage;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1417;Etienne Schlumberger;T1417;4;1942;1999;large_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1418;François Darlan;T1418;3;1930;1951;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1419;François d'Astier de la Vigerie;T1419;3;1930;1952;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1420;Marcel Gensoul;T1420;4;1930;1942;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1421;Martial Valín ;T1421;6;1940;1980;fighter_tactics;piloting;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1422;Maurice Gamelin;T1422;3;1930;1958;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1423;Maxime Weygand;T1423;2;1940;1942;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1424;Victor Denain;T1424;2;1930;1940;bomber_tactics;combined_arms_focus;aircraft_testing;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1425;Louis de Broglie;T1425;7;1930;1987;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1426;Dassault Aviation;T1426;7;1946;2999;rocketry;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1427;Bertrand Goldschmidt;T1427;7;1954;2002;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1428;Raoul Salan;T1428;4;1948;1960;centralized_execution;combined_arms_focus;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1429;Alphonse Juin;T1429;5;1947;1962;centralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1430;CEMAA;T1430;4;1950;2999;fighter_tactics;bomber_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1431;H.W. Egli Bull;T_FRA_CompagniedesMachinesBull;4;1931;1932;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1432;Compagnie des Machines Bull;T_FRA_CompagniedesMachinesBull;5;1933;1963;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1433;Bull-General Electric;T_FRA_CompagniedesMachinesBull;5;1964;2999;mathematics;electronics;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1434;Arsenal de l'Aéronautique;T_FRA_Arsenal;4;1936;1952;aeronautics;technical_efficiency;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1435;Manufacture d'armes de Châtellerault;T_FRA_ManufacturedarmesdeChatellerault;4;1930;1968;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1436;Chantiers de la Méditerranée;T_FRA_ChantiersdelaMediterranee;4;1930;2999;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1437;Phillippe Kieffer;T_FRA_Philippe_Kieffer;5;1942;1963;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1438;Panhard;T_FRA_Panhard;4;1930;2999;mechanics;electronics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1439;Hotchkiss et Cie;T_FRA_HotchkissetCie;3;1930;1966;general_equipment;artillery;mechanics;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1450;CEA;T_FRA_CEA;6;2001;2999;nuclear_physics;nuclear_engineering;mathematics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1451;Armée de Terre;T_FRA_Army;5;1960;2999;combined_arms_focus;large_unit_tactics;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1452;Marine Nationale;T_FRA_Marine;3;1960;2999;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1453;Ariane Space;T_FRA_Ariane;7;1980;2999;rocketry;industrial_engineering;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
