HOL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2300;Artillerie Inrichtingen Hembrug;T2300;4;1930;2999;artillery;chemistry;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2301;DAF;T2301;5;1930;2999;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2302;Fokker;T2302;6;1930;2999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2303;HIH Siderius;T2303;5;1930;2999;mechanics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2304;Koninklijke Maatschappij;T2304;5;1930;2999;naval_engineering;electronics;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2305;Koolhoven;T2305;5;1930;1966;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2306;NSM Amsterdam;T2306;6;1930;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2307;Shell;T2307;7;1930;2999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2308;Wilton-Fijenoord;T2308;6;1930;2999;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2309;Royal Netherland Army;T2309;4;1930;1940;infantry_focus;centralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2310;Johannes Furstner;T2310;4;1930;1962;large_taskforce_tactics;naval_training;seamanship;small_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2311;Royal Netherlands Air Force;T2311;4;1930;1940;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2312;Petrus Best;T2312;3;1937;1951;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2313;Henri Winkelman;T2313;4;1934;1946;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2314;Philips;T2314;7;1936;2999;electronics;mathematics;technical_efficiency;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2315;CWI;T_HOL_CWI;5;1946;2999;electronics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2317;Aviolanda;T_HOL_Aviolanda;5;1930;1947;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2318;Hollandse Signaalapparaten;T_HOL_Hollandsesignaalapparat;4;1930;2999;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2319;FOM;T_HOL_FOM;5;1946;2999;nuclear_engineering;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
