INO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
24000;Indonesian State Railway System;T11500;4;1930;2999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24001;Jakarta Arsenal;T9800;4;1930;2999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24002;Jakarta Shipyard;T11003;3;1930;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24003;South East Asia Aircraft;T11403;3;1930;2999;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24004;University of Indonesia;T11504;3;1930;2999;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24005;National Military Academy of Indonesia;T10401;2;1930;2999;centralized_execution;decentralized_execution;small_unit_tactics;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24006;Indonesian Navy Training Grounds;T10402;2;1930;2999;small_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24007;Sudirman;T_INO_Sudirman;3;1941;1950;small_unit_tactics;decentralized_execution;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24008;Abdul Haris Nasution;T_INO_Abdul_Haris_Nasution ;2;1950;2999;small_unit_tactics;decentralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24009;Indonesian Marine Corps;T_INO_MarineCorps;3;1945;2999;naval_engineering;naval_training;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24010;Indonesian Air Forces;T_INO_AirForce;3;1945;2999;aircraft_testing;piloting;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
