IRE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4000;Leyland;T4000;4;1930;2999;mechanics;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4001;Goulding Chemicals;T4001;4;1930;2999;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4002;Lennox Chemicals;T4002;4;1930;2999;chemistry;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4003;Military College;T4003;4;1930;2999;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4004;Naval College;T4004;3;1930;2999;naval_training;small_taskforce_tactics;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4005;Air Corps College;T4005;3;1930;2999;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4006;Ernest T.S. Walton;T4006;4;1930;2999;nuclear_physics;mathematics;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4007;Aer Lingus;T4007;4;1930;2999;aeronautics;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4008;Dublin Shipbuilding Yards;T4008;4;1930;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4009;Electricity Supply Board;T_IRE_ESB;4;1930;2999;industrial_engineering;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4010;Irish Cement Ltd.;T_IRE_Cement;3;1936;2999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4011;University College Cork;T_IRE_UCC;3;1930;2999;mathematics;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
