LIT;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2100;ANBO;T2100;4;1930;2999;aeronautics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2101;CCI;T2101;4;1930;2999;industrial_engineering;technical_efficiency;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2102;Povilas Plechavicius;T2102;3;1941;1944;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2103;Antanas Gustaitis;T2103;4;1930;1941;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2104;Lithuanian Railways;T2104;3;1930;1960;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2105;Vytauto Didziojo Universitetas;T_LIT_Universitetas;3;1930;2999;mechanics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2106;Lithuania Military Academy;T2106;2;1930;2999;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2107;Stasys Rastikis;T_LIT_Rastikis_Stasys;4;1930;1944;centralized_execution;large_unit_tactics;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2108;LPPAS;T_LIT_LPPAS;4;1930;2999;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x



