LUX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8500;ARBED;T_LUX_ARBED;6;1930;2999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8501;Emile Speller;T_LUX_Emile_Speller;3;1930;1952;training;decentralized_execution;infantry_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8502;Félix de Bourbon-Parme;T_LUX_Félix_de_Bourbon-Parme;2;1945;2999;centralized_execution;infantry_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8503;Lëtzebuerger Arméi Arsénal;T_LUX_Letzebuerger_Armei_Arsenal;3;1930;2999;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8504;Paul Wurth S.A.;T_LUX_Paul_Wurth_SA;4;1930;2999;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8505;SOLA-Société Luxembourgeoise d'Armes;T_LUX_SOLA;4;1952;2999;general_equipment;industrial_engineering;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8506;Usine de Rodange;T_LUX_Usine_de_Rodange;5;1930;2999;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8507;William Kroll;T_LUX_William_Kroll;7;1930;1940;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


