MON;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6800;Nalayh Coal Mine;T6800;2;1930;2999;industrial_engineering;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6801;Choybalsan Industrial Combine;T6801;2;1930;2999;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6802;Sukhe Bator Military Academy;T6802;2;1930;2999;small_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6803;Institute of Sciences;T_MON_Institute_of_Sciences;1;1930;2999;chemistry;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6804;Bank of Mongolia;T_MON_Bank_of_Mongolia;2;1930;2999;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6805;Mongolian Railways;T_MON_Mongolian_Railways;2;1930;2999;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6806;National University of Mongolia;T_MON_National_University_of_Mongolia;2;1942;2999;chemistry;mathematics;electronics;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6807;Mongolian Peoples Army;T_MON_Mongolian_Peoples_Army;2;1930;2999;general_equipment;training;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6808;Mongolian Peoples Army Airforce;T_MON_Mongolian_Peoples_Army_Airforce;2;1930;2999;aircraft_testing;fighter_tactics;bomber_tactics;piloting;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x

