POL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2700;Biuro Szyfrów;T2710;6;1930;2999;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2701;Centrum Wyszkolenia Piechoty;T_POL_CentrumWyszkolenia;5;1930;2999;individual_courage;small_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2702;COP;T2700;5;1938;2999;mechanics;artillery;technical_efficiency;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2703;CWOL w Deblinie;T_POL_CWOLwDeblinie;5;1930;2999;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2704;Edward Smigly-Rydz;T_POL_Edward_Smigly;3;1930;1941;management;large_unit_tactics;infantry_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2705;Elektrit;T_POL_Elektrit;3;1930;2999;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2706;Fablok;T_POL_Fablok;4;1938;2999;technical_efficiency;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2707;GOP;T_POL_GOP;3;1936;2999;mechanics;technical_efficiency;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2708;HCP;T_POL_HCP;3;1930;2999;technical_efficiency;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2709;Jerzy Swirski;T2712;4;1930;1959;naval_training;small_taskforce_tactics;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2710;Józef Unrug;T_POL_Unrug;3;1930;2999;naval_training;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2711;Józef Zajac;T_POL_Zajac;3;1938;2999;fighter_tactics;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2712;Kazimierz Sosnkowski;T_POL_Kazimierz_Sosnkowski;4;1941;2999;management;large_unit_tactics;infantry_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2713;Lilpop Rau & Loewenstein;T_POL_Lilpop;4;1930;2999;general_equipment;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2714;Ludomil Rayski;T2711;4;1930;2999;aircraft_testing;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2715;LWS;T_POL_LWS;3;1930;2999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2716;Panstwowa Wytwórnia Uzbrojenia;T2703;4;1930;2999;general_equipment;artillery;electronics;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2717;PIT;T_POL_PIT;4;1930;2999;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2718;Polska Szkola Matematyczna;T2701;7;1930;2999;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2719;PWS;T2705;2;1930;2999;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2720;PZInz;T2706;6;1930;2999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2721;PZL;T2707;6;1930;2999;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2722;PZTiR;T_POL_PZT;4;1930;2999;electronics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2723;RWD;T_POL_RWD;3;1938;2999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2724;SMPzA;T_POL_SMPzA;4;1930;2999;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2725;Stalowa Wola;T_POL_StalowaWola;5;1940;2999;artillery;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2726;Stanislaw Maczek;T_POL_Stanislaw_Maczek;4;1938;2999;combined_arms_focus;small_unit_tactics;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2727;Stanislaw Sosabowski;T_POL_Stanislaw_Sosabowski;4;1941;2999;general_equipment;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2728;Stanislaw Ulam;T2702;7;1930;2999;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2729;Stocznia Gdynia;T_POL_Stocznia_Gdynia;3;1939;2999;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2730;Tadeusz Kutrzeba;T2709;4;1930;2999;centralized_execution;large_unit_tactics;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2731;TKDN;T_POL_Groszkowski;3;1930;2999;rocketry;mechanics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2732;Warsztaty Portowe MW;T2708;4;1938;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2733;Zaklady Azotowe w Tarnowie;T_POL_ZakladyAzotowe;5;1930;2999;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2734;Zaklady Starachowickie;T2704;5;1930;2999;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
