POL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2700;Biuro Szyfrów;T2710;6;1930;1970;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2701;COP;T2700;4;1938;1970;artillery;industrial_engineering;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2702;CWOL w Deblinie;T_POL_CWOLwDeblinie;4;1930;1970;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2703;Centrum Wyszkolenia Piechoty;T_POL_CentrumWyszkolenia;4;1930;1970;individual_courage;infantry_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2704;Edward Smigly-Rydz;T_POL_Edward_Smigly;3;1930;1941;centralized_execution;infantry_focus;large_unit_tactics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2705;Elektrit;T_POL_Elektrit;3;1930;1970;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2706;Fablok;T_POL_Fablok;4;1938;1970;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2707;GOP;T_POL_GOP;3;1936;1970;industrial_engineering;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2708;HCP;T_POL_HCP;3;1930;1970;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2709;Jerzy Swirski;T2712;4;1930;1959;naval_training;seamanship;small_taskforce_tactics;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
