PRK;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
12600;1st Military Academy;T_PRK_1st;4;1930;2999;training;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12601;65th Factory;T_PRK_65th;4;1930;2999;mechanics;general_equipment;artillery;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12602;Kangseon Steel Mill;T_PRK_Kangseon;4;1930;2999;chemistry;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12603;Chollima Ironworks;T_PRK_Chollima;5;1930;2999;chemistry;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12604;Do Sangrok;T_PRK_Do_Sangrok;5;1930;2999;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12605;Gyeomipo Ironworks;T_PRK_Gyeomipo;5;1930;2999;chemistry;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12606;Heungnam Chemical Plant;T_PRK_Heungnam_Chemical_Plant;5;1930;2999;mechanics;artillery;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12607;Huicheon Machine Tool Factory;T_PRK_Huicheon_Machine_Tool;4;1950;2999;general_equipment;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12608;Kang Gun;T_PRK_Kang_Gun;4;1930;1950;large_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12609;Kim Il Sung University;T_PRK_Kim-II_Sung_University;3;1930;2999;electronics;chemistry;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12610;Kim Jeongsuk Naval Academy;T_PRK_Kim_Jeongsuk_Naval_ Academy;4;1930;2999;centralized_execution;naval_training;submarine_tactics;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12611;Kiyang Tractor Factory;T_PRK_Kiyang;4;1930;2999;artillery;mechanics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12612;Korean People's Air Force;T_PRK_Korean_People_AF;4;1930;2999;electronics;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12613;Lee Hwal;T_PRK_Leeh_Hwal;4;1930;2999;aircraft_testing;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12614;Nampo Naval Yard;T_PRK_Nampo_Naval_Yard;4;1930;2999;electronics;naval_engineering;;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12615;North Korean Railways;T_PRK_North_Korean_Railways;4;1930;2999;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12616;Ri Sunggi;T_PRK_Ri_Sunggi;6;1950;2999;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12617;Supung Hydroelectric Plant;T_PRK_Supung_Hydroelectric_Plant;5;1937;1950;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
