RSI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7701;Adriano Visconti;T_RSI_Adriano_Visconti;4;1940;2999;fighter_tactics;centralized_execution;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7702;Agip;T_ITA_Agip;4;1930;2999;technical_efficiency;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7703;Antonio Legnani;T_RSI_Antonio_Legnani;3;1930;2999;decentralized_execution;small_taskforce_tactics;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7704;Beretta;T1801;4;1930;2999;training;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7705;Breda;T1802;4;1930;2999;aeronautics;general_equipment;artillery;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7706;Cantieri Ansaldo;T1804;4;1930;2999;naval_engineering;naval_artillery;electronics;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7707;Caproni;T1806;4;1930;2999;aeronautics;electronics;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7708;FIAT;T1808;5;1930;2999;mechanics;industrial_engineering;management;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7709;Gastone Gambara;T7704;3;1930;2999;infantry_focus;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7710;Giuseppe Sparzani;T_RSI_Giuseppe_Sparzani;3;1930;2999;centralized_execution;large_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7711;Junio Valerio Borghese;T_RSI_Junio_Valerio_Borghese;4;1930;2999;submarine_tactics;small_taskforce_tactics;seamanship;decentralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7712;Lancia;T1812;4;1930;2999;mechanics;artillery;general_equipment;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7713;Macchi;T1810;6;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7714;Mario Carloni;T_RSI_Mario_Carloni;3;1930;1960;training;decentralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7715;Politecnico di Milano;T_RSI_PolitecnicodiMilano;4;1930;2999;mathematics;electronics;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7716;Rodolfo Graziani;T1819;3;1930;1955;training;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7717;Societá Montecatini;T1820;4;1930;2999;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7718;Terni;T_ITA_Terni;5;1930;2999;general_equipment;mechanics;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7719;X MAS;T_RSI_X_MAS;4;1930;2999;small_unit_tactics;decentralized_execution;individual_courage;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


