SAF;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3000;ACAD;T3000;4;1930;2999;aeronautics;rocketry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3001;de Havilland;T3001;5;1930;2999;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3002;Marmon-Herrington;T108;5;1930;2999;mechanics;training;chemistry;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3003;South Africa Railways;T3004;6;1930;2999;mechanics;technical_efficiency;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3004;Vickers-Armstrong Ltd.;T3003;5;1930;2999;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3005;Adolf Malan;T3005;6;1941;1950;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3006;Jan Smuts;T3006;6;1930;1950;centralized_execution;training;combined_arms_focus;individual_courage;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3007;Pierre Oliver-Knoll;T3007;5;1930;2999;large_taskforce_tactics;naval_training;seamanship;centralized_execution;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3008;Pierre van Ryneveld;T3008;4;1930;2999;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3009;Iscor Ltd;T_SAF_ISCOR;5;1930;2999;chemistry;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3010;University of the Witwatersrand;T_SAF_UniversityWitwatersrand;4;1930;2999;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3011;ESCOM;T_SAF_ESCOM;5;1948;2999;electronics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3012;Simon's Town Dockyard;T_SAF_SimonsTownDockyard;4;1930;2999;electronics;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3013;Armscor;T_SAF_ARMSCOR;5;1948;2999;general_equipment;training;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
