SLO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4100;Aircraft Repair Facility Trencín;T_SLO_AircraftRepair;3;1930;2999;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4101;Augustín Malár;T_SLO_Augustin_Malar;4;1930;1960;infantry_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4102;Comenius University;T4103;3;1939;2999;mechanics;chemistry;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4103;Dynamit Nobel;T_SLO_DynamitNobel;4;1930;2999;chemistry;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4104;Ferdinand Catlos;T_SLO_Ferdinand_Catlos;3;1930;1960;small_unit_tactics;decentralized_execution;combined_arms_focus;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4105;Ján Gerthofer;T_SLO_Jan_Gerthofer;5;1930;2999;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4106;Ján Golian;T4102;5;1930;2999;large_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4107;Jur Hronec;T_SLO_Jur_Hronec;5;1930;2999;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4108;Povazska Bystrica Ammunition Plant;T_SLO_PovazskaBystrica;3;1930;2999;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4109;Rafinérii Apollo;T_SLO_ApolloRefinery;4;1930;2999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4110;Slovakian Airforce Factory;T1604;5;1930;2999;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4111;Slovenských Lodeníc Komárno;T_SLO_Shipyard;3;1930;2999;naval_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4112;ZTS;T_SLO_ZTS;4;1930;2999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
