SWE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3200;Arne Beurling;T3200;7;1930;1954;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3201;Bofors AB;T3201;7;1930;2005;artillery;chemistry;mechanics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3202;Götaverken;T3202;5;1930;1989;electronics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3203;Husqvarna;T3203;5;1930;2999;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3204;Karlskrona Naval Yard;T3204;6;1930;1970;naval_engineering;naval_artillery;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3205;KaMeVe;T3205;5;1930;1970;mechanics;general_equipment;industrial_engineering;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3206;Landsverk AB;T3206;6;1930;1992;artillery;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3207;LM Ericsson;T3207;7;1930;2001;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3208;SAAB;T_SWE_SAAB;7;1930;2999;aeronautics;electronics;mechanics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3209;Scania-Vabis;T3209;6;1930;2999;industrial_engineering;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3210;Volvo;T3210;6;1930;2999;industrial_engineering;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
