TEX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13800;Consolidated Aircraft Corporation;T13800;6;1943;2999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13801;Fort Bliss Air Defence Center;T13801;6;1942;2999;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13802;Consolidated Steel Corp.;T13802;5;1941;2999;naval_engineering;naval_artillery;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13803;Houston Shipbuilding Corporation;T13803;6;1930;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13804;Humble Oil and Refining Company;T13804;7;1930;2999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13805;Lone Star Aviation;T13805;6;1930;2999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13806;Southern Pacific Railroad;T13806;5;1930;2999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13807;Texas & Pacific Railroad;T13807;6;1930;2999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13808;Texas A&M University;T13808;5;1930;2999;mechanics;chemistry;training;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13809;Texas Oil Company;T118;8;1930;2999;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13810;University of Texas;T13810;4;1930;2999;mechanics;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13811;White Sands Proving Ground;T13811;6;1930;2999;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13812;Fort Hood;T13812;7;1930;2999;infantry_focus;centralized_execution;combined_arms_focus;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13813;Houston Naval Bases;T13803;6;1930;2999;submarine_tactics;carrier_tactics;large_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13814;Naval Air Station Corpus Christi;T13814;5;1930;2999;aircraft_testing;piloting;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13815;San Antonio Aviation Cadet Center;T13815;5;1940;2999;aircraft_testing;bomber_tactics;fighter_tactics;combined_arms_focus;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
