TUR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3500;Gölcük Tersanesi;T3500;4;1930;2999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3501;Istanbul Taskizak Tersanesi;T3501;5;1930;2999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3502;Tayyare ve Motor Türk AS;T_TUR_TamTAS;3;1930;1939;aeronautics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3503;MKEK;T3503;5;1953;2999;chemistry;artillery;general_equipment;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3504;THK;T3504;3;1940;1952;aeronautics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3505;Petrol Ofisi AS;T3505;3;1930;2999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3506;Fevzi Uçaner;T_TUR_Fevzi_Ucaner;4;1930;2999;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3507;Zeki Dogan;T_TUR_Zeki_Dogan;5;1944;2999;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3508;Fevzi Çakmak;T3508;4;1930;1945;large_unit_tactics;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3509;Deniz Harp Okulu ve Lisesi;T3509;4;1930;2999;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3510;Mehmet Ali Üngen;T3510;5;1930;2999;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3511;Mehmet Nuri Yamut;T3511;4;1930;2999;small_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3512;Istanbul Military Industries;T1103;4;1930;2999;artillery;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3513;Istanbul Universitesi;T3513;4;1930;2999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3515;Turkish State Railways;T_TUR_Railway;4;1930;2999;mechanics;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3516;Nuri Demirdag;T_TUR_NuriDemirdag;3;1936;1943;aeronautics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x




