UCH;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1099;Republic of China Air Force;T1008;6;1970;2999;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1098;Republic of China Navy;T1009;7;1970;2999;small_taskforce_tactics;naval_training;seamanship;carrier_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1097;Shiing-shen Chern;T1011;7;1970;2999;mathematics;nuclear_physics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1096;China Military Academy;T1013;7;1970;2999;large_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1094;China Development & Finance Corp.;T1018;2;1970;2999;industrial_engineering;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1093;CAMCO;T1000;2;1920;1970;aeronautics;fighter_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1092;Dading Engine Factory;T1001;3;1920;1970;aeronautics;fighter_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1091;Hanyang Arsenal;T1002;2;1900;1970;munitions;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1090;Chung Hing Coal Company;T1004;2;1900;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1089;Alexander von Falkenhausen;T1005;4;1930;1948;large_unit_tactics;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1088;Yan Xishan;T1006;2;1931;1960;large_unit_tactics;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1087;Claire Chennault;T1007;4;1970;1970;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1086;Republic of China Air Force;T1008;2;1920;1970;fighter_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1085;Republic of China Navy;T1009;2;1920;1970;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1084;Kiangnan Dock and Engineering Works;T1010;2;1930;1970;naval_artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1083;Institute of Mathematics - Academia Sinica;T1011;5;1900;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1082;Academia Sinica;T1012;2;1900;1970;mechanics;chemistry;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1081;Baoding Military Academy;T8803;1;1900;1970;large_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1080;China National Aviation Corporation;T1014;2;1930;1970;aeronautics;bomber_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1095;Chang'an;T1015;3;1930;1970;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1079;Yong Li;T1016;4;1930;1970;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1078;National Machine Works;T8500;3;1930;1970;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1077;China Development & Finance Corp.;T1018;2;1900;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1076;National Tsing Hua University;T1019;3;1950;1970;mathematics;nuclear_physics;nuclear_engineering;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1075;CSIST;T1426;5;1950;1970;rocketry;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1074;Taiyuan Arsenal;T8801;3;1910;1970;artillery;general_equipment;training;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1073;Qinghua University;T8802;2;1910;1970;mechanics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1072;Baoding Military Academy;T8803;2;1910;1970;large_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1071;Dagu Shipyard;T8804;2;1910;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1070;Kaiping Coal Mine;T1004;2;1910;1970;industrial_engineering;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1069;Tianjin Tram & Electric Co.;T8807;3;1910;1970;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1068;Zhili Gongyi Zongju;T8808;2;1910;1970;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1067;Wu Peifu;T_UCH_Wu_Peifu;4;1920;1939;combined_arms_focus;small_unit_tactics;centralized_execution;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
