UKR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
14000;Roman Shukhevych;T_UKR_Roman_Shukhevych;3;1930;2999;individual_courage;decentralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14001;Chernomorsky Shipyard;T_UKR_Chernomorsky_Shipyard;5;1930;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14002;Kharkov Aviation Institute;T_UKR_Kharkov_Aviation_Institute;4;1930;2999;aircraft_testing;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14003;Kharkov Locomotive Factory;T_UKR_Kharkov_Locomotive_Factory;7;1930;2999;artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14004;Kiev Arsenal;T_UKR_Kiev_Arsenal;4;1930;2999;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14005;Kiev University;T_UKR_Kiev_University;4;1930;2999;chemistry;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14006;Motor Sich;T_UKR_Motor_Sich;5;1930;2999;electronics;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14007;Mykola Kapustiansky;T_UKR_Mykola_Kapustiansky;4;1930;2999;infantry_focus;small_unit_tactics;decentralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14008;Nikolaev Admiralty Shipyard;T_UKR_Nikolaev_Admiralty_Shipyard;4;1930;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14009;Oleg Antonov;T_UKR_Oleg_Antonov;6;1930;2999;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14010;Pavlo Shandruk;T_UKR_Pavlo_Shandruk;4;1930;2999;infantry_focus;large_unit_tactics;centralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14011;Sevastopol Naval Institute;T_UKR_Sevastopol_Naval_Institute;4;1930;2999;decentralized_execution;naval_training;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14012;Tupolev;T_UKR_Tupolev;5;1930;2999;aeronautics;chemistry;electronics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14013;Ukrainian Air Force;T_UKR_Ukrainian_Air_Force;4;1930;2999;centralized_execution;decentralized_execution;fighter_tactics;piloting;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14014;Ukrainian Naval Force;T_UKR_Ukrainian_Naval_Force;4;1930;2999;centralized_execution;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
