USA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
100;Aerojet;T_USA_Aerojet;6;1941;2999;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
101;Arleigh Burke;T_USA_Arleigh_Burke;7;1949;1962;small_taskforce_tactics;carrier_tactics;management;naval_training;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102;ArmaLite;T_USA_ArmaLite;7;1954;2999;artillery;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
103;Arthur Radford;T131;6;1953;1959;large_taskforce_tactics;carrier_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
104;Boeing;T100;8;1930;2999;aeronautics;technical_efficiency;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105;Carl Spaatz;T120;7;1939;1955;aircraft_testing;bomber_tactics;centralized_execution;aeronautics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
106;Chester Nimitz;T121;8;1939;1950;small_taskforce_tactics;submarine_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
107;Creighton Williams Abrams Jr;T_USA_Creighton_Abrams;6;1949;1974;combined_arms_focus;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
108;Curtis LeMay;T122;7;1938;1965;centralized_execution;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
109;Curtiss-Wright;T102;8;1930;2999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110;Detroit Arsenal Tank Plant;T_USA_DetroitArsenal;5;1940;1950;mechanics;artillery;technical_efficiency;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
