VIC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6601;AC de St-Nazaire-Penhoët;T1400;4;1930;2999;naval_engineering;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6603;Amiot;T1401;5;1930;2999;aeronautics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6604;Armée de l'Air de Vichy;T_VIC_Airforce;4;1930;2999;centralized_execution;bomber_tactics;aircraft_testing;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6607;Arsenal de Brest;T1402;5;1930;2999;naval_engineering;naval_artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6608;Arsenal de l'Aéronautique;T_FRA_Arsenal;4;1936;1952;artillery;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6613;Chantiers de la Méditerranée;T_FRA_ChantiersdelaMediterranee;4;1930;2999;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6614;Charles Nogues;T6623;4;1941;2999;centralized_execution;large_unit_tactics;combined_arms_focus;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6615;Compagnie des Machines Bull;T_FRA_CompagniedesMachinesBull;5;1933;1963;mathematics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6618;Dassault Aviation;T1426;7;1946;2999;rocketry;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6620;Dewoitine;T1403;4;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6622;ESPCI ParisTech;T_VIC_ESPCI;4;1944;2999;nuclear_physics;nuclear_engineering;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6623;FAMH;T1404;4;1930;2999;mechanics;training;electronics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6624;François Darlan;T1418;3;1930;1951;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6625;Frédéric Joliot-Curie;T_VIC_Frederic_Joliot-Curie;2;1930;1944;nuclear_physics;nuclear_engineering;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6626;Gustave Bertrand;T_VIC_Gustave_Bertrand;4;1930;2999;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6627;H.W. Egli Bull;T_FRA_CompagniedesMachinesBull;4;1931;1932;mathematics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6628;Hispano Suiza;T_VIC_HispanoSuiza;4;1930;2999;aeronautics;mechanics;technical_efficiency;artillery;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6629;Hotchkiss et Cie;T_FRA_HotchkissetCie;3;1930;1966;mechanics;training;technical_efficiency;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6630;Jean Charles Romatet;T_VIC_Jean_Romatet;4;1930;2999;decentralized_execution;piloting;aircraft_testing;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
