y;English;;;;;;;;;;X
##;English;;;;;;;;;;X
TUTORIAL_SETUP;新手指南的信息提示 ;;;;;;;;;;X
TUTORIAL_HEADER;新手指南信息 %s ;;;;;;;;;;X
TUTORIAL_1;%s ;;;;;;;;;;X
TUTORIAL_2;%s ;;;;;;;;;;X
TUTORIAL_3;;;;;;;;;;;X
TUTORIAL_4;;;;;;;;;;;X
TUTORIAL_5;;;;;;;;;;;X
TUTORIAL_6;;;;;;;;;;;X
TUTORIAL_LOG;%s: %s ;;;;;;;;;;X
TUTORIAL_BTN1;好的 ;;;;;;;;;;X
TUTORIAL_BTN2;;;;;;;;;;;X
#;;;;;;;;;;;X
TUTORIAL_MAIN_TITLE;欢迎来到《民主兵工厂》 ;;;;;;;;;;X
TUTORIAL_MAIN_DESC;民主兵工厂是一个很需要技巧的游戏。你必须控制一个国家 的政策、外交、生产和科研，在国际层面上还需要处理好战 争。但这巨大的挑战也能给你带来巨大的成就感，民主兵工 厂为你提供了一个以二战为背景的虚拟世界。它为你提供了 无数种通往荣耀的道路。为了让你能够更快上手，我们建议 你先进入新手指南模式。它对游戏中的所有主要元素进行了 说明。如果你需要深入了解游戏内容，最好是阅读游戏手册 ，或是访问我们的网站Paradoxplaza.com。 ;;;;;;;;;X
#;;;;;;;;;;;X
TUTORIAL_DESC_1;你将要进入一段对世界大战的简要介绍 ;;;;;;;;;;X
TUTORIAL_DESC_2;学习对外交事务和国家政策的处理 ;;;;;;;;;;X
TUTORIAL_DESC_3;学习对国家生产能力的处理 ;;;;;;;;;;X
TUTORIAL_DESC_4;学习发展新科技和理论 ;;;;;;;;;;X
TUTORIAL_DESC_5;学习在民主兵工厂中作战的方法 ;;;;;;;;;;X
TUTORIAL_DESC_6;进一步学习如何进行作战 ;;;;;;;;;;X
TUTORIAL_BATTLESCENARIOS;现在我仅仅想知道如何进行作战 ;;;;;;;;;;X
##;;;;;;;;;;;X
FETUTORIAL_1;概况 ;;;;;;;;;;X
FETUTORIAL_2;外交与政府 ;;;;;;;;;;X
FETUTORIAL_3;生产 ;;;;;;;;;;X
FETUTORIAL_4;科研 ;;;;;;;;;;X
