Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿尔当 杜 皮克 ;240700;UBO;1936;1936;1936;1936;3;7;0;2;0;5;2;L24000;1936;1990;x
阿拉博斯 ;240701;UBO;1936;1936;1936;1936;3;7;0;1;0;5;1;L24001;1936;1990;x
阿曼德 ;240702;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;L24002;1936;1990;x
阿明盖特 ;240703;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24003;1936;1990;x
奥代 ;240704;UBO;1936;1936;1936;1990;3;7;0;1;0;5;0;L24005;1936;1990;x
艾梅 ;240705;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24006;1936;1990;x
巴罗 ;240706;UBO;1936;1936;1990;1990;3;7;0;0;0;5;2;L24007;1936;1990;x
巴斯蒂安 ;240707;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24008;1936;1990;x
贝尔廷-布叙 ;240708;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24010;1936;1990;x
贝图阿尔 ;240709;UBO;1936;1990;1990;1990;3;7;0;2;0;5;1;L24011;1936;1990;x
比约特 ;240710;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24012;1936;1990;x
宾根 ;240711;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24013;1936;1990;x
布兰克 ;240712;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24014;1936;1990;x
布兰查德 ;240713;UBO;1936;1990;1990;1990;3;7;0;2;0;5;0;L24015;1936;1990;x
布朗谢 ;240714;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;L24016;1936;1990;x
布莱佐 ;240715;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24017;1936;1990;x
邦迪斯 ;240716;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24018;1936;1990;x
布尔热-毛诺里 ;240717;UBO;1936;1936;1936;1936;3;7;0;1;0;5;0;L24019;1936;1990;x
布里杜 ;240718;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24020;1936;1990;x
布里奥萨 ;240719;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24021;1936;1990;x
布罗卡尔 ;240720;UBO;1936;1990;1990;1990;3;7;0;1;0;5;1;L24022;1936;1990;x
布罗塞 ;240721;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;L24023;1936;1990;x
布吕诺 ;240722;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24024;1936;1990;x
卡利斯 ;240723;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;L24025;1936;1990;x
卡梅里尼 ;240724;UBO;1936;1936;1936;1990;3;7;0;0;0;5;2;L24026;1936;1990;x
卡莱斯 ;240725;UBO;1936;1936;1936;1990;3;7;0;2;0;5;1;L24027;1936;1990;x
卡彭铁尔 ;240726;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24028;1936;1990;x
卡特鲁 ;240727;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24029;1936;1990;x
恰班-德尔马斯 ;240728;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24030;1936;1990;x
沙尔迪尼 ;240729;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24031;1936;1990;x
舍维利翁 ;240730;UBO;1936;1990;1990;1990;3;7;0;2;0;5;1;L24032;1936;1990;x
科利特 ;240731;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24033;1936;1990;x
科尔森 ;240732;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;L24034;1936;1990;x
孔戴 ;240733;UBO;1936;1936;1936;1936;3;7;0;0;0;5;0;L24035;1936;1990;x
科拉普 ;240734;UBO;1936;1936;1936;1936;3;7;0;1;0;5;1;L24036;1936;1990;x
科尔尼耶 ;240735;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24037;1936;1990;x
克雷潘-阿蒂 ;240736;UBO;1936;1936;1936;1990;3;7;0;2;0;5;0;L24038;1936;1990;x
d'哈考特 ;240737;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;L24040;1936;1990;x
德 巴泽莱尔 德 鲁皮埃雷 ;240738;UBO;1936;1936;1936;1990;3;7;0;1;0;5;0;L24041;1936;1990;x
德 贝努维尔 ;240739;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;L24042;1936;1990;x
德 布瓦西厄 德 吕涅 ;240740;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24043;1936;1990;x
德 科尔塔 ;240741;UBO;1936;1936;1990;1990;3;7;0;1;0;5;2;L24044;1936;1990;x
德 库基斯 ;240742;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24045;1936;1990;x
德 叙沃特 ;240743;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24046;1936;1990;x
德 吉耶邦 ;240744;UBO;1936;1936;1936;1990;3;7;0;1;0;5;1;L24048;1936;1990;x
德 埃斯丹 ;240745;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24049;1936;1990;x
德 拉 波特 杜 泰尔 ;240746;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24050;1936;1990;x
德 拉米纳 ;240747;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24051;1936;1990;x
德 鲁 ;240748;UBO;1936;1990;1990;1990;3;7;0;2;0;5;0;L24052;1936;1990;x
德 圣-莫里斯 ;240749;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24053;1936;1990;x
德 韦尔迪拉克 ;240750;UBO;1936;1936;1936;1936;3;7;0;1;0;5;0;L24054;1936;1990;x
达德 ;240751;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;L24055;1936;1990;x
德伯尼 ;240752;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24056;1936;1990;x
德朱西厄-蓬卡雷尔 ;240753;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24057;1936;1990;x
德莱斯特兰 ;240754;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;L24058;1936;1990;x
登茨 ;240755;UBO;1936;1936;1936;1990;3;7;0;1;0;5;0;L24059;1936;1990;x
德马兹 ;240756;UBO;1936;1990;1990;1990;3;7;0;2;0;5;1;L24060;1936;1990;x
迪奥 ;240757;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24061;1936;1990;x
杜芒 ;240758;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24062;1936;1990;x
杜瓦扬 ;240759;UBO;1936;1936;1936;1990;3;7;0;2;0;5;1;L24063;1936;1990;x
德罗纳 ;240760;UBO;1936;1936;1990;1990;3;7;0;0;0;5;2;L24064;1936;1990;x
迪比松 ;240761;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24065;1936;1990;x
杜克洛 ;240762;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24066;1936;1990;x
迪菲厄 ;240763;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;L24067;1936;1990;x
迪努瓦耶 德 塞贡扎克 ;240764;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24068;1936;1990;x
埃利 ;240765;UBO;1936;1990;1990;1990;3;7;0;0;0;5;2;L24069;1936;1990;x
法加尔德 ;240766;UBO;1936;1936;1936;1936;3;7;0;2;0;5;1;L24070;1936;1990;x
弗尔维 ;240767;UBO;1936;1936;1936;1990;3;7;0;0;0;5;1;L24071;1936;1990;x
法约勒 ;240768;UBO;1936;1936;1936;1990;3;7;0;1;0;5;0;L24072;1936;1990;x
福涅尔 ;240769;UBO;1936;1936;1936;1936;3;7;0;1;0;5;0;L24073;1936;1990;x
盖恩 ;240770;UBO;1936;1990;1990;1990;3;7;0;0;0;5;1;L24076;1936;1990;x
加尔贝 ;240771;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24078;1936;1990;x
加尔舍里 ;240772;UBO;1936;1990;1990;1990;3;7;0;0;0;5;1;L24079;1936;1990;x
让蒂 ;240773;UBO;1936;1936;1990;1990;3;7;0;1;0;5;1;L24080;1936;1990;x
若弗鲁瓦 ;240774;UBO;1936;1936;1990;1990;3;7;0;0;0;5;2;L24081;1936;1990;x
乔治 ;240775;UBO;1936;1990;1990;1990;3;7;0;2;0;5;0;L24082;1936;1990;x
吉利耶 ;240776;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24083;1936;1990;x
吉劳德 ;240777;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24084;1936;1990;x
吉罗 德 朗格拉德 ;240778;UBO;1936;1936;1990;1990;3;7;0;2;0;5;0;L24085;1936;1990;x
瓜拉尔 德 蒙萨贝尔 ;240779;UBO;1936;1936;1990;1990;3;7;0;1;0;5;1;L24087;1936;1990;x
冈萨雷斯 德 利纳雷斯 ;240780;UBO;1936;1936;1990;1990;3;7;0;0;0;5;2;L24088;1936;1990;x
格拉维耶 ;240781;UBO;1936;1990;1990;1990;3;7;0;2;0;5;0;L24089;1936;1990;x
格朗萨尔 ;240782;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24090;1936;1990;x
纪尧姆 ;240783;UBO;1936;1936;1936;1990;3;7;0;0;0;5;1;L24091;1936;1990;x
阿诺托 ;240784;UBO;1936;1936;1936;1990;3;7;0;2;0;5;0;L24092;1936;1990;x
埃捷 德 布瓦朗贝尔 ;240785;UBO;1936;1936;1936;1990;3;7;0;1;0;5;0;L24093;1936;1990;x
胡贝特 ;240786;UBO;1936;1990;1990;1990;3;7;0;2;0;5;0;L24094;1936;1990;x
伊勒尔 ;240787;UBO;1936;1990;1990;1990;3;7;0;0;0;5;1;L24096;1936;1990;x
英戈尔德 ;240788;UBO;1936;1936;1936;1990;3;7;0;1;0;5;2;L24097;1936;1990;x
雅各布 ;240789;UBO;1936;1990;1990;1990;3;7;0;0;0;5;1;L24098;1936;1990;x
让内尔 ;240790;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24099;1936;1990;x
茹塞 ;240791;UBO;1936;1990;1990;1990;3;7;0;1;0;5;1;L24100;1936;1990;x
朱安 ;240792;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24101;1936;1990;x
卡歇尔 ;240793;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24102;1936;1990;x
凯梅 ;240794;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24103;1936;1990;x
列 让蒂约姆 ;240795;UBO;1936;1936;1936;1990;3;7;0;0;0;5;1;L24108;1936;1990;x
拉丰 沙贝尔 ;240796;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24109;1936;1990;x
拉朗德 德 拉 莫特 ;240797;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24110;1936;1990;x
拉姆森 ;240798;UBO;1936;1936;1990;1990;3;7;0;2;0;5;1;L24111;1936;1990;x
朗特努瓦 ;240799;UBO;1936;1990;1990;1990;3;7;0;2;0;5;2;L24112;1936;1990;x
拉巴莱特里耶 ;240800;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24113;1936;1990;x
劳雷 ;240801;UBO;1936;1990;1990;1990;3;7;0;0;0;5;1;L24115;1936;1990;x
勒莫尼耶 ;240802;UBO;1936;1990;1990;1990;3;7;0;2;0;5;0;L24117;1936;1990;x
马尼昂 ;240803;UBO;1936;1990;1990;1990;3;7;0;1;0;5;1;L24118;1936;1990;x
马丁 ;240804;UBO;1936;1936;1936;1936;3;7;0;0;0;5;0;L24119;1936;1990;x
梅尔 ;240805;UBO;1936;1990;1990;1990;3;7;0;0;0;5;1;L24120;1936;1990;x
米朗博 ;240806;UBO;1936;1936;1936;1990;3;7;0;2;0;5;2;L24121;1936;1990;x
莫内 ;240807;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24122;1936;1990;x
穆瓦朗 ;240808;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24123;1936;1990;x
诺盖斯 ;240809;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;L24124;1936;1990;x
帕热齐 ;240810;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24125;1936;1990;x
佩古尔 ;240811;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24126;1936;1990;x
普雷特拉 ;240812;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24127;1936;1990;x
普里乌 ;240813;UBO;1936;1936;1936;1936;3;7;0;1;0;5;2;L24128;1936;1990;x
拉瓦内尔 ;240814;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;L24129;1936;1990;x
勒皮东-普勒努 ;240815;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;L24130;1936;1990;x
雷坎 ;240816;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24131;1936;1990;x
雷弗尔斯 ;240817;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24132;1936;1990;x
罗茨 ;240818;UBO;1936;1990;1990;1990;3;7;0;2;0;5;0;L24133;1936;1990;x
龙德奈 ;240819;UBO;1936;1936;1936;1990;3;7;0;1;0;5;1;L24134;1936;1990;x
萨朗 ;240820;UBO;1936;1936;1990;1990;3;7;0;2;0;5;2;L24135;1936;1990;x
塞韦茨 ;240821;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24136;1936;1990;x
西蒙 ;240822;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24137;1936;1990;x
苏拉 ;240823;UBO;1936;1990;1990;1990;3;7;0;0;0;5;1;L24138;1936;1990;x
特奥多雷 ;240824;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24139;1936;1990;x
沃捷 ;240825;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24142;1936;1990;x
韦尔诺 ;240826;UBO;1936;1936;1990;1990;3;7;0;2;0;5;1;L24143;1936;1990;x
魏尔 ;240827;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24144;1936;1990;x
阿布里亚尔 ;240828;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24146;1936;1990;x
奥布瓦诺 ;240829;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24147;1936;1990;x
巴鲁瓦 ;240830;UBO;1936;1990;1990;1990;3;7;0;0;0;5;2;L24148;1936;1990;x
科利内 ;240831;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;L24149;1936;1990;x
科尔梅 ;240832;UBO;1936;1936;1936;1990;3;7;0;1;0;5;0;L24150;1936;1990;x
德艾蒂安 德奥尔韦斯 ;240833;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24152;1936;1990;x
德 热弗里耶 ;240834;UBO;1936;1990;1990;1990;3;7;0;0;0;5;1;L24153;1936;1990;x
德 拉博德 ;240835;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24154;1936;1990;x
德 拉 诺埃 ;240836;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24155;1936;1990;x
德 拉 佩林 ;240837;UBO;1936;1990;1990;1990;3;7;0;1;0;5;1;L24156;1936;1990;x
德古 ;240838;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24157;1936;1990;x
埃斯库迭尔 ;240839;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24158;1936;1990;x
埃斯特瓦 ;240840;UBO;1936;1990;1990;1990;3;7;0;1;0;5;2;L24159;1936;1990;x
让苏尔 ;240841;UBO;1936;1936;1936;1936;3;7;0;0;0;5;1;L24160;1936;1990;x
戈德弗鲁瓦 ;240842;UBO;1936;1936;1990;1990;3;7;0;2;0;5;0;L24161;1936;1990;x
拉博德 ;240843;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24164;1936;1990;x
勒卢 ;240844;UBO;1936;1990;1990;1990;3;7;0;2;0;5;2;L24165;1936;1990;x
勒瓦瑟 ;240845;UBO;1936;1936;1936;1990;3;7;0;0;0;5;1;L24166;1936;1990;x
吕克 ;240846;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24167;1936;1990;x
米瑟利耶 ;240847;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24168;1936;1990;x
佩坎 ;240848;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24169;1936;1990;x
理查德 ;240849;UBO;1936;1990;1990;1990;3;7;0;0;0;5;1;L24170;1936;1990;x
施托斯科夫 ;240850;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24172;1936;1990;x
蒂里 德阿尔金列夫 ;240851;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24173;1936;1990;x
阿斯铁尔 德 维拉特 ;240852;UBO;1936;1936;1936;1990;3;7;0;1;0;5;0;L24174;1936;1990;x
巴列特 ;240853;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;L24175;1936;1990;x
巴尔图斯 ;240854;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24176;1936;1990;x
巴塞 ;240855;UBO;1936;1936;1936;1936;3;7;0;0;0;5;1;L24177;1936;1990;x
贝热雷 ;240856;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;L24178;1936;1990;x
伯纳德 ;240857;UBO;1936;1936;1990;1990;3;7;0;0;0;5;2;L24179;1936;1990;x
比萨格内特 ;240858;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24180;1936;1990;x
博利耶 ;240859;UBO;1936;1990;1990;1990;3;7;0;0;0;5;1;L24181;1936;1990;x
布尔斯卡 ;240860;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24182;1936;1990;x
克洛斯特曼 ;240861;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24183;1936;1990;x
科歇 ;240862;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24184;1936;1990;x
克罗泽 ;240863;UBO;1936;1990;1990;1990;3;7;0;2;0;5;2;L24185;1936;1990;x
