Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿尔德亚 ;43700;UTC;1936;1936;1936;1936;3;7;0;2;0;5;2;L4300;1936;1990;x
阿列克休 ;43701;UTC;1936;1936;1936;1936;3;7;0;1;0;5;1;L4301;1936;1990;x
安东内斯库 I A ;43702;UTC;1936;1936;1990;1990;3;7;0;0;0;5;1;L4302;1936;1990;x
安东内斯库 I V ;43703;UTC;1936;1936;1990;1990;3;7;0;1;0;5;0;L4303;1936;1990;x
安东内斯库 P ;43704;UTC;1936;1936;1936;1990;3;7;0;1;0;5;0;L4304;1936;1990;x
阿尔杰谢亚努 ;43705;UTC;1936;1936;1990;1990;3;7;0;0;0;5;0;L4305;1936;1990;x
阿尔杰托亚努 ;43706;UTC;1936;1936;1990;1990;3;7;0;0;0;5;2;L4306;1936;1990;x
阿夫拉梅斯库 ;43707;UTC;1936;1990;1990;1990;3;7;0;1;0;5;0;L4307;1936;1990;x
伯德斯库 ;43708;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4308;1936;1990;x
巴尔代斯库 ;43709;UTC;1936;1990;1990;1990;3;7;0;2;0;5;1;L4309;1936;1990;x
巴尔丹 ;43710;UTC;1936;1990;1990;1990;3;7;0;1;0;5;0;L4310;1936;1990;x
博伊采亚努 ;43711;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4311;1936;1990;x
布拉泰斯库 ;43712;UTC;1936;1990;1990;1990;3;7;0;1;0;5;0;L4312;1936;1990;x
巴克留 ;43713;UTC;1936;1990;1990;1990;3;7;0;2;0;5;0;L4313;1936;1990;x
卡洛泰斯库 ;43714;UTC;1936;1936;1990;1990;3;7;0;0;0;5;1;L4314;1936;1990;x
卡拉萨斯 ;43715;UTC;1936;1936;1990;1990;3;7;0;1;0;5;0;L4315;1936;1990;x
卡劳恩特 ;43716;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4316;1936;1990;x
恰乌苏 ;43717;UTC;1936;1936;1936;1936;3;7;0;1;0;5;0;L4317;1936;1990;x
基尔诺阿加 ;43718;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4318;1936;1990;x
恰拉克 ;43719;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4319;1936;1990;x
丘佩尔卡 ;43720;UTC;1936;1990;1990;1990;3;7;0;1;0;5;1;L4320;1936;1990;x
科德雷亚努 I ;43721;UTC;1936;1936;1936;1990;3;7;0;0;0;5;0;L4321;1936;1990;x
康斯坦丁内斯库-克拉普斯 ;43722;UTC;1936;1936;1990;1990;3;7;0;0;0;5;0;L4322;1936;1990;x
科斯马 ;43723;UTC;1936;1936;1936;1990;3;7;0;0;0;5;0;L4323;1936;1990;x
德斯克列斯库 ;43724;UTC;1936;1936;1936;1990;3;7;0;0;0;5;2;L4324;1936;1990;x
迪米特留 ;43725;UTC;1936;1936;1936;1990;3;7;0;2;0;5;1;L4325;1936;1990;x
多布雷 ;43726;UTC;1936;1990;1990;1990;3;7;0;1;0;5;0;L4326;1936;1990;x
德拉加利纳 ;43727;UTC;1936;1990;1990;1990;3;7;0;0;0;5;0;L4327;1936;1990;x
