Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿尔-加尼 ;530000;ALG;1930;1990;1990;1990;3;3;16;0;0;5;0;M530036;1930;1944;x
阿米拉夸里 ;530001;ALG;1930;1941;1943;1990;2;5;5;2;0;5;0;L530001;1930;1960;x
阿尔诺 ;530002;ALG;1939;1943;1990;1990;2;3;1;1;0;5;0;L530002;1939;1960;x
本-达拉赫 ;530003;ALG;1945;1990;1990;1990;3;2;0;0;0;5;0;L530003;1945;1960;x
巴德尔丁 ;530004;ALG;1945;1990;1990;1990;3;2;32;0;0;5;0;L530004;1945;1960;x
巴伯罗 ;530005;ALG;1942;1990;1990;1990;3;4;256;0;0;5;0;L530005;1942;1960;x
博德诺姆 德 拉马兹 ;530006;ALG;1930;1939;1990;1990;2;4;4;1;0;5;0;L530006;1930;1942;x
布迈丁 ;530007;ALG;1944;1990;1990;1990;3;3;16;0;0;5;0;M530037;1944;1960;x
布尔迪 ;530008;ALG;1940;1943;1990;1990;2;4;128;0;0;5;0;M530035;1940;1960;x
沙托-朱伯特 ;530009;ALG;1942;1990;1990;1990;3;5;260;0;0;5;0;L530009;1942;1960;x
科隆纳 d'伊斯特里亚 ;530010;ALG;1942;1990;1990;1990;3;3;32;1;0;5;0;L530010;1942;1960;x
德 舍维涅 ;530011;ALG;1940;1943;1990;1990;2;4;256;1;0;5;0;M530008;1940;1960;x
德 瓦夫林-帕西 ;530012;ALG;1943;1990;1990;1990;3;3;256;0;0;5;0;L530012;1943;1960;x
杜谢 德 布里古 ;530013;ALG;1930;1990;1990;1990;3;4;1;0;0;5;0;L530013;1930;1942;x
埃斯帕纳 ;530014;ALG;1939;1990;1990;1990;3;3;64;0;0;5;0;L530014;1939;1960;x
厄尔托 ;530015;ALG;1930;1942;1990;1990;2;3;64;1;0;5;0;M530007;1930;1960;x
雅布莱 ;530016;ALG;1939;1990;1990;1990;3;3;4;0;0;5;0;L530016;1939;1960;x
尤利特 ;530017;ALG;1938;1944;1990;1990;2;3;2;0;0;5;0;M530032;1939;1960;x
拉克梅切 ;530018;ALG;1944;1990;1990;1990;3;2;0;0;0;5;0;L530018;1944;1960;x
马莱克-纳特拉肯 ;530019;ALG;1941;1990;1990;1990;3;4;256;0;0;5;0;L530019;1941;1960;x
奥多 ;530020;ALG;1939;1942;1990;1990;2;3;128;1;0;5;0;M530038;1939;1960;x
皮埃什-萨姆森 ;530021;ALG;1942;1990;1990;1990;3;5;257;0;0;5;0;L530021;1942;1960;x
翁格曼 ;530022;ALG;1941;1990;1990;1990;3;5;5;0;0;5;0;L530022;1941;1960;x
瓦格纳 ;530023;ALG;1940;1945;1990;1990;2;6;384;1;0;5;0;L530023;1940;1947;x
维罗波夫 ;530024;ALG;1938;1990;1990;1990;3;4;1;0;0;5;0;L530024;1938;1960;x
达西 ;530025;ALG;1945;1990;1990;1990;3;2;0;0;0;5;1;M530042;1945;1960;x
德 舍维涅 ;530026;ALG;1940;1990;1990;1990;3;2;0;0;0;5;1;M530008;1940;1960;x
德斯 莫蒂斯 ;530027;ALG;1938;1990;1990;1990;3;3;0;0;0;5;1;L530027;1938;1960;x
拉克梅切 ;530028;ALG;1944;1946;1990;1990;2;2;2048;1;0;5;1;L530018;1944;1960;x
马内斯 ;530029;ALG;1930;1941;1990;1990;2;3;1024;1;0;5;1;M530009;1930;1960;x
莫雷尔 ;530030;ALG;1941;1990;1990;1990;3;3;4096;0;0;5;1;L530030;1941;1960;x
巴亚 ;530031;ALG;1944;1990;1990;1990;3;2;0;0;0;5;2;M530045;1945;1960;x
厄尔托 ;530032;ALG;1930;1942;1990;1990;2;4;16384;1;0;5;2;M530007;1930;1960;x
莫雷尔 ;530033;ALG;1941;1990;1990;1990;3;3;0;0;0;5;2;L530030;1941;1960;x
穆绍特 ;530034;ALG;1937;1990;1990;1990;3;3;65536;0;0;5;2;L530034;1937;1943;x
佐默 ;530035;ALG;1930;1941;1990;1990;2;4;4096;1;0;5;2;M530010;1930;1960;x
本托巴;530036;ALG;1947;1990;1990;1990;3;6;272;2;0;5;0;L_ALG_Lakhdar_Bentobal;1947;1990;x
