Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿萨多里安 ;515000;ARM;1930;1990;1990;1990;3;3;32;0;0;5;0;L515000;1930;1960;x
巴巴贾尼安 ;515001;ARM;1930;1930;1941;1990;2;4;128;1;0;5;0;M515024;1930;1960;x
巴格兰杨 ;515002;ARM;1930;1930;1941;1990;2;4;0;1;0;5;0;L515002;1930;1960;x
法伊尔阿本德 ;515003;ARM;1930;1941;1990;1990;2;3;64;1;0;5;0;L515003;1930;1960;x
霍夫曼 ;515004;ARM;1930;1990;1990;1990;3;3;0;0;0;5;0;M515007;1930;1960;x
卡雷德延 ;515005;ARM;1930;1990;1990;1990;3;4;1;0;0;5;0;L515005;1930;1960;x
卡尼安 ;515006;ARM;1930;1930;1930;1990;1;2;1;0;0;5;0;L515006;1930;1960;x
卡尔达希安 ;515007;ARM;1930;1990;1990;1990;3;2;0;0;0;5;0;L515007;1930;1960;x
哈恰特良 ;515008;ARM;1930;1990;1990;1990;3;2;0;0;0;5;0;L515008;1930;1960;x
恩兹德克 ;515009;ARM;1930;1930;1990;1990;2;2;0;0;0;5;0;M515017;1930;1960;x
奥萨尼安 ;515010;ARM;1930;1930;1930;1930;0;2;513;1;0;5;0;M515008;1930;1960;x
奥塞比安 ;515011;ARM;1930;1939;1990;1990;2;2;0;1;0;5;0;M515021;1930;1960;x
拉兹米克 ;515012;ARM;1930;1990;1990;1990;3;3;4;0;0;5;0;L515012;1930;1960;x
鲁本 ;515013;ARM;1930;1990;1990;1990;3;2;256;0;0;5;0;L515013;1930;1960;x
萨法良 ;515014;ARM;1930;1990;1990;1990;3;3;4;0;0;5;0;L515014;1930;1960;x
塞维亚希安 ;515015;ARM;1930;1990;1990;1990;3;2;16;0;0;5;0;L515015;1930;1960;x
冯 加布伦茨 ;515016;ARM;1930;1990;1990;1990;3;2;256;0;0;5;0;L515016;1930;1960;x
冯 格马尔 ;515017;ARM;1930;1990;1990;1990;3;3;0;0;0;5;0;L515017;1930;1960;x
冯 赫尔奥夫 ;515018;ARM;1930;1990;1990;1990;3;4;514;1;0;5;0;L515018;1930;1960;x
耶萨扬 ;515019;ARM;1930;1990;1990;1990;3;2;0;0;0;5;0;L515019;1930;1960;x
贝切 ;515020;ARM;1930;1990;1990;1990;3;4;1536;1;0;5;1;M515009;1930;1960;x
加多 ;515021;ARM;1930;1990;1990;1990;3;3;0;0;0;5;1;L515021;1930;1960;x
伊萨基安 ;515022;ARM;1930;1930;1942;1990;2;4;0;1;0;5;1;M515026;1930;1960;x
鲁本 ;515023;ARM;1930;1990;1990;1990;3;2;0;0;0;5;1;L515013;1930;1960;x
维特赫夫特-埃姆登 ;515024;ARM;1930;1930;1990;1990;2;3;0;0;0;5;1;L515024;1930;1960;x
阿贾扎里安 ;515025;ARM;1930;1990;1990;1990;3;2;4096;0;0;5;2;M515006;1930;1960;x
戈特哈德 ;515026;ARM;1930;1990;1990;1990;3;3;0;0;0;5;2;L515026;1930;1960;x
哈塞 ;515027;ARM;1930;1990;1990;1990;3;3;16384;0;0;5;2;L515027;1930;1960;x
赫费特 ;515028;ARM;1930;1990;1990;1990;3;3;65536;0;0;5;2;L515028;1930;1960;x
克莱因 ;515029;ARM;1930;1938;1990;1990;2;3;0;1;0;5;2;M515010;1930;1960;x
冯 加布伦茨 ;515030;ARM;1930;1990;1990;1990;3;3;0;0;0;5;2;L515016;1930;1960;x
