Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
安桑坎 ;541000;CMB;1930;1990;1990;1990;3;2;1;0;0;5;0;L541000;1930;1960;x
春林 ;541001;CMB;1930;1945;1990;1990;2;2;64;1;0;5;0;M541045;1930;1960;x
克洛德 ;541002;CMB;1942;1990;1990;1990;3;3;256;0;0;5;0;L541002;1942;1960;x
科科因 ;541003;CMB;1937;1990;1990;1990;3;3;128;0;0;5;0;L541003;1937;1943;x
德 鲁萨克 萨尔西恩 ;541004;CMB;1930;1930;1990;1990;2;4;514;1;0;5;0;M541008;1930;1941;x
福涅尔 德 拉 巴雷 ;541005;CMB;1940;1990;1990;1990;3;4;129;1;0;5;0;L541005;1940;1960;x
戈捷 ;541006;CMB;1930;1930;1943;1990;2;3;258;1;0;5;0;M541007;1930;1960;x
金旺 ;541007;CMB;1930;1945;1990;1990;2;3;1;1;0;5;0;M541047;1930;1960;x
克里桑 车达 ;541008;CMB;1938;1990;1990;1990;3;2;0;0;0;5;0;M541026;1938;1960;x
拉丰 ;541009;CMB;1940;1990;1990;1990;3;4;128;0;0;5;0;M541048;1940;1960;x
朗诺 ;541010;CMB;1941;1946;1990;1990;2;3;4;1;0;5;0;M541035;1941;1960;x
努瓦罗 ;541011;CMB;1940;1990;1990;1990;3;4;272;1;0;5;0;L541011;1940;1960;x
奥利弗 ;541012;CMB;1939;1990;1990;1990;3;3;96;1;0;5;0;L541012;1939;1945;x
康坦 ;541013;CMB;1941;1990;1990;1990;3;3;256;0;0;5;0;L541013;1941;1960;x
萨基瓦特 披伦 ;541014;CMB;1939;1990;1990;1990;3;2;0;0;0;5;0;M541037;1939;1960;x
西哈努克 诺罗敦 ;541015;CMB;1941;1941;1941;1990;1;2;0;0;0;5;0;M541044;1941;1960;x
西索瓦 莫尼勒 ;541016;CMB;1930;1940;1990;1990;2;2;1;1;0;5;0;M541046;1930;1960;x 
西索瓦 莫尼旺 ;541017;CMB;1930;1930;1930;1990;1;2;0;0;0;5;0;L541017;1930;1941;x
西索瓦 瓦加雅冯 ;541018;CMB;1930;1943;1990;1990;2;2;0;1;0;5;0;M541049;1930;1960;x
宋成 ;541019;CMB;1930;1940;1990;1990;2;5;16;1;0;5;0;M541051;1930;1960;x
特拉纳普 ;541020;CMB;1940;1990;1990;1990;3;4;256;0;0;5;0;L541020;1940;1960;x
克洛德 ;541021;CMB;1942;1990;1990;1990;3;2;8192;1;0;5;1;L541002;1942;1960;x
西翁 ;541022;CMB;1939;1990;1990;1990;3;2;8192;0;0;5;1;M541041;1939;1960;x
诺罗敦 西哈努克 ;541023;CMB;1941;1941;1990;1990;2;2;0;0;0;5;1;M541054;1941;1960;x
帕图 ;541024;CMB;1939;1943;1990;1990;2;4;4096;1;0;5;1;M541053;1939;1960;x
蒂博多 ;541025;CMB;1930;1930;1990;1990;2;3;1024;1;0;5;1;M541002;1930;1943;x
特罗利 德 普雷沃 ;541026;CMB;1930;1943;1990;1990;2;3;4096;1;0;5;1;M541052;1930;1960;x
克洛德 ;541027;CMB;1942;1990;1990;1990;3;2;8192;0;0;5;2;L541002;1942;1960;x
戈捷 ;541028;CMB;1930;1930;1943;1990;2;3;0;1;0;5;2;M541007;1930;1960;x
雅克 ;541029;CMB;1942;1990;1990;1990;3;3;4096;0;0;5;2;L541029;1942;1960;x
诺罗敦 西哈努克 ;541030;CMB;1942;1942;1990;1990;2;2;32768;0;0;5;2;M541058;1942;1960;x
苏夫莱 ;541031;CMB;1939;1990;1990;1990;3;3;131072;1;0;5;2;M541057;1939;1960;x
特里戈 ;541032;CMB;1940;1990;1990;1990;3;3;16384;0;0;5;2;M541056;1940;1960;x
瓦朗坦 ;541033;CMB;1942;1990;1990;1990;3;3;4096;0;0;5;2;L541033;1942;1960;x
