Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
亚历山大 ;52000;CAN;1930;1937;1990;1990;2;5;513;2;0;5;0;L52000;1930;1942;x
阿拉德 ;52001;CAN;1948;1958;1966;1990;3;7;4;2;0;5;0;L52001;1948;1990;x
安德森  J.F.V. ;52002;CAN;1940;1990;1990;1990;3;4;32;1;0;5;0;L52002;1940;1946;x
安德森  T.V. ;52003;CAN;1930;1938;1990;1990;2;6;35;2;0;5;0;L52003;1930;1943;x
阿什顿 ;52004;CAN;1930;1930;1990;1990;2;5;1;1;0;5;0;L52004;1930;1941;x
贝尔纳奇兹 ;52005;CAN;1944;1990;1990;1990;3;5;4;1;0;5;0;L52005;1944;1990;x
贝文 ;52006;CAN;1945;1990;1990;1990;3;4;0;1;0;5;0;L52006;1945;1990;x
宾厄姆 ;52007;CAN;1944;1990;1990;1990;3;6;128;1;0;4;0;L52007;1944;1990;x
布泰 ;52008;CAN;1938;1943;1990;1990;2;4;4;2;0;5;0;L52008;1938;1945;x
比尔 ;52009;CAN;1930;1990;1990;1990;3;4;128;1;0;5;0;L52009;1930;1942;x
布恩斯 ;52010;CAN;1943;1944;1990;1990;2;6;128;2;0;5;0;L52010;1943;1990;x
卡贝杜 ;52011;CAN;1941;1945;1990;1990;3;6;4;2;0;5;0;L52011;1941;1990;x
恰尔肯 ;52012;CAN;1939;1990;1990;1990;3;4;1;1;0;5;0;L52012;1939;1942;x
克里勒 ;52013;CAN;1930;1942;1944;1990;1;7;5;3;0;5;0;L52013;1930;1946;x
居里 ;52014;CAN;1930;1940;1990;1990;2;5;64;2;0;5;0;L52014;1930;1943;x
埃特尔 ;52015;CAN;1944;1990;1990;1990;3;4;0;1;0;5;0;L52015;1944;1990;x
法恩代尔 ;52016;CAN;1930;1942;1990;1990;2;5;0;2;0;5;0;L52016;1930;1990;x
福布斯 ;52017;CAN;1941;1990;1990;1990;3;5;4;1;0;5;0;L52017;1941;1947;x
福斯特 ;52018;CAN;1940;1990;1990;1990;2;7;130;3;0;5;0;L52018;1940;1990;x
福克斯 ;52019;CAN;1943;1944;1945;1990;2;7;256;3;0;5;0;L52019;1943;1990;x
甘蒙 ;52020;CAN;1938;1990;1990;1990;3;4;0;1;0;5;0;L52020;1938;1940;x
加德纳 ;52021;CAN;1944;1990;1990;1990;3;4;128;1;0;5;0;L52021;1944;1990;x
贾内利 ;52022;CAN;1941;1990;1990;1990;3;7;128;1;0;5;0;L52022;1941;1990;x
戈登 ;52023;CAN;1940;1990;1990;1990;3;5;256;1;0;5;0;L52023;1940;1944;x
哈维 ;52024;CAN;1930;1930;1990;1990;2;4;544;1;0;5;0;L52024;1930;1940;x
赫茨伯格 ;52025;CAN;1940;1990;1990;1990;3;4;32;1;0;5;0;L52025;1940;1944;x
霍夫迈斯特 ;52026;CAN;1944;1990;1990;1990;3;5;0;2;0;5;0;L52026;1944;1990;x
休斯 ;52027;CAN;1930;1990;1990;1990;3;5;2;1;0;5;0;L52027;1930;1942;x
海德 ;52028;CAN;1942;1990;1990;1990;3;5;128;1;0;5;0;L52028;1942;1990;x
杰斐逊 ;52029;CAN;1943;1946;1990;1990;3;6;4;2;0;5;0;L52029;1943;1990;x
基夫勒 ;52030;CAN;1944;1990;1990;1990;3;4;256;1;0;5;0;L52030;1944;1990;x
凯勒 ;52031;CAN;1942;1990;1990;1990;2;5;0;1;0;5;0;L52031;1942;1946;x
基钦 ;52032;CAN;1944;1990;1990;1990;3;6;128;2;0;5;0;L52032;1944;1990;x
拉弗蒂 ;52033;CAN;1930;1930;1990;1990;2;6;520;1;0;5;0;L52033;1930;1939;x
劳森 ;52034;CAN;1930;1990;1990;1990;3;4;0;1;0;5;0;L52034;1930;1941;x
勒克莱尔 ;52035;CAN;1942;1990;1990;1990;3;6;2;2;0;5;0;L52035;1942;1990;x
莱格尔 ;52036;CAN;1939;1990;1990;1990;3;4;2;1;0;5;0;L52036;1939;1946;x
麦凯 ;52037;CAN;1930;1990;1990;1990;3;4;0;1;0;5;0;L52037;1930;1940;x
麦克莱恩 ;52038;CAN;1943;1990;1990;1990;3;4;32;1;0;5;0;L52038;1943;1947;x
马修斯 ;52039;CAN;1944;1990;1990;1990;3;4;0;1;0;5;0;L52039;1944;1990;x
麦卡维蒂 ;52040;CAN;1939;1943;1990;1990;2;5;128;2;0;5;0;L52040;1939;1990;x
麦高恩 ;52041;CAN;1938;1990;1990;1990;3;5;0;1;0;5;0;L52041;1938;1944;x
麦凯尔维 ;52042;CAN;1938;1945;1990;1990;2;4;2;2;0;5;0;L52042;1938;1946;x
麦肯齐 ;52043;CAN;1937;1943;1990;1990;2;5;32;2;0;5;0;L52043;1937;1990;x
麦克诺顿 ;52044;CAN;1930;1930;1942;1990;1;7;32;2;0;5;0;L52044;1930;1944;x
梅尔维尔 ;52045;CAN;1943;1990;1990;1990;3;5;32;1;0;5;0;L52045;1943;1990;x
莫顿 ;52046;CAN;1944;1990;1990;1990;3;6;5;2;0;5;0;L52046;1944;1990;x
芒罗 ;52047;CAN;1930;1930;1990;1990;2;6;516;1;0;5;0;L52047;1930;1943;x
默基 ;52048;CAN;1942;1945;1990;1990;1;5;0;2;0;5;0;L52048;1942;1946;x
尼特比 ;52049;CAN;1940;1990;1990;1990;3;6;260;2;0;5;0;L52049;1940;1990;x
