Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
卡德纳斯 罗亚 ;180000;COL;1941;1990;1990;1990;3;5;256;0;0;5;0;L180000;1941;1960;x
卡斯塔涅达 桑切斯 ;180001;COL;1930;1930;1939;1990;1;3;1;1;0;3;0;L180001;1930;1945;x
福利奥 洛扎诺 ;180002;COL;1938;1990;1990;1990;3;4;32;0;0;4;0;L180002;1938;1960;x
盖坦 瓦尔加斯 ;180003;COL;1942;1944;1946;1990;2;4;0;2;0;5;0;L180003;1942;1960;x
加尔韦斯 塞拉诺 ;180004;COL;1930;1939;1990;1990;2;3;64;1;0;2;0;L180004;1930;1946;x
格尔曼 奥坎波 ;180005;COL;1943;1990;1990;1990;3;3;4;0;0;3;0;L180005;1943;1960;x
隆多尼奥 隆多尼奥 ;180006;COL;1930;1941;1990;1990;2;3;128;1;0;2;0;L180006;1930;1946;x
马丁内斯 佩雷斯 ;180007;COL;1944;1990;1990;1990;3;4;128;0;0;5;0;L180007;1944;1960;x
门迭塔 利昂 ;180008;COL;1939;1945;1990;1990;3;4;0;1;0;4;0;L180008;1939;1960;x
梅尔卡多 ;180009;COL;1930;1930;1990;1990;2;3;1;0;0;4;0;L180009;1930;1945;x
梅尔卡多 桑切斯 ;180010;COL;1930;1939;1943;1990;2;3;128;2;0;5;0;L180010;1930;1960;x
莫蒂斯 阿尔凯 ;180011;COL;1938;1942;1990;1990;2;3;4;1;0;4;0;L180011;1938;1946;x
帕迪利亚 曼里克 ;180012;COL;1940;1990;1990;1990;3;3;4;0;0;3;0;L180012;1940;1960;x
彼德拉伊塔 阿朗戈 ;180013;COL;1930;1939;1990;1990;2;3;1;1;0;3;0;L180013;1930;1946;x
彼德拉伊塔 埃斯科巴尔 ;180014;COL;1930;1990;1990;1990;3;5;0;0;0;4;0;L180014;1930;1941;x
波里尔 埃斯科巴尔 ;180015;COL;1930;1930;1930;1930;0;5;514;1;0;5;0;L180015;1930;1940;x
基诺内斯 ;180016;COL;1930;1938;1943;1990;1;5;64;2;0;4;0;L180016;1930;1960;x
拉莫斯 瓦斯克斯 ;180017;COL;1945;1990;1990;1990;3;3;0;0;0;4;0;L180017;1945;1960;x
罗雅斯 皮尼拉 ;180018;COL;1930;1939;1942;1946;1;5;1;4;0;4;0;L180018;1930;1960;x
罗梅罗 阿尔贝罗 ;180019;COL;1943;1945;1990;1990;2;3;0;1;0;4;0;L180019;1943;1960;x
鲁伊斯 马雷斯 ;180020;COL;1930;1939;1990;1990;2;3;2;1;0;3;0;L180020;1930;1947;x
桑切斯 瓦尔加斯 ;180021;COL;1944;1990;1990;1990;3;3;1;0;0;5;0;L180021;1944;1960;x
塔马约 ;180022;COL;1943;1990;1990;1990;3;4;256;0;0;3;0;L180022;1943;1960;x
比利亚米尔 塞斯佩德 ;180023;COL;1938;1943;1990;1990;3;5;256;1;0;2;0;L180023;1938;1960;x
阿塞韦多 ;180024;COL;1930;1930;1930;1990;1;3;8704;1;0;5;1;L180024;1930;1960;x
巴兰萨 莫拉莱斯 ;180025;COL;1942;1990;1990;1990;3;3;1024;0;0;5;1;L180025;1942;1960;x
贝尼特斯 莫雷诺 ;180026;COL;1945;1990;1990;1990;3;3;8192;0;0;4;1;L180026;1945;1960;x
埃斯皮诺萨 加西图瓦 ;180027;COL;1930;1941;1990;1990;3;4;0;1;0;4;1;L180027;1930;1945;x
曼蒂利亚 杜瓦蒂 ;180028;COL;1938;1943;1990;1990;2;3;0;1;0;3;1;L180028;1938;1960;x
蒙萨多 乌里贝 ;180029;COL;1945;1990;1990;1990;3;5;2048;0;0;4;1;L180029;1945;1960;x
波尔图 安祖尔拉 ;180030;COL;1940;1990;1990;1990;3;3;0;0;0;4;1;L180030;1940;1946;x
罗雅斯 梅尔卡多 ;180031;COL;1939;1942;1990;1990;2;3;0;1;0;4;1;L180031;1939;1946;x
索托 戈梅 ;180032;COL;1941;1990;1990;1990;3;3;0;0;0;4;1;L180032;1941;1960;x
特雷维索 门德斯 ;180033;COL;1944;1946;1990;1990;2;3;0;1;0;4;1;L180033;1944;1960;x
达萨 阿尔瓦雷兹 ;180034;COL;1930;1930;1939;1990;1;5;0;2;0;5;2;L180034;1930;1946;x
芬特斯 塞巴斯蒂安 ;180035;COL;1941;1990;1990;1990;3;3;65536;0;0;5;2;L180035;1941;1960;x
莱马 帕萨达 ;180036;COL;1942;1990;1990;1990;3;4;0;0;0;3;2;L180036;1942;1960;x
孟戴斯 ;180037;COL;1930;1941;1990;1990;2;3;4608;1;0;4;2;L180037;1930;1945;x
梅尔卡多 迪亚兹 ;180038;COL;1930;1937;1990;1990;2;3;0;1;0;3;2;L180038;1930;1942;x
纳胡埃尔 迪亚兹 ;180039;COL;1944;1946;1990;1990;3;4;0;1;0;3;2;L180039;1944;1960;x
奥拉诺 ;180040;COL;1930;1990;1990;1990;3;4;0;0;0;4;2;L180040;1930;1939;x
罗德里格斯 ;180041;COL;1938;1990;1990;1990;3;3;131072;0;0;3;2;L180041;1938;1943;x
罗德里格斯 加尔韦斯 ;180042;COL;1939;1942;1990;1990;2;3;0;1;0;3;2;L180042;1939;1960;x
罗梅罗 阿尔贝罗 ;180043;COL;1942;1945;1990;1990;2;4;0;1;0;4;2;L180043;1942;1960;x
圣玛丽亚 ;180044;COL;1930;1990;1990;1990;3;4;4096;0;0;4;2;L180044;1930;1941;x
席尔瓦 阿米昂特 ;180045;COL;1945;1990;1990;1990;3;3;16384;0;0;4;2;L180045;1945;1960;x
帕里斯 戈迪略 ;180046;COL;1947;1948;1950;1990;1;5;0;2;0;5;0;M37169;1947;1960;x
