Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
巴雷拉斯 鲁伊斯 ;190000;DOM;1943;1990;1990;1990;3;3;0;0;0;5;0;L190000;1943;1960;x
卡利斯特 ;190001;DOM;1939;1990;1990;1990;3;3;16;0;0;3;0;L190001;1939;1946;x
达 科斯塔-鲁伊斯 ;190002;DOM;1930;1940;1990;1990;2;4;513;1;0;4;0;L190002;1930;1943;x
德 洛斯 桑托斯 奥尔蒂斯 ;190003;DOM;1945;1990;1990;1990;3;3;128;0;0;3;0;L190003;1945;1960;x
埃利泽 卡马尼奥 ;190004;DOM;1938;1942;1990;1990;2;4;2;1;0;4;0;L190004;1938;1960;x
弗里亚斯 戈麦斯 ;190005;DOM;1945;1990;1990;1990;3;3;0;0;0;4;0;L190005;1945;1960;x
莱瓦 波乌 ;190006;DOM;1941;1990;1990;1990;3;3;256;0;0;2;0;L190006;1941;1960;x
培尼亚 巴特尔 ;190007;DOM;1930;1930;1990;1990;2;3;0;1;0;5;0;L190007;1930;1942;x
罗德里格斯 加西亚 ;190008;DOM;1939;1990;1990;1990;3;3;0;0;0;2;0;L190008;1939;1960;x
罗曼 费尔南德斯 ;190009;DOM;1930;1939;1943;1990;2;4;0;2;0;5;0;L190009;1930;1960;x
特鲁西略 莫利纳斯  H. ;190010;DOM;1938;1942;1990;1990;2;3;0;1;0;3;0;L190010;1938;1960;x
特鲁西略 莫利纳斯  R. ;190011;DOM;1930;1930;1930;1930;0;2;0;1;0;3;0;L190011;1930;1960;x
比尼亚斯 罗曼 ;190012;DOM;1942;1945;1990;1990;3;4;4;1;0;3;0;L190012;1942;1960;x
马丁内斯 ;190013;DOM;1943;1990;1990;1990;3;3;0;0;0;3;1;L190013;1943;1960;x
雅维耶 里韦拉 ;190014;DOM;1938;1941;1990;1990;2;3;0;1;0;4;1;L190014;1938;1946;x
罗雅斯 ;190015;DOM;1930;1990;1990;1990;3;3;0;0;0;4;1;L190015;1930;1944;x
特鲁西略 莫利纳斯 ;190016;DOM;1930;1930;1930;1990;1;2;0;0;0;5;1;L190016;1930;1960;x
尤纳 罗布尔斯 ;190017;DOM;1930;1990;1990;1990;3;3;0;0;0;4;1;L190017;1930;1943;x
于莫 伊达尔戈 ;190018;DOM;1944;1990;1990;1990;3;3;0;0;0;4;2;L190018;1944;1960;x
英伯特 麦格雷戈 ;190019;DOM;1943;1990;1990;1990;3;3;0;0;0;3;2;L190019;1943;1960;x
费利斯 米兰达 ;190020;DOM;1930;1941;1990;1990;3;4;131072;1;0;4;2;L190020;1930;1946;x
奥尔特加 弗里耶 ;190021;DOM;1945;1990;1990;1990;3;2;0;0;0;5;2;L190021;1945;1960;x
巴列霍 索萨 ;190022;DOM;1938;1942;1990;1990;2;3;65536;1;0;4;2;L190022;1938;1960;x
