Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿布特 ;506000;DFR;1938;1990;1990;1990;3;4;0;0;0;5;0;L506000;1938;1960;x
阿德洛克 ;506001;DFR;1938;1990;1990;1990;3;4;256;0;0;5;0;L506001;1938;1960;x
阿尔特里赫特 ;506002;DFR;1937;1943;1990;1990;2;7;256;1;0;5;0;L506002;1937;1960;x
安德斯 ;506003;DFR;1941;1990;1990;1990;3;3;1;0;0;5;0;L506003;1941;1960;x
安德森 ;506004;DFR;1941;1945;1945;1990;1;6;32;2;0;5;0;L3;1941;1960;x
阿宁 ;506005;DFR;1940;1990;1990;1990;3;7;2;0;0;5;0;L506005;1940;1960;x
奥多什 ;506006;DFR;1940;1990;1990;1990;3;3;32;0;0;5;0;L506006;1940;1960;x
巴赫林 ;506007;DFR;1940;1990;1990;1990;3;4;0;0;0;5;0;L506007;1940;1960;x
巴克 ;506008;DFR;1940;1990;1990;1990;3;5;0;0;0;5;0;L506008;1940;1960;x
巴德 ;506009;DFR;1939;1990;1990;1990;3;3;128;0;0;5;0;L506009;1939;1960;x
巴德尔 ;506010;DFR;1941;1990;1990;1990;3;4;128;0;0;5;0;L506010;1941;1960;x
巴丁斯基 ;506011;DFR;1938;1943;1990;1990;2;4;0;1;0;5;0;L506011;1938;1960;x
巴恩 ;506012;DFR;1939;1990;1990;1990;3;7;0;0;0;5;0;L506012;1939;1960;x
巴尔特 ;506013;DFR;1940;1990;1990;1990;3;4;0;0;0;5;0;L506013;1940;1960;x
巴青 ;506014;DFR;1938;1990;1990;1990;3;4;32;0;0;5;0;L506014;1938;1960;x
贝彻 ;506015;DFR;1939;1990;1990;1990;3;3;0;0;0;5;0;L506015;1939;1960;x
贝希勒 ;506016;DFR;1941;1990;1990;1990;3;3;0;0;0;5;0;L506016;1941;1960;x
贝希特 ;506017;DFR;1938;1990;1990;1990;3;3;0;0;0;5;0;L506017;1938;1960;x
贝克 ;506018;DFR;1938;1990;1990;1990;3;5;8;0;0;5;0;L506018;1938;1960;x
贝克尔  F. ;506019;DFR;1938;1990;1990;1990;3;7;0;1;0;5;0;L506019;1938;1960;x
贝克尔  F.E. ;506020;DFR;1938;1943;1990;1990;2;3;0;0;0;5;0;L506020;1938;1960;x
比利茨 ;506021;DFR;1941;1990;1990;1990;3;7;2;0;0;5;0;L506021;1941;1960;x
贝尼克 ;506022;DFR;1939;1944;1990;1990;2;3;0;1;0;5;0;L506022;1939;1960;x
本泰克 ;506023;DFR;1940;1990;1990;1990;3;3;32;0;0;5;0;L506023;1940;1960;x
贝格 ;506024;DFR;1940;1990;1990;1990;3;3;32;0;0;5;0;L506024;1940;1960;x
贝塞尔 ;506025;DFR;1939;1990;1990;1990;3;5;0;0;0;5;0;L506025;1939;1960;x
比克尔 ;506026;DFR;1939;1990;1990;1990;3;3;0;0;0;5;0;L506026;1939;1960;x
比贝尔 ;506027;DFR;1941;1990;1990;1990;3;3;32;0;0;5;0;L506027;1941;1960;x
比林格 ;506028;DFR;1939;1990;1990;1990;3;5;0;0;0;5;0;L506028;1939;1960;x
比斯勒 ;506029;DFR;1939;1990;1990;1990;3;3;64;0;0;5;0;L506029;1939;1960;x
布莱克温 ;506030;DFR;1941;1990;1990;1990;3;6;256;0;0;5;0;L506030;1941;1960;x
布莱尔 ;506031;DFR;1939;1944;1990;1990;2;6;0;1;0;5;0;L506031;1939;1960;x
布洛克 ;506032;DFR;1941;1990;1990;1990;3;7;4;0;0;5;0;L506032;1941;1960;x
博克 冯 维尔芬根 ;506033;DFR;1939;1990;1990;1990;3;3;0;0;0;5;0;L506033;1939;1960;x
伯尔曼-孔布林克 ;506034;DFR;1939;1990;1990;1990;3;4;0;0;0;5;0;L506034;1939;1960;x
博恩施泰特 ;506035;DFR;1936;1942;1990;1990;2;5;128;1;0;5;0;L506035;1936;1960;x
博伊厄 ;506036;DFR;1938;1990;1990;1990;3;3;0;0;0;5;0;L506036;1938;1960;x
博尔歇斯 ;506037;DFR;1938;1990;1990;1990;3;3;0;0;0;5;0;L506037;1938;1960;x
博恩朔伊尔 ;506038;DFR;1940;1990;1990;1990;3;4;256;0;0;5;0;L506038;1940;1960;x
布尔坎 ;506039;DFR;1940;1945;1990;1990;2;6;256;1;0;5;0;L506039;1940;1960;x
