Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
ÑÇ²®À­º± ;1;GER;1943;1944;1990;1990;3;5;0;2;0;5;0;L1;1943;1960;x
°¢¶ûÃÅ¶¡¸ñ ;2;GER;1940;1943;1990;1990;3;6;0;2;0;5;0;L2;1940;1945;x
°²µÂÉ­ ;3;GER;1945;1990;1990;1990;3;5;32;1;0;5;0;L3;1945;1960;x
°²¶« ;4;GER;1942;1944;1990;1990;3;6;2;2;0;5;0;L4;1942;1960;x
°¢¶÷ÌØ ;5;GER;1942;1943;1990;1990;2;6;4;2;0;5;0;L5;1942;1960;x
°ÂÀ³²¼ ;6;GER;1939;1943;1990;1990;2;8;0;2;0;5;0;L6;1939;1960;x
°ÍµÂ ;7;GER;1943;1944;1990;1990;3;6;3;2;0;5;0;L7;1943;1945;x
°ÍµÂ¶û ;8;GER;1930;1939;1990;1990;2;7;577;2;0;5;0;L8;1930;1944;x
°Í¶û¿Ë ;9;GER;1942;1943;1990;1990;3;9;128;3;0;5;0;L9;1942;1960;x
°ÍÀ­ ;10;GER;1942;1990;1990;1990;3;5;4;1;0;5;0;L10;1942;1944;x
°ÍÂ×Ì©Òò ;11;GER;1943;1990;1990;1990;3;6;256;1;0;5;0;L11;1943;1960;x
°Ý¶ûÀ³Òò ;12;GER;1943;1944;1990;1990;2;8;128;2;0;5;0;L12;1943;1960;x
±´Â×¶à·ò ;13;GER;1938;1940;1941;1990;2;6;32;3;0;5;0;L13;1938;1960;x
±´Â×µÂ ;14;GER;1940;1990;1990;1990;3;5;0;1;0;5;0;L14;1940;1960;x
²®¸ù ;15;GER;1941;1943;1990;1990;2;5;2;2;0;5;0;L15;1941;1960;x
±´¸ñÂü ;16;GER;1930;1938;1990;1990;2;6;4;2;0;5;0;L16;1930;1941;x
±´¶ûÁÖ ;17;GER;1940;1943;1990;1990;3;5;0;2;0;5;0;L17;1940;1960;x
±´´Ä ;18;GER;1942;1990;1990;1990;3;6;32;1;0;5;0;L18;1942;1944;x
±ÈÀÕ¶û ;19;GER;1938;1941;1990;1990;2;5;0;2;0;5;0;L19;1938;1945;x
²¼À­Ê²¿ÆÎ¬Ææ ;20;GER;1930;1930;1939;1990;1;9;4;3;0;5;0;L20;1930;1960;x
