Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
5 ¡Œ¿⁄(41) ;502000;CGX;1930;1930;1990;1990;2;5;259;2;0;4;0;L50193;1930;1941;x
3 ≥¬º√Ãƒ(90) ;502001;CGX;1930;1930;1930;1935;0;3;513;2;0;1;0;L50031;1930;1990;x
4 ª∆…‹∏f(99) ;502002;CGX;1936;1936;1939;1990;1;4;1;2;0;4;0;L50132;1936;1999;x
3 ¿Óº√…Ó(99) ;502003;CGX;1930;1930;1930;1990;1;3;8;2;0;5;0;L502003;1930;1999;x
°Ó7 ¿Ó◊⁄» (99) ;502004;CGX;1930;1930;1930;1939;0;7;3;4;0;4;0;L50186;1936;1999;x
5 œƒÕ˛(99) ;502005;CGX;1936;1942;1990;1990;2;5;256;2;0;4;0;L50101;1936;1999;x
 °Ô8 ∞◊≥ÁÏ˚(99) ;502006;CGX;1930;1930;1935;1945;0;8;3;5;0;3;0;L50000;1936;1999;x
4 ¿Ó∆∑œ…(99) ;502007;CGX;1930;1936;1941;1990;3;4;2;2;0;4;0;L50182;1930;1999;x
4 ¡ı ø“„(99) ;502008;CGX;1930;1990;1990;1990;3;4;32;1;0;4;0;L50215;1930;1999;x
3 À’◊Ê‹∞(99) ;502009;CGX;1936;1990;1990;1990;3;3;272;1;0;4;0;L50262;1936;1999;x
4 ”‡∫∫ƒ±(99) ;502010;CGX;1930;1939;1990;1990;2;4;0;2;0;4;0;L502010;1930;1999;x
3 œƒπ˙Ë∞(99) ;502011;CGX;1937;1990;1990;1990;3;3;64;0;0;4;0;L50100;1937;1999;x
5 «¯ ŸƒÍ(99) ;502013;CGX;1936;1939;1990;1990;3;5;2;2;0;3;0;L50245;1936;1999;x
3 ÷”“„(41) ;502014;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50072;1930;1941;x
4 ∫ÿŒ¨’‰(99) ;502015;CGX;1936;1944;1990;1990;3;4;0;1;0;4;0;L50094;1936;1999;x
3 «ÿ¡ÿ(99) ;502016;CGX;1930;1990;1990;1990;3;3;0;1;0;4;0;L50292;1930;1999;x
4 „€Œ¨”∫(99) ;502017;CGX;1937;1942;1990;1990;3;4;0;1;0;4;0;L50143;1937;1999;x
2 ª∆–Ò≥ı(99) ;502019;CGX;1930;1990;1990;1990;3;2;0;0;0;5;0;L502019;1930;1999;x
3 Œ§‘∆‰¡(99) ;502020;CGX;1930;1990;1990;1990;3;3;0;0;0;5;0;L502020;1930;1999;x
2 ¡Ë—πŒ˜(99) ;502021;CGX;1930;1990;1990;1990;3;2;0;0;0;5;0;L502021;1930;1999;x
3 ∫£æ∫«ø(99) ;502023;CGX;1930;1946;1990;1990;3;3;0;1;0;5;0;L502023;1930;1999;x
4 ∫£æ∫«ø(99) ;502024;CGX;1936;1940;1990;1990;2;4;8192;1;0;5;2;L502023;1936;1999;x
3 ¿Ó¡Ë‘∆(99) ;502025;CGX;1930;1930;1990;1990;2;3;0;1;0;5;2;¿Ó¡Ë‘∆;1936;1999;x
4 Œ‚»ÍˆÃ(99) ;502026;CGX;1930;1938;1990;1990;2;4;4096;1;0;5;2;L502026;1930;1999;x
4 ≥¬≤ﬂ(99) ;502027;CGX;1930;1930;1990;1990;2;4;2048;1;0;4;1;L50354;1930;1999;x
3 ¿Ó«ÏŒƒ(99) ;502028;CGX;1930;1999;1990;1990;3;3;0;1;0;5;1;L502028;1930;1999;x
