Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿拉纳 ;210000;GUA;1941;1945;1990;1990;3;4;0;1;0;4;0;L210000;1941;1960;x
阿本斯 古茨曼 ;210001;GUA;1942;1990;1990;1990;3;3;0;0;0;3;0;L210001;1942;1960;x
布埃纳文图勒 皮内达 ;210002;GUA;1930;1930;1990;1990;2;3;1;0;0;3;0;L210002;1930;1945;x
卡斯蒂略 阿马斯 ;210003;GUA;1942;1944;1990;1990;2;3;0;1;0;4;0;L210003;1942;1960;x
查康 德 利昂 ;210004;GUA;1930;1941;1990;1990;2;5;16;1;0;4;0;L210004;1930;1946;x
迪亚兹 德 利昂 ;210005;GUA;1944;1990;1990;1990;3;4;4;0;0;3;0;L210005;1944;1960;x
弗洛雷斯 阿文达尼奥 ;210006;GUA;1943;1990;1990;1990;3;4;0;0;0;4;0;L210006;1943;1960;x
奥雷利亚纳 ;210007;GUA;1930;1930;1939;1990;1;3;2;1;0;3;0;L210007;1930;1946;x
奥尔蒂斯 埃斯卡兰特 ;210008;GUA;1940;1990;1990;1990;3;3;256;0;0;5;0;L210008;1940;1960;x
蓬斯 瓦伊德斯 ;210009;GUA;1930;1930;1930;1990;1;3;0;1;0;3;0;L210009;1930;1945;x
乌维科 卡斯塔涅达 ;210010;GUA;1930;1930;1930;1990;1;4;1;1;0;4;0;L210010;1930;1944;x
比利亚夫兰科 门多萨 ;210011;GUA;1939;1990;1990;1990;3;4;0;0;0;5;0;L210011;1939;1960;x
比利亚格兰 阿里萨 ;210012;GUA;1938;1943;1990;1990;2;4;64;1;0;3;0;L210012;1938;1960;x
伊迪戈拉斯 芬特斯 ;210013;GUA;1941;1990;1990;1990;3;4;128;0;0;5;0;L210013;1941;1960;x
埃祖伊拉 亚伯 ;210014;GUA;1930;1990;1990;1990;3;3;0;0;0;3;1;L210014;1930;1944;x
门多萨 阿劳亚 ;210015;GUA;1945;1990;1990;1990;3;3;1024;0;0;4;1;L210015;1945;1960;x
门多萨 乌里贝 ;210016;GUA;1930;1930;1990;1990;2;3;0;1;0;4;1;L210016;1930;1944;x
托列洛 加里多 ;210017;GUA;1938;1942;1990;1990;2;3;8192;1;0;3;1;L210017;1938;1960;x
布埃纳文图勒 皮内达 ;210018;GUA;1930;1930;1990;1990;2;3;0;1;0;3;2;L210018;1930;1945;x
加西亚 格拉纳多斯 ;210019;GUA;1942;1990;1990;1990;3;3;0;0;0;3;2;L210019;1942;1960;x
马丁内斯 卡斯特罗 ;210020;GUA;1944;1990;1990;1990;3;3;0;0;0;2;2;L210020;1944;1960;x
佩拉尔塔 阿苏迪亚 ;210021;GUA;1939;1943;1990;1990;2;4;0;1;0;3;2;L210021;1939;1960;x
特施 奥兰多 ;210022;GUA;1941;1945;1990;1990;2;4;0;1;0;4;2;L210022;1941;1960;x
