Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿赫桑 ;505001;IND;1945;1990;1990;1990;3;3;256;0;0;5;0;L505000;1945;1960;x
艾雷 ;505002;IND;1943;1946;1990;1990;3;3;129;1;0;5;0;L1003;1943;1960;x
艾兹勒伍德 ;505003;IND;1940;1990;1990;1990;3;4;128;1;0;5;0;L1004;1940;1945;x
安德拉德 ;505006;IND;1944;1990;1990;1990;3;4;256;0;0;5;0;L505003;1944;1960;x
阿克莱特-霍尔-鲁思文 ;505007;IND;1942;1990;1990;1990;3;4;128;0;0;5;0;L1013;1942;1960;x
巴哈杜尔 科霍恩 雅萨尔默 ;505009;IND;1930;1930;1990;1990;2;2;0;0;0;5;0;L505006;1930;1939;x
巴哈杜尔 阿利 帕蒂亚拉 ;505010;IND;1930;1990;1990;1990;3;2;0;0;0;5;0;L505007;1930;1944;x
贝尔德 斯通黑文 ;505011;IND;1930;1930;1930;1990;1;4;514;1;0;5;0;L1016;1930;1940;x
巴伦坦 ;505012;IND;1943;1990;1990;1990;3;4;128;0;0;5;0;L1019;1943;1960;x
班克斯-麦克唐纳 ;505013;IND;1939;1990;1990;1990;3;3;516;1;0;5;0;L1021;1939;1945;x
巴克 ;505014;IND;1930;1940;1990;1990;2;3;528;1;0;5;0;L1023;1930;1941;x
巴雷特 ;505015;IND;1930;1930;1930;1930;0;5;513;1;0;5;0;L505012;1930;1939;x
博曼 ;505016;IND;1930;1990;1990;1990;3;4;0;1;0;5;0;L1029;1930;1944;x
伯纳德 ;505017;IND;1930;1939;1990;1990;2;3;544;1;0;5;0;L1034;1930;1941;x
布巴普尔 ;505019;IND;1930;1990;1990;1990;3;2;0;0;0;5;0;L505015;1930;1942;x
布莱基斯顿-休斯敦 ;505020;IND;1930;1990;1990;1990;3;4;576;0;0;5;0;L1039;1930;1941;x
布拉德肖 ;505021;IND;1942;1990;1990;1990;3;4;0;1;0;5;0;L1046;1942;1946;x
布里格斯 ;505022;IND;1940;1942;1990;1990;2;4;1;1;0;5;0;L1047;1940;1960;x
布鲁克-波帕姆 ;505024;IND;1930;1930;1930;1990;1;5;513;4;0;5;0;L1051;1930;1941;x
布朗 ;505025;IND;1944;1990;1990;1990;3;4;128;0;0;5;0;L1052;1944;1960;x
卡里阿帕 ;505026;IND;1937;1941;1943;1944;0;5;1;3;0;5;0;L505021;1937;1960;x
卡尔-怀特 ;505027;IND;1942;1990;1990;1990;3;3;1;0;0;5;0;L1067;1942;1944;x
