Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿布恩 侯赛因 ;300000;IRQ;1930;1930;1930;1990;1;3;513;1;0;5;0;L300000;1930;1946;x
阿尔 艾尔沙特 ;300001;IRQ;1944;1946;1990;1990;2;3;0;1;0;4;0;L300001;1944;1960;x
阿尔 哈桑 ;300002;IRQ;1939;1942;1990;1990;2;4;1;1;0;4;0;L300002;1939;1960;x
阿尔 拉维 ;300003;IRQ;1930;1938;1990;1990;2;3;0;1;0;3;0;L300003;1930;1943;x
阿尔 奥马里 ;300004;IRQ;1938;1990;1990;1990;3;3;0;0;0;1;0;L300004;1938;1942;x
阿斯 萨巴格 ;300005;IRQ;1930;1930;1990;1990;2;5;514;1;0;4;0;L300005;1930;1960;x
阿斯 赛义德 ;300006;IRQ;1930;1930;1942;1945;1;3;4;2;0;5;0;L300006;1930;1960;x
贝克尔 西德奇 ;300007;IRQ;1930;1930;1930;1990;1;3;0;1;0;3;0;L300007;1930;1938;x
达夫尼 ;300008;IRQ;1942;1990;1990;1990;3;5;256;0;0;3;0;L300008;1942;1944;x
戴维斯 ;300009;IRQ;1941;1990;1990;1990;3;5;256;1;0;5;0;L300009;1941;1946;x
埃雷卡特 ;300010;IRQ;1938;1943;1990;1990;3;3;128;1;0;1;0;L300010;1938;1945;x
法齐 ;300011;IRQ;1939;1990;1990;1990;3;3;256;0;0;1;0;L300011;1939;1960;x
加齐一世 ;300012;IRQ;1930;1930;1930;1930;0;2;0;0;0;5;0;L300012;1930;1939;x
格拉布 ;300013;IRQ;1939;1942;1945;1990;2;6;5;3;0;5;0;L300013;1939;1960;x
伊沙卡特 ;300014;IRQ;1930;1930;1990;1990;2;4;0;0;0;5;0;L300014;1930;1945;x
奥斯本-威尔金森 ;300015;IRQ;1942;1990;1990;1990;3;4;128;1;0;5;0;L300015;1942;1946;x
皮克 ;300016;IRQ;1930;1930;1990;1990;2;5;2;1;0;3;0;L300016;1930;1942;x
沙 阿兰 ;300017;IRQ;1930;1930;1941;1990;1;3;64;1;0;3;0;L300017;1930;1960;x
沙克尔 本 扎伊德 ;300018;IRQ;1942;1990;1990;1990;3;3;0;0;0;3;0;L300018;1942;1960;x
肖卡特 ;300019;IRQ;1930;1990;1990;1990;3;3;0;0;0;1;0;L300019;1930;1942;x
桑希尔 ;300020;IRQ;1943;1990;1990;1990;3;5;32;0;0;5;0;L300020;1943;1946;x
阿斯 萨巴格 ;300021;IRQ;1930;1930;1930;1990;1;3;512;1;0;4;1;L300021;1930;1960;x
奈 ;300022;IRQ;1941;1943;1990;1990;2;4;0;1;0;5;1;L300022;1941;1946;x
塔顿-赛克斯 ;300023;IRQ;1942;1990;1990;1990;3;4;1024;0;0;5;1;L300023;1942;1946;x
蒂姆斯 ;300024;IRQ;1944;1990;1990;1990;3;4;0;0;0;5;1;L300024;1944;1960;x
阿尔 特尔 ;300025;IRQ;1942;1946;1990;1990;3;4;0;1;0;3;2;L300025;1942;1960;x
本 贾瓦德 ;300026;IRQ;1930;1990;1990;1990;3;3;0;0;0;3;2;L300026;1930;1943;x
菲舍尔 ;300027;IRQ;1942;1990;1990;1990;3;4;0;0;0;5;2;L300027;1942;1946;x
格兰特 ;300028;IRQ;1939;1990;1990;1990;3;4;0;0;0;5;2;L300028;1939;1960;x
罗林森 ;300029;IRQ;1940;1943;1990;1990;2;4;16384;1;0;5;2;L300029;1940;1946;x
阿里夫;300030;IRQ;1945;1990;1990;1990;3;5;132;1;0;5;0;M_IRQ_Abdul_Rahman_Arif;1945;1990;x
