Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿卜杜拉一世 ;556000;JOR;1930;1930;1930;1930;0;2;4;1;0;5;0;M556008;1930;1960;x
阿赫蒂 ;556001;JOR;1930;1940;1990;1990;2;3;2;1;0;5;0;M556029;1930;1960;x
阿尔-阿米尔 ;556002;JOR;1941;1990;1990;1990;3;2;0;0;0;5;0;L556002;1941;1960;x
阿尔-哈希米 ;556003;JOR;1939;1990;1990;1990;3;5;16;1;0;5;0;L556003;1939;1960;x
阿尔-加法尔 ;556004;JOR;1930;1990;1990;1990;3;2;0;0;0;5;0;M556031;1930;1943;x
阿尔-瓦利 ;556005;JOR;1940;1990;1990;1990;3;2;2;0;0;5;0;M556028;1940;1960;x
本 贾米勒 ;556006;JOR;1938;1941;1990;1990;3;3;32;1;0;5;0;L556006;1938;1960;x
卡尔顿-史密斯 ;556007;JOR;1938;1990;1990;1990;3;4;128;1;0;5;0;L556007;1938;1960;x
科克斯 帕夏 ;556008;JOR;1930;1930;1990;1990;2;7;17;1;0;5;0;M556006;1930;1941;x
埃尔-尼扎尔 阿里 ;556009;JOR;1938;1942;1990;1990;2;4;256;1;0;5;0;L556009;1938;1960;x
埃尔-里哈茨 ;556010;JOR;1930;1990;1990;1990;3;2;128;0;0;5;0;L556010;1930;1960;x
格拉布 帕夏 ;556011;JOR;1939;1941;1945;1990;1;6;5;3;0;5;0;M556024;1939;1960;x
梅奇特 帕夏 ;556012;JOR;1930;1930;1990;1990;2;4;514;1;0;5;0;M556032;1930;1945;x
纳伊夫 ;556013;JOR;1930;1930;1942;1990;2;3;1;2;0;5;0;M556012;1930;1960;x
奥斯普雷 ;556014;JOR;1940;1990;1990;1990;3;3;0;0;0;5;0;M556027;1940;1960;x
帕蒂森-史密斯 ;556015;JOR;1930;1990;1990;1990;3;4;64;1;0;5;0;L556015;1930;1960;x
赛义德 ;556016;JOR;1940;1990;1990;1990;3;3;0;0;0;5;0;L556016;1940;1960;x
埃尔-阿迪尔 ;556017;JOR;1930;1990;1990;1990;3;2;1024;0;0;5;1;M556034;1930;1960;x
劳埃德-埃尔福德 ;556018;JOR;1930;1939;1990;1990;2;6;4608;1;0;5;1;L1367;1930;1960;x
斯托克斯 ;556019;JOR;1939;1990;1990;1990;3;4;0;0;0;5;1;L1391;1939;1960;x
阿尔-阿菲兹 ;556020;JOR;1939;1990;1990;1990;3;2;0;0;0;5;2;M556035;1939;1960;x
阿尔-哈利克 ;556021;JOR;1939;1943;1990;1990;2;3;32768;1;0;5;2;M556036;1939;1960;x
柯克布赖德 ;556022;JOR;1930;1941;1990;1990;3;4;16384;2;0;5;2;L1454;1930;1960;x
里斯代尔 ;556023;JOR;1943;1990;1990;1990;3;4;4096;0;0;5;2;L556023;1943;1960;x
