Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
西蒙斯;9975001;U75;1930;1941;1990;1990;3;6;0;2;0;5;0;unknown;1930;1960;x
威廉姆斯 ;9975002;U75;1930;1990;1990;1990;3;5;0;1;0;5;0;unknown;1930;1960;x
格林伍德;9975003;U75;1939;1990;1990;1990;3;5;0;1;0;5;0;unknown;1939;1960;x
马歇尔;9975004;U75;1944;1990;1990;1990;3;5;2;0;0;5;0;unknown;1944;1960;x
布鲁克-波帕姆 ;9975005;U75;1930;1930;1930;1990;1;6;513;3;0;5;0;L1051;1930;1941;x
布鲁克-波帕姆 ;9975006;U75;1930;1930;1930;1930;0;6;512;2;0;5;2;L1420;1930;1941;x
伯恩;9975007;U75;1930;1930;1940;1990;1;6;32;2;0;5;0;unknown;1930;1941;x
凯斯门特;9975008;U75;1930;1930;1930;1990;1;5;0;0;0;5;0;unknown;1930;1948;x
奥金莱克 ;9975009;U75;1936;1939;1940;1946;0;7;1;3;0;6;0;unknown;1936;1950;x
费理斯;9975010;U75;1944;1990;1990;1990;3;5;0;0;0;5;2;unknown;1944;1960;x
威尔逊 ;9975011;U75;1930;1990;1990;1990;3;5;0;1;0;5;2;unknown;1930;1960;x
威克姆;9975012;U75;1930;1930;1939;1990;2;5;0;1;0;5;0;unknown;1930;1945;x
菲利普斯 ;9975013;U75;1930;1939;1944;1990;2;5;0;4;0;5;1;L1379;1930;1945;x
