Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
埃米尔 ;538000;MAD;1930;1939;1941;1990;1;4;128;2;0;5;0;M538007;1930;1960;x
凯拉 ;538001;MAD;1930;1930;1930;1990;1;4;514;1;0;5;0;M538001;1930;1941;x
克罗克 ;538002;MAD;1943;1990;1990;1990;3;3;1;0;0;5;0;L538002;1943;1960;x
德迈松 ;538003;MAD;1940;1990;1990;1990;3;4;288;0;0;5;0;L538003;1940;1960;x
凡加瓦 ;538004;MAD;1930;1945;1990;1990;3;2;128;1;0;5;0;M538033;1930;1960;x
拉马克 ;538005;MAD;1937;1990;1990;1990;3;4;16;0;0;5;0;L538005;1937;1944;x
勒凯纳 ;538006;MAD;1939;1990;1990;1990;3;3;4;0;0;5;0;L538006;1939;1960;x
凯维尔 ;538007;MAD;1938;1943;1990;1990;2;3;256;1;0;5;0;M538034;1938;1960;x
拉库通德兰德里亚 ;538008;MAD;1945;1990;1990;1990;3;2;64;0;0;5;0;M538031;1945;1960;x
维贝尔 ;538009;MAD;1941;1990;1990;1990;3;3;256;0;0;5;0;M538023;1941;1960;x
德 巴伯齐尔勒 ;538010;MAD;1930;1930;1990;1990;2;3;0;1;0;5;1;M538009;1930;1960;x
德莫扎伊 ;538011;MAD;1939;1990;1990;1990;3;2;4096;0;0;5;1;L538011;1939;1960;x
凯维尔 ;538012;MAD;1938;1943;1990;1990;2;3;2048;1;0;5;1;M538034;1938;1960;x
维贝尔 ;538013;MAD;1941;1990;1990;1990;3;3;1024;0;0;5;1;M538023;1941;1960;x
安德洛埃 ;538014;MAD;1940;1945;1990;1990;2;4;0;1;0;5;2;M538036;1940;1960;x
德莫扎伊 ;538015;MAD;1939;1990;1990;1990;3;4;4096;1;0;5;2;L538011;1939;1960;x
加迪松 ;538016;MAD;1941;1990;1990;1990;3;3;16384;0;0;5;2;L538016;1941;1960;x
格德 ;538017;MAD;1930;1990;1990;1990;3;3;131072;0;0;5;2;M538010;1930;1945;x
